,AIBL,AIBR,ALA,AQR,ASKR,AVAL,AVAR,AVEL,AVER,AVFL,AVFR,BAGL,BAGR,OLQDR,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SIBVL,SIBVR,SMDDL,SMDDR,SMDVL,SMDVR,URXL,URYDL,URYDR,URYVL,URYVR,VA1,VB2,train_test_label,time_in_seconds,tau
679,0.33357367886229167,0.31765787796361244,-0.31079380258154965,-0.5789014901971505,-0.4283018009571307,0.11560181730034574,0.03798299961181926,0.1055215226278266,0.05452092991205375,-0.2456276125022602,-0.20160952106756735,-0.7037735676229466,-0.6794522635874336,-0.22834339932196523,0.054759135145564464,-0.03087409290717069,-0.5983292566459829,-0.5223039809214549,-0.4035045605161144,-0.8361776269369854,-0.6989073025031207,-0.7414222380425779,-0.8641032979829445,-0.7716465690797711,-0.5537899170048846,-0.49679170988551147,-0.7205770252695769,-0.6627781155474177,-0.36378200106898284,-0.7709168274770327,-0.2881452749974731,-0.269856481204412,-0.3824191190309272,-0.37148626429382936,-0.06681114250030291,-0.7538187253061872,train,200.9646478487257,1
680,0.3291324368418437,0.315330064809545,-0.3194239819496212,-0.582108756884509,-0.4299465447028238,0.11671979396084553,0.03553657496340646,0.1054861931802957,0.051108450468649105,-0.24491691522934034,-0.20064333082892072,-0.7025257952148963,-0.6825834362050506,-0.23001922819827567,0.044669300374523824,-0.025096349122727242,-0.6079998256107282,-0.5188438456443059,-0.4090227754942714,-0.8368893699880191,-0.6968404978928552,-0.7455057733629045,-0.8601350497506206,-0.7694303797531723,-0.5484819905116406,-0.5044159631480193,-0.7226076896349533,-0.6635498300980873,-0.36083064505712625,-0.7736218512069601,-0.2924279050504883,-0.2751028873295586,-0.3831008015864136,-0.3782861238543611,-0.06635006710441402,-0.7530872208435749,train,201.26061934776652,1
681,0.3256507321078158,0.3222558702828765,-0.3267732963614982,-0.5850897001376683,-0.43081433612881925,0.11777564407355107,0.03682826651279667,0.10228874329476076,0.04119316211235628,-0.24944955193039647,-0.20710693191951562,-0.7039876244070844,-0.6867394540072266,-0.2303739522838137,0.04481275458040612,-0.028415828669335473,-0.6111402390551688,-0.5187662668915635,-0.41746715487122993,-0.8377617483386085,-0.7015397577483404,-0.7574633762531534,-0.862990600860591,-0.7743360640989755,-0.5557765443968345,-0.5009718117610815,-0.7223663115310316,-0.6670486579204944,-0.36543875077584087,-0.7745773061455913,-0.2979355777447347,-0.2855859130867577,-0.38765518955505096,-0.38060302056875456,-0.07143335283400892,-0.7530657012593831,train,201.55659084680735,1
682,0.3183135328863542,0.31676831380649667,-0.3339241743042404,-0.585265788637078,-0.42625558467782215,0.11764773763001085,0.04162307702534602,0.0962739490810012,0.029395653953506476,-0.2527015856386342,-0.208459145074249,-0.7062274618861429,-0.6875332629037844,-0.23325167685340645,0.03922649455678906,-0.025063288076540936,-0.6139616307785376,-0.5152173738358927,-0.4243268995467513,-0.827666989638356,-0.6975588433411395,-0.7633273650878102,-0.8524273424281177,-0.7702758413597252,-0.5511434493643503,-0.4996082240058952,-0.7223207565135571,-0.6662314348542271,-0.37059286313586176,-0.7688311103050661,-0.30315866305826816,-0.2955012728113695,-0.38839406130091825,-0.3900511957074491,-0.07853026490335861,-0.7418614049236603,train,201.85256234584818,1
683,0.3244977680961872,0.3230896929507992,-0.3359832170437148,-0.5792167224399509,-0.42239377382955523,0.12092526759269867,0.04023468020437614,0.10110201761082449,0.03438725783171,-0.2504217610688643,-0.20857281199298355,-0.7058578255262853,-0.691077678231319,-0.22844005617990326,0.04196409472146423,-0.02791389333850826,-0.6233510131148198,-0.5131721826447018,-0.42278992222222334,-0.8291101083243516,-0.6998907377468191,-0.763390732078697,-0.8512219927387539,-0.7656792404017915,-0.5547896438702538,-0.49804496810099497,-0.7217871661593609,-0.6691522946185239,-0.364993848276734,-0.7681063433610444,-0.2993133924823431,-0.2915180675226593,-0.38816267723289666,-0.3822056859099346,-0.0723734045719371,-0.7455909667854167,train,202.14853384488902,1
684,0.327973476514068,0.31124298114893484,-0.33341993144809534,-0.577853454386539,-0.42020573918797155,0.113273338412062,0.04605224620119145,0.0985161025877091,0.043529757089709645,-0.24891798095085363,-0.20261294724875073,-0.6992246671161446,-0.6892760571877704,-0.2251950514957821,0.037539088006958266,-0.02476329072226731,-0.616075839240535,-0.5048083804071443,-0.411625655169864,-0.8250508058082622,-0.6925005545134465,-0.7431385860494534,-0.850250558781701,-0.7518267520796006,-0.5469075921624627,-0.4981122152817706,-0.7225617261161936,-0.6620792978156623,-0.3551686569177828,-0.7656488870928086,-0.29415739669943086,-0.28321756504294054,-0.3889487596824503,-0.379993246705013,-0.06627801622248694,-0.7429137650404265,train,202.44450534392985,1
685,0.3400386824332471,0.32081820961563084,-0.3336385389571707,-0.5691714497250985,-0.41384308698204286,0.12183782219228695,0.05600034936105542,0.10198205032251687,0.0530151466726181,-0.2520145038974577,-0.2101942869656288,-0.6943188462537323,-0.6902569761922445,-0.21794606026489513,0.050712103601502745,-0.02401909040594552,-0.623051138408404,-0.4993976177755374,-0.40764251514625405,-0.8319847661557527,-0.6952352339326384,-0.742013701776213,-0.8506850684493469,-0.7506976556591528,-0.5522157636660272,-0.49270503677710864,-0.7179673682198093,-0.6568011534648472,-0.3468210847814863,-0.7615381330842752,-0.29003996689974154,-0.28007281951273905,-0.38292755004582646,-0.37954063028785434,-0.06440622321206166,-0.7469822862210489,train,202.74047684297068,1
686,0.3548376751620719,0.3302372263083581,-0.3278240266084497,-0.5670125447967482,-0.41199977482729894,0.13577150714572578,0.06074581264706103,0.11473689053495612,0.06706922268881955,-0.24011043822399375,-0.19830852261435172,-0.6995477709961702,-0.6823528864204101,-0.21712599357359205,0.0589559520471826,-0.01787039379745741,-0.636283563223009,-0.49028354419333214,-0.3944863521498975,-0.8346861157029802,-0.6974992444418024,-0.7383447165562382,-0.8491869590977931,-0.7476324642783956,-0.5519232088625285,-0.49328807538692737,-0.7201071440750315,-0.6535801628760359,-0.3415738432143979,-0.7620441587705423,-0.28595411772011037,-0.26772544983144103,-0.3843669027450035,-0.369710567903734,-0.053697550904643725,-0.7498237714827723,train,203.0364483420115,1
687,0.34372629340335203,0.32337427140667946,-0.32852426170068605,-0.5683977906575367,-0.412095420890945,0.13085545726593206,0.058004505432360055,0.10871334221391046,0.06004444485594153,-0.23836674640056205,-0.19505306084495494,-0.7014917017210631,-0.6795744087563187,-0.22220948847747451,0.057778881522250775,-0.018582268607309584,-0.6256131499769688,-0.4892066751392104,-0.3997269534720014,-0.8300046394787794,-0.6973647266572298,-0.7382949505152424,-0.8431253922384363,-0.7459504149447649,-0.5505501553951282,-0.49199392729598385,-0.7216249473789584,-0.6515591441361415,-0.3443593952414207,-0.760552952284126,-0.28881356628993365,-0.27516445299521486,-0.389085916429215,-0.37433402121737114,-0.06390892376590551,-0.7443449158999238,train,203.33241984105234,1
688,0.3387470094331449,0.32668186260449905,-0.3279425928093692,-0.5737030513616763,-0.41514802031583187,0.13780474770515705,0.05910273619044185,0.10684481812158828,0.051958858182621984,-0.24686293715377877,-0.20633582298243813,-0.6972057466266882,-0.6804208032113437,-0.21722596234995065,0.05794942038708764,-0.017029224552419876,-0.6313576322297941,-0.49210961029220057,-0.40342442978144866,-0.8398033871545304,-0.6937286885909313,-0.7427585729008938,-0.8508003122701278,-0.758995224642293,-0.5399905707971724,-0.5038139010696914,-0.7224151563606839,-0.6497970827042526,-0.34436626700965495,-0.7597891751161113,-0.29319885541835333,-0.2808940156916687,-0.38405962602350957,-0.3828369686102532,-0.06345750128826123,-0.7489847230550442,train,203.62839134009317,1
689,0.32498956991383526,0.31212585357899697,-0.32929272944675547,-0.5831700674209235,-0.41749848077208895,0.12680884970067768,0.054082816693595846,0.09357956290130975,0.03895885893600924,-0.2496624871640582,-0.20611046652770265,-0.7003559811176576,-0.6827621833173746,-0.22121441455620125,0.04789985147165188,-0.032731774093816,-0.6210886597881818,-0.49714183832025893,-0.40472698612616254,-0.8412612862928601,-0.6912541006862934,-0.7447842089157138,-0.8439777667531563,-0.75915803496317,-0.5435321733761727,-0.5033764035984124,-0.7334777485877334,-0.6476097155798658,-0.3511780895062362,-0.7655224446513089,-0.30568867897682084,-0.28941062233402215,-0.3922766258161303,-0.38809577158502584,-0.07800076151011523,-0.7427189965740831,train,203.924362839134,1
690,0.32525391205398724,0.30210438639484954,-0.3262237037699405,-0.5852528534026777,-0.42177030793011655,0.1151700164579384,0.0356498058614449,0.08986212453747247,0.02693198466775691,-0.25043811090578205,-0.2088644633823153,-0.7021401643535057,-0.6795663312145891,-0.22620552303665487,0.04039524277461298,-0.04628210208539442,-0.6168787990487854,-0.49830573051483196,-0.4007268439637312,-0.8299569385627235,-0.6876725689031026,-0.7484200624782213,-0.8498229454713581,-0.753866264253909,-0.5483980252106653,-0.5020447057217579,-0.7282897318353371,-0.6481282058856229,-0.36207378363541864,-0.7601469261138137,-0.31626369281829314,-0.29113435644038077,-0.3914635645636824,-0.38639215092532053,-0.08105083348703061,-0.7401416091397786,train,204.22033433817487,1
691,0.3285742531280864,0.3027120786341398,-0.32963200412033955,-0.5829649889454761,-0.4291901002440385,0.11556629091998338,0.03239924158450628,0.08927427327759851,0.026352327315322818,-0.2519808497568608,-0.20426211303865427,-0.703651154121398,-0.6811126064141154,-0.2254054724830725,0.03706395053363126,-0.05049016022398979,-0.6187710676163127,-0.4833732393559775,-0.40011452509052736,-0.8316353687344371,-0.6848328777788306,-0.7454035634311613,-0.8439631398998273,-0.7507721748001818,-0.5506644601055393,-0.503488011893521,-0.7299084616990243,-0.6437474497978007,-0.3634869291849842,-0.7626575511944222,-0.32317522608990895,-0.2896799455655252,-0.39265802719875054,-0.39099091200165137,-0.07872986031424002,-0.7426630965220273,train,204.5163058372157,1
692,0.3323095540797444,0.30028855950584543,-0.32934541553464614,-0.5809246443514711,-0.42845198792212497,0.10742488874011835,0.03233782049387562,0.09501503333605446,0.026092008967570704,-0.25499699278574023,-0.2088174949350327,-0.7020491921594144,-0.6857972273064682,-0.23103544747547194,0.03675085749298959,-0.05920612418180203,-0.61743221552985,-0.49490513006948755,-0.3947156428788695,-0.8368568760599684,-0.6882237530035314,-0.7495051077933427,-0.8544583783745625,-0.7533207214155092,-0.5600596925143404,-0.4959343855978674,-0.7285096694210217,-0.6530159449034286,-0.37247902480072703,-0.7667877101678128,-0.32469412329790937,-0.292068272333369,-0.3919538363884669,-0.3841692267905571,-0.07859929402649989,-0.7473924350452008,train,204.81227733625653,1
693,0.31192122433698244,0.28313487505895346,-0.3251701451984662,-0.580961253025704,-0.4338513439374845,0.08703442949471188,0.012913710637944803,0.08161619611666629,0.015759748242230726,-0.2507760833530701,-0.20273684889518878,-0.7024762946476033,-0.6864306896402801,-0.2384657770766508,0.024628272825692243,-0.0653082153290287,-0.6038895122584378,-0.5016346152932739,-0.39581674208388845,-0.8301480224352219,-0.6838479332776382,-0.7408415407476833,-0.8511530573350633,-0.7457680616257686,-0.5523744278024868,-0.4973510930969828,-0.7290800796640524,-0.6518148540247054,-0.37436979245654045,-0.7714669348355032,-0.33356805325315564,-0.29873787494787724,-0.4053009745394317,-0.38859413563104067,-0.09080539477949832,-0.7376658352014103,train,205.10824883529736,1
694,0.31664592057156454,0.2868027807989767,-0.32672682066203806,-0.5658806216770211,-0.4248541378854403,0.08809722466364722,0.022246282379102443,0.08277114061426183,0.02146564698183967,-0.25230157387409885,-0.20384455200780055,-0.6994086657721343,-0.6874641195054926,-0.2387941040226353,0.028318208625927266,-0.05893880340674526,-0.6038664230478464,-0.5040531007981903,-0.39824058374037824,-0.8243474350780077,-0.6819946309294346,-0.7397256751224691,-0.8439697598969477,-0.7406503602540876,-0.5520957532302229,-0.4839425630560715,-0.7253740113030706,-0.6537268583865108,-0.3722822615190611,-0.7651601717764374,-0.32509304653947496,-0.3015705617312803,-0.4040123933489975,-0.3869012548492343,-0.08678310623331527,-0.7327648358765362,train,205.4042203343382,1
