,AIBL,AIBR,ALA,AQR,AUAR,AVAL,AVAR,AVBL,AVBR,AVEL,AVFL,BAGL,BAGR,OLQDL,RIBL,RID,RIFL,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SIBDL,SIBDR,SIBVL,SIBVR,SMDDL,SMDDR,URXL,URXR,URYDL,URYDR,URYVL,VA1,VB2,train_test_label,time_in_seconds,tau
2482,-0.6439565769786053,-0.6182476121985978,-0.37910622413859385,-0.6477310036151903,-0.558845209987287,-0.6917108100449256,-0.6713363934502015,-0.656519446647256,-0.7511788789830626,-0.7394314093706174,-0.2629708241068245,-0.7075115583296809,-0.696583761849074,-0.6739809447393292,-0.7496630764750897,-0.48908211551286535,-0.7536376017884359,-0.604813745855168,-0.7351738953058511,-0.0258221824365939,-0.6890380652499867,-0.47896841088246955,-0.5194091710847726,-0.5410013516933765,-0.6624115513956372,-0.4564403229887927,-0.5130752334366293,-0.4879613472545866,-0.5420830305640358,-0.5593652334589228,-0.6780231307179776,-0.8894779232483808,-0.9119834850191412,-0.8064774493668214,-0.6964689364564267,-0.7079896312425947,-0.7337991232368911,-0.8120427973356926,-0.3531692860786695,test,735.2057048820626,1
2483,-0.6460573445876808,-0.6185899171479248,-0.38179096098687576,-0.6453680342381649,-0.5595320800686152,-0.6891461554244401,-0.66856136822388,-0.6572030528482521,-0.7519729242076506,-0.7414753672643749,-0.26217321841096597,-0.708607488972175,-0.6930562681406333,-0.6743244309263215,-0.751883341556834,-0.48901274395398747,-0.75366350709154,-0.6042121892344234,-0.7349347228723726,-0.02602676655624267,-0.6932699433757359,-0.4763570984048017,-0.5209155430278296,-0.5481027434375001,-0.6650448529977002,-0.4589944832706622,-0.5119099749854708,-0.48930559252772265,-0.5475309997803983,-0.5648491923213106,-0.6799184315460776,-0.8864704972717371,-0.9138011362576992,-0.8087166743398833,-0.6951440037456107,-0.7043215523470842,-0.7349301753042673,-0.8108453295294074,-0.35360045524235484,test,735.5019199122327,1
2484,-0.6460711602095527,-0.6235629155876751,-0.3765550468998741,-0.6402830161789508,-0.5619046302374724,-0.6943403035752354,-0.674020166903373,-0.6479506247976268,-0.7413622262868645,-0.7455927837422355,-0.2627183066757804,-0.7042775318561976,-0.691734998362911,-0.6759685268931709,-0.7413259536451854,-0.4836989542124087,-0.7496127287381058,-0.6058277023662183,-0.736494807270835,-0.018710092561442848,-0.6901517069527471,-0.4783327436759389,-0.5105010978596647,-0.5412904932970151,-0.6549147359187126,-0.4453424316181196,-0.5100839192745318,-0.4868355771944488,-0.5361915345792236,-0.5544805634691724,-0.6732728288566188,-0.8816293562103475,-0.9056971076323571,-0.8076965524442112,-0.6926309281761086,-0.7015463691477307,-0.733919667309913,-0.8133375993421639,-0.34693000739043733,test,735.7981349424026,1
2485,-0.6419713787195035,-0.6218218958964723,-0.3744571200374742,-0.6382194198244535,-0.5581205910177154,-0.6946519217742546,-0.6712480811977403,-0.6444247384161635,-0.7426155787214356,-0.7443620890918211,-0.2617342050963699,-0.7061555421736643,-0.69123465501232,-0.6811955942500054,-0.7438182143759461,-0.4841094139938584,-0.7420011364630289,-0.6000872738048478,-0.7357718689685103,-0.018666302267793727,-0.6911011705452991,-0.48119142894712114,-0.4982837571463264,-0.5429262413038993,-0.6534351973739773,-0.44291658878839457,-0.5045094927219393,-0.48228661581390597,-0.5357277845989834,-0.5547193404741046,-0.669749563537372,-0.8791816519013,-0.903605017565123,-0.8040990390415714,-0.6884464468429841,-0.702605294241415,-0.735490145363026,-0.8108579180529921,-0.34753809319741386,test,736.0943499725727,1
2486,-0.6430338764330931,-0.6228759127489962,-0.3777705312258167,-0.64244393652265,-0.5625446344267506,-0.6952176225839538,-0.6717161612471162,-0.6482012949856589,-0.7455768052095,-0.7460149172530444,-0.26150949400233103,-0.7094743939996142,-0.6946099566578093,-0.6822461446349749,-0.7473943243055917,-0.48746645444495074,-0.7441673792848846,-0.6014936870345133,-0.7372186541801323,-0.017230743375209273,-0.694607265074013,-0.4813489861311548,-0.5048577207962348,-0.542516581502474,-0.6577011495380691,-0.4452215907923081,-0.5087219306310625,-0.48398256401334905,-0.5416933681465539,-0.552176995184287,-0.6756671121513083,-0.8853746866745561,-0.905484567265234,-0.8081848599404031,-0.6896929280148546,-0.7014135379673185,-0.734903381606325,-0.8130634161756227,-0.3493474610664997,test,736.3905650027427,1
2487,-0.6486092405829754,-0.6210424689701961,-0.38018587474222676,-0.6404922949910337,-0.5675302291335512,-0.6980431244637113,-0.6797078521373658,-0.6445241791330568,-0.7409734687282341,-0.7469453714650839,-0.2631798873227021,-0.7071182300806151,-0.6962912570073511,-0.6790113493295062,-0.7442634092711253,-0.48242671099618833,-0.7427646932514805,-0.610227156945695,-0.7367777615766187,-0.013816860926090413,-0.7027931786070372,-0.48531872951470023,-0.5084452094959653,-0.5417712592794801,-0.6594951200667041,-0.43681330560102605,-0.5107744714635731,-0.48671822699641243,-0.5438600322929033,-0.5472894797722911,-0.6763922618637713,-0.8795413336162023,-0.9065889322132921,-0.8124424155492354,-0.6935109405454974,-0.6993296604171451,-0.7349777276833626,-0.813315224285939,-0.3457502424363879,test,736.6867800329128,1
2488,-0.6425263478934858,-0.6224096903846392,-0.3742110882917721,-0.6404292604440929,-0.5644027882150993,-0.6886163635934989,-0.6719251680215245,-0.6386360947778882,-0.7396150101153248,-0.7447308150119268,-0.2643330665471387,-0.7105725893987156,-0.6941743170251206,-0.6780680844688448,-0.7379508368763007,-0.48440506608716377,-0.743831813728492,-0.601864879726276,-0.7291937413995816,-0.01939768490579466,-0.69833970217982,-0.4805912483859855,-0.5062512789020701,-0.5397511576746452,-0.6497789827433211,-0.4373713877627808,-0.5085256761035903,-0.48346850475568237,-0.5352533830775451,-0.541308024767015,-0.6758238357889667,-0.8776202772692246,-0.9038668605733844,-0.8120380913243543,-0.6947891632015655,-0.6921638199921468,-0.7354758621542887,-0.8172557328843785,-0.34530766512364597,test,736.9829950630829,1
2489,-0.6525071779855885,-0.6259764145571963,-0.3690904857836901,-0.640831839806227,-0.5693083679277775,-0.6983312790980768,-0.6798578400389067,-0.6436022388734963,-0.7363430300522862,-0.7434794538123911,-0.26161607889786914,-0.7096683552177324,-0.701134170267071,-0.6696999614970481,-0.7328791895920799,-0.4880250544503546,-0.741961849509914,-0.6082764806790357,-0.7363858305437578,-0.019981680553556175,-0.7014003771012092,-0.4884482064660099,-0.4993161560927352,-0.5359462720960866,-0.6533245958302097,-0.44094131474687176,-0.5092830022637662,-0.4824927584329448,-0.533175812258154,-0.5448026841561655,-0.673791807965695,-0.8757820730181998,-0.9007607140710322,-0.8167613780908527,-0.6947848190711531,-0.7070946231646096,-0.7399488264861735,-0.817669797852722,-0.3421739509592494,test,737.2792100932529,1
2490,-0.6410173688669252,-0.6196270197190024,-0.3682240901428965,-0.647421675725241,-0.5695455320762584,-0.6955362449163999,-0.6773185830404268,-0.6480929328910011,-0.7447582401380495,-0.7391096841222663,-0.26353646306719125,-0.7171611804176816,-0.7028847845831385,-0.6724981363459844,-0.7388760275975051,-0.4934904917419069,-0.7398168562110949,-0.6062075676791858,-0.7288973163673997,-0.029249701610587625,-0.6958947656034162,-0.49055270465713025,-0.49623550200335537,-0.5351973365253793,-0.649231867512786,-0.44882490390668583,-0.507786291347093,-0.4838960289987727,-0.5356262144175957,-0.5400899840560783,-0.678017134911862,-0.8779970995890231,-0.9017435211044869,-0.8145169118604529,-0.697725074070126,-0.7085850700370036,-0.7416510186991887,-0.8120703473603018,-0.3465274075062798,test,737.575425123423,1
2491,-0.640642894762643,-0.6171347667395924,-0.36344700655911516,-0.6497423608189263,-0.5731501101037207,-0.6935739297075483,-0.6796388174845742,-0.6472087990968475,-0.7420920140967138,-0.7362063131737782,-0.2612354934987889,-0.7173159783914786,-0.7052966362366396,-0.6638691554244103,-0.7349136543194681,-0.4954276975553944,-0.7393554681776734,-0.6055240655650135,-0.7286976362815393,-0.03577932674735418,-0.6953842575827672,-0.48991531569544566,-0.49224822455015876,-0.5370112721145277,-0.6442975923314177,-0.4451513632053368,-0.5083117187091841,-0.48549696710338164,-0.5326989592998985,-0.5369974857574438,-0.6790182046432687,-0.8731746441518163,-0.8972384907665856,-0.8195309269193181,-0.6957821552428806,-0.7090369936757687,-0.739971779387483,-0.8101555403198417,-0.34417264651026946,test,737.871640153593,1
2492,-0.6382059514118036,-0.6162436187631892,-0.3654047773082988,-0.6541555012414829,-0.5736195565608668,-0.6921796154582154,-0.6781917229841874,-0.6499110649678518,-0.7472971167927067,-0.737466204561341,-0.2635523436689126,-0.7177177818566787,-0.7079128887148366,-0.6658733354728007,-0.734042295442084,-0.4965837875923456,-0.7429881792299623,-0.6042026993650224,-0.73222604843794,-0.034370689739018134,-0.6951777095696309,-0.49066995069272895,-0.49883261219603675,-0.5423865471506143,-0.6489845418851484,-0.45206585856455367,-0.5094137745577065,-0.48312256886386684,-0.5347341280424593,-0.5453874924691675,-0.6764060488457682,-0.8768504743936297,-0.8998273316963892,-0.823155424521081,-0.7023850938972166,-0.7095935685148338,-0.7416489928713428,-0.8099284527996254,-0.35009563131057697,test,738.1678551837631,1
2493,-0.6367127285983711,-0.6188423499439913,-0.35987922477296297,-0.6459121476734232,-0.5748162056606838,-0.6938956359538344,-0.6822112769121141,-0.6453343985607265,-0.73446583698076,-0.7378650505738126,-0.2624870760145411,-0.7145874043295836,-0.7111591519941248,-0.6638747725255917,-0.7283171214869621,-0.4910066526021205,-0.7354148202232768,-0.6038012488181657,-0.7358697255352386,-0.029067877680356347,-0.6943826318935254,-0.487232942579175,-0.49090285460142136,-0.539744563437539,-0.6410979752926511,-0.44537369797139204,-0.5131345888704065,-0.48106212679442584,-0.5292464482923201,-0.5464486633954276,-0.6725950727695038,-0.8688021691035818,-0.896432484209297,-0.8210059579470401,-0.6973122324643475,-0.7054306753242103,-0.7415092248166942,-0.8053627099572047,-0.3442425208798663,test,738.4640702139332,1
2494,-0.6411175535562083,-0.619431119928348,-0.3672580785612288,-0.645482788644252,-0.5693059868911489,-0.69371548206582,-0.6798946388228136,-0.6507284975023598,-0.7327489068774833,-0.7377515429647089,-0.2627880719924288,-0.710149636865486,-0.7134747941628753,-0.6615424223006507,-0.7261031170382801,-0.49131042672333236,-0.7405538196754174,-0.6111094441196157,-0.7357293277693114,-0.028702390513647952,-0.698120387356184,-0.4880725041621301,-0.4893535054983992,-0.5437581482071596,-0.6483903816558321,-0.44337356236116365,-0.5118041414571236,-0.4788672619626527,-0.5306353011143203,-0.5496591273520921,-0.6759601470645833,-0.8681508160932152,-0.897308646251959,-0.8220144245407288,-0.6970889470579541,-0.7034929060223559,-0.7417132337020211,-0.8023617207262198,-0.3427220594654943,test,738.7602852441032,1
