,AIBL,AIBR,ALA,AQR,AUAL,AUAR,AVAL,AVAR,AVBR,AVER,AVFL,AVFR,AWCR,IL2DR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMER,RMEV,SABVL,SABVR,SIBDL,SIBDR,SIBVL,SIBVR,SMDDL,SMDDR,URXL,URXR,URYDL,URYDR,URYVL,VA1,VA2,VB1,VB2,train_test_label,time_in_seconds,tau
2133,0.1246887035585943,0.05421326078682864,-0.5206711308495531,-0.5987795201549942,-0.8304932754202206,-0.8138762564666195,0.090584115512099,0.14907403480758352,-0.8918965445133068,-0.038830431049554526,-0.4334345045448297,-0.6754950897477647,-0.5142343012455962,-0.5831382690210403,-0.009430328797537135,0.1762499304706685,-0.0028877682332032473,-0.8177141170744805,-0.48476954445954956,-0.3668710212194082,-0.662725131832683,-0.6146123915187988,-0.8814264333172789,0.4502656579090134,0.22496879759702515,-0.6876645243506747,-0.7372560906830532,-0.7009340887619151,-0.791756333624925,-0.6244625955378563,-0.6500575121730263,-0.9382948630480852,-0.8970801571942244,0.8478309300143242,0.7757621862665794,0.32621516508823967,0.6775262464742425,0.39632772230743263,-0.9093744633171515,-0.8876476671879363,train,483.6531597732522,1
2134,0.0640498645892803,0.03223235036954697,-0.4185106294200257,-0.6254499214888507,-0.7508449870584932,-0.8227613128420233,0.14052750000575265,0.0635117876048944,-0.7258983838304103,-0.02551489211122293,-0.24841393320187244,-0.454505501212898,-0.5099361669953932,-0.5900543619127923,-0.24966721043875761,0.03723941185911206,-0.09528616489960695,-0.847428556823606,-0.449692741584536,-0.34952059258352397,-0.716484327439148,-0.677389151845375,-0.9457400296813586,0.46430291162801507,0.16359712203236287,-0.6439807507794368,-0.7867135731729695,-0.772005265142659,-0.7811329948566561,-0.6073154945602166,-0.5316424762439536,-0.9519194166922413,-0.8829543197723619,0.7752734855164168,0.8000465499185451,0.3285093687833953,0.6493331382468367,0.4323582204955574,-0.8998502230753734,-0.8972496165963884,train,483.8799076212472,1
2135,0.11067313875621443,0.03471589800984742,-0.34607573420243365,-0.6622616994554118,-0.7969760980898246,-0.8300370578746459,0.08593489165663759,0.05263917817858077,-0.8642122821506094,-0.14949420195717966,-0.16894017877770207,-0.3456843837649095,-0.3963828484024797,-0.5264067979701513,-0.22558692638238675,0.10620431838462274,-0.11206242914836695,-0.8964483771705651,-0.44099263580990267,-0.337736682924372,-0.6939758508072571,-0.7231537373645448,-0.9435967649275661,0.35434089581719475,0.20343320580921276,-0.6782958985947425,-0.7857982498837137,-0.7172991823061502,-0.7719162649772421,-0.530959557723621,-0.7078215322781972,-0.9538736650145943,-0.8908999140778351,0.7988005257778307,0.7183664623097364,0.3562845649498243,0.5389357917352641,0.41793616717382553,-0.875330287658244,-0.8737969898065533,train,484.1066554692421,1
2136,0.06990139697945141,0.060124703740773944,-0.42744286781592444,-0.67700434628346,-0.8457144176624634,-0.8656589312499627,0.058984525519773845,0.07785200651999646,-0.8994447573703342,-0.19160992814885736,-0.0035676310923321575,-0.1388473061486546,-0.5766357896996925,-0.5525576772304529,-0.5079887590439265,0.0933625261469041,-0.13819767162877206,-0.8298029447041825,-0.39313174221066594,-0.26758392192471536,-0.7025607375854673,-0.6663245787355848,-0.9181053503512853,0.3778117145966653,0.10548208026615669,-0.699351105806592,-0.7268819326798871,-0.5810786132538343,-0.7703015172181669,-0.6107629195930205,-0.6975482391804481,-0.9228601116217282,-0.8816286358733533,0.7049845498551296,0.8070575302237873,0.3072413793396409,0.5264699142438337,0.46311930737519225,-0.8648841420909752,-0.8623988598575504,train,484.33340331723707,1
2137,0.09170416161599337,0.07576447399131214,-0.3322692019845568,-0.6362195231379061,-0.8549069432163604,-0.8694184434973505,0.15885765198340107,0.04903141050681781,-0.8157563357563006,0.0486995455127075,0.001355790104942023,-0.27192730693594536,-0.49626109706637106,-0.5851083442297912,-0.18816085486904988,0.07318231041385947,-0.19636643391015707,-0.83415338234582,-0.36098577240846286,-0.2662968018540327,-0.6707147076262527,-0.7726621556302037,-0.8608334591307953,0.35347318900505,0.1956237694249754,-0.7346707958208417,-0.7226651934145614,-0.7531948616258048,-0.5787696248295252,-0.5694439366524786,-0.7481696034290796,-0.9255017477629788,-0.8495890098918739,0.7283510789903712,0.8383641578591999,0.2998071181985422,0.5312574582437394,0.5048018024587249,-0.8480595504739693,-0.9096101329849378,train,484.56015116523207,1
2138,0.036788757478870227,0.020265306962452767,-0.5263138509706373,-0.6514927374367223,-0.7876610302479603,-0.876204848497958,0.07877759974020626,0.08580437725216628,-0.7502747048994108,0.06774050622451377,0.11154175680157496,-0.24722030183980814,-0.5598446931954524,-0.575810234282848,-0.03924952851614927,0.2362486782474954,-0.15900885580243607,-0.8053688270568746,-0.4495643350716714,-0.33307740872973357,-0.7299742164461707,-0.8427791841493975,-0.7955571399040946,0.24457031513028626,0.11739569451110476,-0.6782293978341761,-0.7355231509085292,-0.7525098447775387,-0.6617616760939969,-0.5754178627476083,-0.6721859718889815,-0.9080860857728719,-0.8907157780529348,0.7410517431827693,0.7841823021078068,0.2928046287623385,0.45240921121258226,0.41721242971506833,-0.8445150674845295,-0.8247485346603511,train,484.786899013227,1
2139,0.04833406141702057,-0.021773999352003637,-0.46380580032303764,-0.6775901541820375,-0.8700148690829265,-0.9147096367457759,0.11509601178763229,0.08433459287918599,-0.9111426694214843,-0.07719105924441272,0.10831770101153515,-0.1537363776280254,-0.44997989244331904,-0.5781832348687896,0.059405872045707575,0.10736566368427936,-0.1379101506677397,-0.8934460933106356,-0.35246571398082027,-0.2661304742318079,-0.7090967066202154,-0.6779540605983001,-0.7752039727801203,0.3712820958834544,0.20684429257572345,-0.7091973145798802,-0.7791023740059168,-0.7547195188519327,-0.7569916478582951,-0.7941943751686478,-0.7420041261106776,-0.9048862877277342,-0.8855810216424371,0.7379416901171497,0.6703575375642364,0.28528509126329027,0.5810280908530329,0.491214177926,-0.8414310736275554,-0.8306419939965144,train,485.01364686122196,1
2140,0.04484861561062459,0.019803426106307143,-0.42159895893300736,-0.6479515506355585,-0.7500396222417789,-0.8857918250579302,-0.0025946942332243372,0.040289489925190325,-0.8390359924065234,-0.06924783094127862,0.01736055812568793,-0.2410326569427429,-0.5578561456514788,-0.6403050832882915,-0.061070955264960425,0.088812048643094,-0.12563088300198832,-0.8204619638270287,-0.4544425011227694,-0.2872478195532693,-0.7212205848589144,-0.7354464774050482,-0.9038335527689585,0.35311761192876934,0.23000951621732524,-0.6390148021455963,-0.7158041282310452,-0.8222384162834446,-0.7694443662378967,-0.7504335136062593,-0.6795058474599422,-0.9122322560286156,-0.8717268826088875,0.6996619968486774,0.7939776445984023,0.2077895962493399,0.4817132407606671,0.5405257245838768,-0.8590556422660387,-0.8579951023196569,train,485.2403947092169,1
2141,-0.05177763406637925,-0.033329750026298455,-0.5427619280478209,-0.6793859403332688,-0.8049090087629337,-0.8192578620670874,0.059468813932320286,0.014057787613411699,-0.8227877842340557,-0.18297949427789273,0.05299298661333729,-0.3385475862451489,-0.36710669594399303,-0.6379493902237978,-0.1734245562310791,0.10647445199998395,-0.18259268818198648,-0.8418705698406728,-0.421221705049431,-0.26351150486720387,-0.7148931387448134,-0.7558628895654556,-0.8338365337745228,0.3097500082084299,0.06643953726557261,-0.7948862635116161,-0.7555961973954025,-0.6433823579362602,-0.6855434156902356,-0.7277380960934408,-0.7389988458558989,-0.9230549539100644,-0.8823221221496405,0.7210588098114402,0.7951666066415447,0.21474396156260367,0.4411095819117098,0.46613522104856364,-0.8797336161059218,-0.8507033592644773,train,485.4671425572119,1
2142,0.0110287231154228,-0.03858915111065764,-0.49268047593970965,-0.6658641108767975,-0.8202495311499104,-0.7940863267433257,0.035708763422064305,0.03968998291865111,-0.7006089749240498,-0.07147359124105479,-0.06836890006740626,-0.4703335246201631,-0.531841689430479,-0.6763741999974235,-0.38645796610300354,0.09583625896873305,-0.08147948220573742,-0.8487531562296096,-0.3894559903786351,-0.2848240657217511,-0.6249004270026296,-0.7446768157662567,-0.8565903433168585,0.3112444988858538,0.1256614826620226,-0.6504973247682453,-0.7678959697473278,-0.6444590161271989,-0.6059892495430779,-0.7342530100967551,-0.7517683135947283,-0.91764810139753,-0.8840974958513836,0.6690966880810642,0.76162705996452,0.29161326879859617,0.5074901209455184,0.4950058904922714,-0.8501098346144083,-0.867158192756508,train,485.69389040520684,1
2143,-0.014315276468305993,-0.043582861010402096,-0.5645670072118207,-0.6556494631826957,-0.8094624050300812,-0.7602540548611766,0.06587395625140524,0.0222063018848645,-0.7484023783435465,-0.010848076014730701,-0.14461830585863988,-0.5779995037043633,-0.498342194730566,-0.62369093858087,0.0015778645658215407,0.12371516729001197,-0.08796315535169674,-0.8362018503663029,-0.38924048659745136,-0.33900800382489393,-0.7457604614904696,-0.6444036161290139,-0.9027217829148239,0.18224453228476944,0.15622468158292468,-0.729257137628321,-0.7119058276784969,-0.7090638717514497,-0.6156794189603476,-0.7353277096687267,-0.6491884174788572,-0.9063199221397553,-0.8660119747280657,0.733958427990188,0.8154690914234649,0.2241951292483122,0.43464300178100157,0.4725505377509689,-0.8435012077489186,-0.8103589058568125,train,485.9206382532018,1
