,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AWCL,BAGR,RIBL,RIBR,RIGR,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SABVR,SIBVL,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,URXL,URYDL,URYDR,URYVL,URYVR,VB1,VB2,train_test_label,time_in_seconds,tau
1635,-0.2154549672835225,-0.1661876598413553,-0.33302878772329514,-0.10171464153229987,-0.25576317567508744,-0.12116705925112657,-0.34000505332842157,-0.6249680948937598,-0.6289562198214556,-0.19877130241013302,-0.403357490057611,-0.21062111427572056,-0.6987181444849604,-0.5624970261465734,-0.48972450816790575,-0.3249064603827578,-0.25993795733603453,-0.2082538062658647,-0.7197842043615567,-0.6920426764598834,-0.4968764893805421,-0.5280582403914682,-0.5902476070731518,-0.6135968096000533,-0.615065480135355,-0.3866422714865831,-0.3905496958001392,-0.5055747832619568,-0.5823384486371237,-0.7066808220651426,-0.7239782634472125,-0.4292227527810969,-0.45529923661613886,-0.3950739399186265,-0.5778517175862088,-0.6260952292349871,-0.2803692646681614,-0.27781557194664974,-0.32804305899416364,-0.309740096984923,-0.7135233431078227,-0.6375317742424529,test,628.3985765124555,1
1636,-0.31600461288584214,-0.24895898883217996,-0.3561717683637018,-0.11756667516999836,-0.30006412889546097,-0.22462426939800645,-0.44716664384068827,-0.5873874478349387,-0.5981403583612053,-0.28850069632589564,-0.48400997701124787,-0.23679762658011816,-0.7095636242454705,-0.5257203315603572,-0.43815603773290474,-0.32691895175424934,-0.35018630206065116,-0.28975861817299353,-0.6882383207357836,-0.7310199196247056,-0.5317941567554229,-0.4648589244798925,-0.5492555469725281,-0.5686042836445727,-0.5512565453904855,-0.4168163440378575,-0.3794794457591335,-0.5165297539507067,-0.5834635843834728,-0.73273317657084,-0.7587974530903876,-0.46901276807236114,-0.4906749440415552,-0.43656668251608166,-0.6021220420886666,-0.6408833265287258,-0.3290958824260896,-0.3036461799938852,-0.36855043436449714,-0.3613699501839716,-0.702435010604203,-0.6042392632759329,test,628.7829181494662,1
1637,-0.39372189524980483,-0.3095001956310466,-0.36582232762024774,-0.14049070587350987,-0.31871020474600664,-0.29484887631311096,-0.5114443548339769,-0.5690597296132585,-0.5674736946964061,-0.3429489501325008,-0.5342227266267165,-0.25076008553030427,-0.7012402611907432,-0.49847038541566113,-0.4041977060996374,-0.32366639366662503,-0.40889244226876065,-0.346022824813902,-0.6612495736983637,-0.7466710248794347,-0.5530860952338366,-0.4207578049273273,-0.5080866683392815,-0.5374880847701995,-0.5182318066143813,-0.43848382809783815,-0.36418995755539907,-0.5301633015366422,-0.5803657698231893,-0.7415882293708987,-0.7821514455273436,-0.49583196268942364,-0.5058738309745086,-0.47495328271411164,-0.6206498089402475,-0.6454299051528398,-0.3597041626759812,-0.3313859367721188,-0.40123347229859074,-0.3908467422043158,-0.6988776990661285,-0.5753375701202679,test,629.167259786477,1
1638,-0.4593632117011129,-0.37266263744794115,-0.36740244099417024,-0.15661451346664457,-0.3433595421171405,-0.3667605191297074,-0.5662163132242568,-0.539970830122754,-0.5360865346837846,-0.395921252390409,-0.5933472370961597,-0.26840564030703806,-0.6984197151468622,-0.4697514347316739,-0.3695840260275118,-0.31730358673816467,-0.4641444773070441,-0.39297538816287636,-0.6356835096074642,-0.7686558260558605,-0.573570607769608,-0.37067700076381693,-0.46694549151607856,-0.49997581423712445,-0.4783700471408241,-0.45610165302072897,-0.35287517595151163,-0.5433933411391925,-0.5787103563036871,-0.7629091153591527,-0.8044913852586368,-0.5249067947754965,-0.5268398448405587,-0.5017077244476656,-0.641439731147365,-0.6563369404857282,-0.3962074039007235,-0.3564745537720674,-0.4314361853128784,-0.4249175736050427,-0.6809157134343358,-0.5421402910706228,test,629.5516014234876,1
1639,-0.5259560477407135,-0.4362253054626726,-0.36931042243734225,-0.16831489310656048,-0.3676496616060847,-0.42976093562255846,-0.6337251212950776,-0.5272685514002767,-0.5031642552032134,-0.45701348138319636,-0.6456204323364749,-0.2874206289360526,-0.6959719305154745,-0.44074354087684064,-0.33318582478537184,-0.29838790650662833,-0.5247428169057872,-0.4388017508199604,-0.6103148985451797,-0.790653671584014,-0.5958830972060875,-0.33110559345963814,-0.4396962944596754,-0.4757406458257674,-0.44103885242221197,-0.46215890740839166,-0.3381537085897127,-0.5670467202290428,-0.5917633331807002,-0.7778283025415949,-0.8331905304171691,-0.5532064130015407,-0.5552042863827459,-0.5403482647545578,-0.6582327729368697,-0.6723632971445305,-0.4543151881684103,-0.3981789620484324,-0.4770712464037823,-0.4815399543095729,-0.6753646809655166,-0.5184620506926153,test,629.9359430604983,1
1640,-0.574919272949214,-0.4877276268555073,-0.37964338302038386,-0.17622186746774066,-0.39240790075780985,-0.4795507343890171,-0.6849429570498846,-0.521154189428316,-0.4950236009437299,-0.5048756157095382,-0.681259430183228,-0.2937892671088774,-0.6814896152275461,-0.43122541375783663,-0.32194802237359305,-0.2938543756050214,-0.5715355287024865,-0.46728950389989043,-0.5924776355867811,-0.80657453637206,-0.5996798443775732,-0.2930511150407126,-0.41371392552473174,-0.4667210619042395,-0.412315476839734,-0.46714183823181904,-0.3371371590224693,-0.5873241011176903,-0.5943097922237757,-0.7845090573072879,-0.8436445347812062,-0.5734169081319298,-0.5734595991583427,-0.5645173555580897,-0.6828277146325048,-0.6833843670136274,-0.48064608660864927,-0.413584164737277,-0.4927462171010857,-0.501258769060514,-0.6795725018255765,-0.5090058740933031,test,630.3202846975089,1
1641,-0.6211715287680181,-0.5223185776363446,-0.383364585109169,-0.18266811271147346,-0.3934676424201313,-0.5191295168188721,-0.7288126167486371,-0.506119111171092,-0.49010048316645444,-0.5382712665242321,-0.7123968365075652,-0.30451472372965177,-0.6714140714582477,-0.40248867512473374,-0.29499685883205595,-0.28346899478424464,-0.6143150992095211,-0.5036306309771483,-0.5771120184368626,-0.8131424402553933,-0.6043479090752867,-0.254603647446646,-0.38916116988644855,-0.4412133561477876,-0.37713104664169295,-0.47953952639795505,-0.3367623634385689,-0.5908060762287006,-0.5945905036278647,-0.7910230542734079,-0.8360977116590987,-0.5878875558008799,-0.581775813253857,-0.5783895421363854,-0.6905268791783687,-0.6775837283460019,-0.49373954314120116,-0.42644050728889027,-0.5028737960082269,-0.506705138611517,-0.6708450824953094,-0.4939977765704699,test,630.7046263345196,1
1642,-0.6657956306711176,-0.5709197053611749,-0.38220231105543284,-0.1945496904714446,-0.41074076512513336,-0.578394727772298,-0.7700830143311366,-0.4863716924327418,-0.46784540049069595,-0.5799095395744184,-0.7532380425442933,-0.30936854810817954,-0.6506104888417616,-0.37478675261061856,-0.2619667834120982,-0.26567375590859943,-0.6534026380893186,-0.5348748406030872,-0.549450189448218,-0.8177527404795046,-0.5997863177407206,-0.22230647578994808,-0.3588250024897144,-0.4129822790195591,-0.35313489320361513,-0.4896794925931641,-0.33115501503772254,-0.6028823549216914,-0.59824781722991,-0.791138060636811,-0.8407878945158174,-0.6036674469988575,-0.5907323508452551,-0.5939431265235064,-0.6994694396427207,-0.6790480355631181,-0.5109984866323677,-0.4302198313585712,-0.5163400398136363,-0.5285528726394741,-0.6473630319048357,-0.46306203314416455,test,631.0889679715303,1
1643,-0.6958147684438416,-0.6148870212501063,-0.3818307915868405,-0.19919046512154195,-0.4265750959915022,-0.6173033688369937,-0.8112412566853275,-0.45937824318301845,-0.4404579650667385,-0.6171629731004902,-0.7785218754257324,-0.3211426327938106,-0.6494311538432178,-0.3409632314092792,-0.23589810767727937,-0.25254728272905924,-0.6907885886549487,-0.55565493016558,-0.5396162001484681,-0.8235868752690434,-0.5992702697636304,-0.18529365970770295,-0.32983512395549774,-0.38883085096456327,-0.2954231735098727,-0.4928767311251141,-0.3125019135528363,-0.6132861688637927,-0.5898408835112057,-0.7849579159783915,-0.8276830833252927,-0.6106908622690322,-0.5998797118704148,-0.604556625811613,-0.708406351758682,-0.6760135285582368,-0.5433745670203558,-0.4592297041824829,-0.5375759470969356,-0.5492283519779524,-0.6295128650241026,-0.4432619401528659,test,631.473309608541,1
1644,-0.7407166347672379,-0.6555931746573174,-0.37987362022744503,-0.22016391185307116,-0.42694445767184136,-0.6704155090907576,-0.8602060442844512,-0.4318736478648242,-0.40843428937767107,-0.6518660417961242,-0.800880861065417,-0.3238758700301171,-0.6344414673634432,-0.3132670007731,-0.21020883202698654,-0.2463476564181668,-0.7228327804888739,-0.5873271003294445,-0.528615630961095,-0.8297215455661462,-0.6174300118186522,-0.1311693308333044,-0.2992989772631044,-0.35170339061473144,-0.2424658506377792,-0.504109005889978,-0.3042481089667123,-0.6187674107823132,-0.5816060537497002,-0.7941279572696482,-0.8420406912275955,-0.624612879688767,-0.6009148179608363,-0.6213090561772038,-0.7277662847464663,-0.6723982044621866,-0.5431855764711597,-0.4610586101867117,-0.5432527920815186,-0.5370406440688918,-0.6095876922285666,-0.4130870953841229,test,631.8576512455517,1
