,AIBL,AIBR,ALA,AQR,AUAL,AVAL,AVBL,AVEL,AVER,AVFL,AWCL,BAGL,IL2DL,RIBL,RID,RIML,RIMR,RIS,RMEV,SIBDL,SIBDR,SIBVL,SMDDR,URXR,URYDR,URYVL,URYVR,VB2,train_test_label,time_in_seconds,tau
520,-0.41144481150298745,-0.4691603356253205,-0.3465799153774365,-0.6283923612325046,-0.48854930739074154,-0.5150901342611249,-0.5018545488257401,-0.5242764333133211,-0.44854780889812423,-0.2969213525179409,-0.48490616477837023,-0.6033631954800763,-0.6936874230191001,-0.5009696898922728,-0.37150451926529826,-0.546209748419382,-0.5499979320673207,-0.010915010515075374,-0.27962297512423556,-0.5163924106627519,-0.4273605453681256,-0.39843886675418877,-0.6835829659977145,-0.6399852840625935,-0.5079661314586957,-0.5965386050700012,-0.547007620444346,-0.24362711837865603,train,113.61521343313777,1
521,-0.40869223157456913,-0.4640463701840895,-0.35320264051770645,-0.6293424515728656,-0.4923109089403782,-0.5119196818575935,-0.5015009329767786,-0.5254470346778243,-0.44412723954183314,-0.2962111555507738,-0.489403393256612,-0.6041285873346471,-0.6970488043410203,-0.501705043733531,-0.367781488296821,-0.5468451682214039,-0.5539606486165389,-0.012447297178982769,-0.2760722895558037,-0.5148329320759936,-0.42664890668433686,-0.39621886719281674,-0.6887664561588249,-0.6404451314949102,-0.5010690827070836,-0.5861940559490944,-0.5515951728572173,-0.24583185298035853,train,113.8337042282015,1
522,-0.40732956060286485,-0.45289850370666446,-0.3564238402860751,-0.635289996150432,-0.4872290394041905,-0.5053850810971257,-0.5092207099570338,-0.5183539281302837,-0.44796833319149487,-0.29617289218619597,-0.49085893600073194,-0.6026347544097557,-0.695673138895651,-0.4945963806338887,-0.377688889159821,-0.5418986658164096,-0.5350367111155707,-0.03109912611434809,-0.2781186732342808,-0.5085081661282776,-0.4195525943331989,-0.39169409852331355,-0.6809092513831978,-0.6450349827420534,-0.5114248485903014,-0.5937663556310704,-0.5543527012216873,-0.24506424754179748,train,114.05219502326523,1
523,-0.41209934915818813,-0.4549536458997573,-0.35911067878261227,-0.6406060841520174,-0.48545585342201825,-0.5129758095367019,-0.5106092022469021,-0.5212270235587718,-0.4492751675379581,-0.2940358097789278,-0.4989137207182365,-0.5998329208111247,-0.6985501827564353,-0.49359531108964144,-0.3830327469771745,-0.5507667393610295,-0.5347986353452668,-0.030657127221244,-0.26790514022002504,-0.5048314673714802,-0.41874117449033554,-0.39171197382944983,-0.6799350025469263,-0.644147876787506,-0.5190200282809052,-0.5996892038105086,-0.5540925110841206,-0.24036536450869755,train,114.27068581832896,1
524,-0.41430447795914094,-0.45734970615676357,-0.3645064792954414,-0.6435036992616612,-0.48963927166155974,-0.5117972894853553,-0.5116769634196306,-0.529704919055999,-0.44932555628730114,-0.2967504513753516,-0.5029985144748667,-0.601522651822495,-0.7036410983351868,-0.4980309267174198,-0.38611989988391227,-0.5542059394847686,-0.5398013336801178,-0.027139462634093392,-0.26731443248280173,-0.5070088763835888,-0.42118341424252437,-0.3964873130145162,-0.686589641981177,-0.6467627186206943,-0.5211447132027617,-0.5992346926135533,-0.5610906392058267,-0.2428583902650629,train,114.48917661339269,1
525,-0.40236510943240256,-0.4446809425439864,-0.3622369716698488,-0.6485743275193461,-0.4936204009517855,-0.49710537002462024,-0.515068041085903,-0.5238106341377177,-0.4407656748324499,-0.3004258622580327,-0.5031220735912629,-0.6061886283052877,-0.7080937095947628,-0.5061908270537909,-0.3841422542509608,-0.5442961907674158,-0.5320546954322316,-0.027534689522982686,-0.2794988241997861,-0.5156644277116698,-0.4300538847108646,-0.41283704668983484,-0.6887324518756668,-0.6495550588493935,-0.5108621910753687,-0.5909572779596924,-0.559326955883672,-0.2614743459304506,train,114.7076674084564,1
526,-0.4040309833898728,-0.4345143488719937,-0.36375029142586635,-0.6654944512787198,-0.4967740465970859,-0.4929184076957582,-0.5345308599550374,-0.5190924627462918,-0.4419427054172097,-0.30499466215565296,-0.5150435942617141,-0.6094588171938714,-0.7200637794761808,-0.5140646513462779,-0.40630674867236044,-0.5380020421214669,-0.5272148246844608,-0.046451908147930265,-0.294877002312316,-0.5175360941476386,-0.4263389839131453,-0.4186970416495085,-0.6988844043058811,-0.6648731331988444,-0.5290709463827524,-0.5977361028145108,-0.5678120491498153,-0.277468382866175,train,114.92615820352013,1
527,-0.4026129796188033,-0.4330702546474715,-0.36443564233502923,-0.6605923208426205,-0.49989942532463716,-0.4854376408121743,-0.5300618364474493,-0.5198880936777195,-0.4468651680974355,-0.3068149489714966,-0.5130777779715415,-0.6138074241007678,-0.722128151910514,-0.5105875923523375,-0.4080399827612228,-0.5379710381237981,-0.5208923004844112,-0.05198402376712705,-0.29108831150838005,-0.5160932598288128,-0.42827340359730437,-0.4197840235689027,-0.6907410432769988,-0.6638412236309528,-0.5301970836028895,-0.6015612537794075,-0.5695021728496771,-0.26960478823008194,train,115.14464899858386,1
528,-0.40161952268012396,-0.4313689614561583,-0.37014918448385103,-0.6601311697116781,-0.5020893784827805,-0.48283814065935415,-0.5288426179202727,-0.5209452979070355,-0.450232478722479,-0.30968916371097516,-0.5109733206639082,-0.617777081343579,-0.734466064767243,-0.5133763836505018,-0.41163021703656133,-0.5397158422063771,-0.5208401486221681,-0.06190881714468005,-0.2963622878523841,-0.5112114093559966,-0.43257202893034175,-0.42363380971965847,-0.697502152862411,-0.6701271663442672,-0.5319675318401864,-0.6012271056797321,-0.5767258201318306,-0.2684733540001627,train,115.36313979364759,1
529,-0.4014153274833492,-0.4332379871154364,-0.3818822781307816,-0.6508413321101676,-0.5016796221329253,-0.4799323735602302,-0.5205014191153103,-0.5235504833293463,-0.44739083074865316,-0.30911270983037287,-0.5111698442442393,-0.612837497903157,-0.728547992107309,-0.5109010239074158,-0.39696294464989607,-0.540585903383517,-0.5243690669818601,-0.053655527818000384,-0.28586302862535734,-0.511886842911689,-0.4354252535827644,-0.41875476198423756,-0.6964825134306678,-0.6653823628565216,-0.5141912527336702,-0.591018022122042,-0.5683503306887798,-0.2563992757941481,train,115.5816305887113,1
530,-0.414118387462506,-0.4344354733223744,-0.38091758078077986,-0.6660495157433379,-0.5023425241391006,-0.4855759258773068,-0.5268839142478676,-0.5269777677440141,-0.45123384140003014,-0.31249691457903506,-0.5161071521057542,-0.6085291644508273,-0.7270771110593026,-0.5152733914206663,-0.41035468812061204,-0.5445540955287455,-0.5270712876198003,-0.0521237320710143,-0.2854989900849064,-0.5070299282502331,-0.43097095815924513,-0.42162150763719985,-0.6979080894651694,-0.667489237139854,-0.5299368834851023,-0.6022245266100263,-0.5783151085377367,-0.2580127095803576,train,115.80012138377504,1
531,-0.4082303742338414,-0.4420644283621962,-0.38328046383174874,-0.6577126671470823,-0.5031791960398324,-0.48674152694172246,-0.5186485600686059,-0.5329359086537655,-0.4485164317743451,-0.31312207052297736,-0.5110322879060125,-0.6084348325582467,-0.726151903028625,-0.520123207307785,-0.3959272427353167,-0.5440368175663787,-0.5352683070688394,-0.033137463155621966,-0.2829450782688709,-0.511706075618034,-0.43749045329710834,-0.4284569674057378,-0.7014062129784063,-0.6606311045025985,-0.5167657244048178,-0.5907254281525247,-0.572589184532037,-0.26099017319845996,train,116.01861217883877,1
532,-0.41198463310446226,-0.4390405693668399,-0.38372770124121836,-0.6617305037277719,-0.5104352817072709,-0.4839414641060562,-0.5208707026998245,-0.5340299647211392,-0.4451011819381409,-0.3164392697273705,-0.5160360328956493,-0.6082121165023742,-0.7254123366624128,-0.5245525360443255,-0.3980528358586085,-0.540547083979976,-0.538012607600832,-0.034231193026454027,-0.2880655689104577,-0.5145500586193072,-0.4378997831264895,-0.4325940667672244,-0.7030095538650029,-0.6629756479644184,-0.5153882330570727,-0.5861346643256249,-0.5754543994187722,-0.2635557100819462,train,116.2371029739025,1
533,-0.408710705472993,-0.4366425395534107,-0.37658920040258326,-0.6605400641345185,-0.5052466837265234,-0.48423231261826116,-0.5151932835620073,-0.5277188270478477,-0.4469761377764174,-0.3127225128342725,-0.5089589918319923,-0.6060430957895451,-0.720346828283279,-0.5204663870936983,-0.4007925338842418,-0.5332274912283324,-0.528665048634567,-0.03709278886181175,-0.2874064533233691,-0.5080302620274427,-0.434404411567362,-0.4295045632225136,-0.6981903512685339,-0.6576211880585094,-0.5209657481305389,-0.5900199357577054,-0.5720681369063904,-0.2641546443796745,train,116.45559376896622,1
534,-0.4108615163984932,-0.43567838258795044,-0.37604785483088365,-0.6631761164540125,-0.5055322465198853,-0.4884073640440088,-0.5165549440991817,-0.5281272812612695,-0.44326383792803875,-0.3114996767162137,-0.5107092969631417,-0.605040310431716,-0.7180111052258664,-0.5275242736277139,-0.3994013122162057,-0.5359659568458642,-0.5320258948122978,-0.031225396623968088,-0.28509522676923416,-0.5121453151766064,-0.4380888115959011,-0.4318320759799854,-0.7018982025832204,-0.6564896819710209,-0.5199786680068414,-0.5859466677321581,-0.5705728064483995,-0.2672254847525257,train,116.67408456402994,1
535,-0.40017419790682857,-0.4318493009623538,-0.3771587649697959,-0.6603964301372001,-0.5022164464231537,-0.4804147465680582,-0.5112731093358022,-0.5173513542937671,-0.4432238998874618,-0.31173524799099267,-0.5099254798938468,-0.6074481992900267,-0.7171171013925908,-0.5180586242091676,-0.3955174003107442,-0.5308635367643972,-0.5270722000530661,-0.03963688653119782,-0.27888993597975487,-0.5066574162442898,-0.433168531144444,-0.42156643335122534,-0.6968829299275031,-0.6566220720585639,-0.5113879242918088,-0.577272808233473,-0.5676468123813221,-0.2661977721386074,train,116.89257535909367,1
536,-0.40421772106734627,-0.43316959155207546,-0.3748203241454117,-0.6689807011735991,-0.5036217084445845,-0.48540587206207425,-0.519473194906337,-0.5212508613521702,-0.44658354578771714,-0.30998069239736126,-0.5122246202257935,-0.6075511979303951,-0.7187297767272363,-0.520358499550802,-0.39692706629091695,-0.536088731047397,-0.5295135645917806,-0.03779184296722754,-0.28651278393267715,-0.5107639418653347,-0.435004184196664,-0.42372135519304344,-0.6998107741277176,-0.6618006767804284,-0.521453790483258,-0.5841451460389262,-0.5732710634596965,-0.2717700580350545,train,117.1110661541574,1
537,-0.41156143666380374,-0.4412944995035775,-0.3754402485449452,-0.6720086217584871,-0.5027014352695098,-0.49542725058666437,-0.5153962589902763,-0.5234528176221371,-0.4514336977655135,-0.31105952305831547,-0.5145815490130851,-0.6042531379067813,-0.7156702450555932,-0.5194841392709943,-0.40095458288769215,-0.5399327975427688,-0.5325234318457578,-0.030416708863291314,-0.28049363079279144,-0.5060621807728978,-0.4330790650826333,-0.42175176135129344,-0.6979838493441972,-0.6572036783495869,-0.5305564600075766,-0.5915207522716293,-0.5724348523311082,-0.26878728239084726,train,117.32955694922113,1
538,-0.4063543590916913,-0.4433764054369877,-0.36940595973124934,-0.6634522300115664,-0.5003330728533137,-0.49120480536977096,-0.5082016014171183,-0.5236914649719596,-0.45304521195889647,-0.31199238363730686,-0.5072246030755126,-0.6105965254799395,-0.7167544813662896,-0.515484186910125,-0.3956505828847816,-0.5333214374978974,-0.5269110416201327,-0.0274397233781441,-0.27583399515230855,-0.5052792295332085,-0.4310796313505809,-0.4165477154096843,-0.6925552735749982,-0.6528914114427469,-0.5238625292869123,-0.5898713590330293,-0.5711176053020567,-0.26525342513120953,train,117.54804774428484,1
539,-0.42542901300788993,-0.4618695874458526,-0.37403768981314445,-0.669657086797264,-0.49340355167804106,-0.512824080512174,-0.5117100868484575,-0.5297095336430927,-0.46467620657183945,-0.31155306862076587,-0.5070088222847338,-0.6054774798589451,-0.7177648200046185,-0.5140264950140593,-0.3995788127008931,-0.5506312630010713,-0.5399637165901146,-0.02505221129591423,-0.27395251294093265,-0.49919095290363436,-0.4303215685769528,-0.4065872326004103,-0.6968271110178551,-0.6586936347623024,-0.5429222488205412,-0.6057780629643736,-0.5746198868645562,-0.2531289901437705,train,117.76653853934857,1
540,-0.41417864460666015,-0.4611130976705241,-0.3670634660033789,-0.658270122670404,-0.49610410379354963,-0.5051626488218334,-0.504108747818542,-0.5257982397963317,-0.45700784249293797,-0.312651906152084,-0.5003113768107715,-0.6051420930040239,-0.7093874013750971,-0.5099515426264559,-0.3841486133349433,-0.5455294071511531,-0.5397484028220894,-0.009036430723648847,-0.2706810765689602,-0.5079837144483714,-0.4309568544717316,-0.4100957490960631,-0.6893896530428733,-0.6465950007831607,-0.5235965332975562,-0.5912982349392986,-0.5674294345771209,-0.260902337614559,train,117.9850293344123,1
541,-0.4183553627997328,-0.46992142016934263,-0.36487636076544216,-0.6576602406330623,-0.5029990135303964,-0.5056241757353913,-0.5025465159702192,-0.5293107237388988,-0.45163287552775006,-0.3136538665102242,-0.5028547708989919,-0.6138126408468452,-0.7177235859833317,-0.5218178333410556,-0.3738519799736887,-0.5432023281833825,-0.5580390476519388,0.006635486856268358,-0.2747909691306886,-0.5156431863536022,-0.4333736631200895,-0.4178407084670515,-0.6935905965103414,-0.6457136288192146,-0.5070814296779381,-0.58721006260298,-0.5615058987777866,-0.26434209750984894,train,118.20352012947603,1
542,-0.4080628159307365,-0.45621084846821175,-0.360498436034126,-0.6548977169607122,-0.49344384478043457,-0.5012052612698668,-0.5057796037790165,-0.5151694147342913,-0.44509797726298195,-0.3073825322175132,-0.49301588057042534,-0.6063576715804184,-0.705766347797635,-0.514264639668665,-0.370669463037233,-0.5369627223976896,-0.5390989208753016,-0.0044637140599202985,-0.2781864964388966,-0.5116752417318788,-0.43163706672724855,-0.41046108554483923,-0.6842166664594129,-0.6412464636263759,-0.5143379066331969,-0.5856831550618742,-0.5593241280314634,-0.26744550053041016,train,118.42201092453976,1
543,-0.41535925626537973,-0.4680554817143815,-0.37391691386790527,-0.6588347559957326,-0.4949294831467791,-0.5111680011285925,-0.5108139179816121,-0.519582618409741,-0.44903044902669037,-0.3067061194698084,-0.49739125961396524,-0.6068358009816985,-0.706857848297312,-0.5175113600911607,-0.36664470228888024,-0.5513821709865947,-0.5469774242308578,0.0042605669168371,-0.2821872252410584,-0.5149285828578285,-0.43375858851613924,-0.4160973154596056,-0.6890995119855097,-0.6463767052583826,-0.5160904911035831,-0.593632279246445,-0.5605824930904368,-0.26042930120165125,train,118.64050171960348,1
544,-0.4086626992017166,-0.4560394025359555,-0.3691132326500454,-0.6561080331983533,-0.4941672673012537,-0.5026145892793189,-0.513898982927484,-0.5117582108518266,-0.44340229024068045,-0.30751295855338295,-0.4983842079281574,-0.6074444256720248,-0.7046992786669253,-0.5120116963463085,-0.37268138991520394,-0.5441398170461481,-0.5414547189465443,-0.010767600191458282,-0.28587339095169345,-0.5162539784818859,-0.4258003946645682,-0.4082304338134155,-0.6864261603634498,-0.6439526559104953,-0.5084642953259825,-0.5899544667627059,-0.5571997893426643,-0.26697661190721994,train,118.85899251466721,1
545,-0.40232001082570856,-0.45327994205581584,-0.35896511657053476,-0.6491985718620374,-0.489829011693959,-0.5014699065694129,-0.5123746881893637,-0.5093952981235312,-0.44102726536162656,-0.3042478679857054,-0.490944312761339,-0.6028488567580301,-0.7006497613433635,-0.5072966508974502,-0.3785269118155177,-0.5362690469643293,-0.5379731450039231,-0.017316003680105052,-0.2861906642592641,-0.5110626173274806,-0.4224065710051328,-0.4080354113351066,-0.684565818442711,-0.6411588401737267,-0.5141264103792142,-0.5890663414958597,-0.5535494037001367,-0.2634892351905429,train,119.07748330973094,1
