,AIBL,AIBR,AVAL,AVAR,AVBL,AVEL,AVER,BAGL,BAGR,OLQDL,OLQDR,OLQVL,OLQVR,RIBL,RIML,RIMR,RIVL,RIVR,RMED,RMEL,RMEV,SMDDL,SMDDR,SMDVL,URYDL,URYDR,URYVL,URYVR,train_test_label,time_in_seconds,tau
1914,-0.7781580334349295,-0.8616993086097255,-0.8645041878675236,-0.8490935410434097,-0.09595980375852523,-0.8339029733027081,-0.6600149349215549,-0.16905810910567137,-0.22225933709049916,-0.35058321119904445,-0.4718448245186651,-0.4759140665765932,-0.5894065389050082,0.12114085647551934,-0.8598452578514029,-0.8473288555795222,-0.6048954891445062,-0.687471173614224,0.016742495342357194,-0.22680895854483368,-0.11183787783378552,-0.6624516887374651,-0.7507215988404254,-0.5316474030114369,-0.5869529692629515,-0.6297233288152518,-0.5838970507256608,-0.6193175751125597,test,1089.313020983041,1
1915,-0.7867319221812106,-0.8598236603387068,-0.8625654546487923,-0.8500592752914885,-0.08774463001318605,-0.8351735271325911,-0.6616970365218116,-0.17125177657212093,-0.22306895932474605,-0.35186088902174684,-0.4759352428638856,-0.47290058314988687,-0.5817453583807882,0.1278934663882941,-0.8598642179439074,-0.8478323817113551,-0.6023707370340571,-0.6817852337641179,0.012453128282212872,-0.22735382001144858,-0.10343307675327681,-0.663056718486118,-0.7419147890406272,-0.5261430486555654,-0.5857276300931562,-0.6223420656009191,-0.5800822520394374,-0.614972064103099,test,1089.8821500431159,1
1916,-0.7811826748302537,-0.8589665676608498,-0.8538856661044802,-0.8454691797193623,-0.09522734087329837,-0.8321146779623465,-0.6550335136537754,-0.17373796799709057,-0.2227424955194691,-0.35080700559250716,-0.47638905482974425,-0.47531507186799943,-0.5817401785342674,0.12402039216650265,-0.8589308606464978,-0.8440681380851817,-0.6036043595517836,-0.6853964683192681,0.012821528134362187,-0.23060722537789913,-0.1106659841249677,-0.6697754437586898,-0.7483710728273549,-0.5270621110266693,-0.5815137249026661,-0.6193880992205689,-0.579418878707327,-0.6137550411844199,test,1090.4512791031907,1
1917,-0.7801139625937262,-0.8568359952138336,-0.8528008753370295,-0.84254155241084,-0.09429626240733555,-0.8299250234349229,-0.6581933475282916,-0.16933421397282028,-0.22365661544243062,-0.34757630406192086,-0.47958821997397644,-0.48005321274083745,-0.5815513242682948,0.1184851199149424,-0.8601653563456652,-0.8430747121627259,-0.5964724620447344,-0.6922743371433446,0.013745267934831301,-0.2268896151453051,-0.11691094290203283,-0.6749337804347495,-0.7529464751230583,-0.5249158509481751,-0.5757545269512656,-0.6173721963533025,-0.5803883602083526,-0.6147695048970927,test,1091.0204081632653,1
1918,-0.7864006430367659,-0.8595473590000645,-0.8585992904835069,-0.8466797275598696,-0.0852274462662996,-0.8299405423147073,-0.6653130048146716,-0.1677557434868246,-0.22516332601409822,-0.3496254010164278,-0.47767542096359517,-0.4797258412579636,-0.5764945726896937,0.12725475536264294,-0.8608125132244082,-0.8431353088413109,-0.5952194649404341,-0.6891287761054923,0.016001345781796156,-0.21837470511722437,-0.10945512404696113,-0.6704750586671822,-0.745981278753211,-0.5250128759356415,-0.5806258051504235,-0.6148042907922905,-0.5831131987671979,-0.6174797391483099,test,1091.5895372233401,1
1919,-0.7844298652225383,-0.8558330948674845,-0.8582429678843326,-0.8406930354291526,-0.09584875242841065,-0.826169199679238,-0.6568751296869741,-0.16749159651058892,-0.22268396268094595,-0.3499491326374534,-0.47750377397125765,-0.47724457510646695,-0.5779876285477457,0.12548236774508378,-0.8598444448890803,-0.8423266305710646,-0.5977645371949639,-0.6889180641107822,0.006513517904772476,-0.22870478604757605,-0.10992066581668883,-0.6786559963685698,-0.7509652656695592,-0.5226227040991569,-0.5773642346530106,-0.6147311858204174,-0.5812694890487969,-0.6171626970038189,test,1092.1586662834147,1
1920,-0.795342662250966,-0.8608023733044147,-0.8709003426186803,-0.8509998055962867,-0.08921034667120645,-0.8322028435398534,-0.668705094794831,-0.16522174509799287,-0.22035722913738076,-0.3583733250406754,-0.47048597399595227,-0.4719399923702533,-0.5723875414772043,0.1413653501406684,-0.8590422767236968,-0.8411885468369382,-0.5999339471578956,-0.6882106097987646,0.01456594439239603,-0.2158782972525058,-0.0939652118170915,-0.6708310945262027,-0.7499693197462876,-0.5250898512489621,-0.5871108527838488,-0.611992562270826,-0.5860658118654477,-0.6232190508467939,test,1092.7277953434896,1
1921,-0.8054432401737859,-0.863223172887794,-0.866152311473679,-0.85359189074814,-0.07875746696300556,-0.8344253466590208,-0.6726834367810837,-0.16934719095280387,-0.23022052397645007,-0.359707675323807,-0.47195857012710873,-0.4722575503687279,-0.567620980130655,0.150234362330282,-0.8623917177447443,-0.8422812097682326,-0.6038042038299932,-0.685086143165988,0.015469407941447272,-0.21031493987157238,-0.09609989697535892,-0.6781111416285835,-0.7462083066837075,-0.5246603750923685,-0.5790286307925722,-0.6090516579065689,-0.583304655966585,-0.6152925616228699,test,1093.2969244035644,1
1922,-0.8084605205096284,-0.8635834297583143,-0.8740410593185167,-0.8601707236848148,-0.0767819881036742,-0.841029904406756,-0.6782601194795875,-0.1666174945844247,-0.22654361834717282,-0.35990505599273115,-0.4665294647771777,-0.4737493663982544,-0.5671226287056186,0.14966686513668662,-0.8615129534254389,-0.8429165073323431,-0.6058730318375829,-0.6879445432100753,0.021605354846447572,-0.20350587106597245,-0.09192013737064512,-0.6725742710871667,-0.7498981323852889,-0.5272365102175125,-0.58195102500516,-0.6122405562769878,-0.5886774661412278,-0.621238707236627,test,1093.866053463639,1
1923,-0.8147381548281875,-0.8621879960984432,-0.8752300280401387,-0.8624175368702512,-0.07234042057257031,-0.839666785500804,-0.676479331877764,-0.1682273197308104,-0.22762161378318654,-0.36196047527218667,-0.4680093335136075,-0.4678210969642916,-0.5651596202935696,0.1593970374226518,-0.8593149468004443,-0.8441231284593044,-0.6109431174899557,-0.6795030770247681,0.017462839684544512,-0.2073389309258987,-0.08420601585085656,-0.671903620980145,-0.7421814456923477,-0.5254196569245677,-0.5828086572306294,-0.6098858776259597,-0.5859960261037667,-0.6185955220001024,test,1094.4351825237138,1
