,AFDR,AIBL,AIBR,AQR,AVAL,AVAR,AVEL,AWBL,AWBR,BAGL,RIBL,RID,RIML,RIMR,RIS,RIVL,RIVR,RMEL,RMEV,SIBVL,SIBVR,SMDDR,SMDVL,URXL,URXR,URYDL,URYDR,URYVL,URYVR,VB1,VB2,train_test_label,time_in_seconds,tau
1461,-0.18361834024371185,-0.005326650291776735,-0.10414318880525433,-0.32021169266860205,-0.24364162674719803,-0.27050946869563086,-0.21556475928361937,-0.4077118855188109,-0.2630532909879456,-0.49043754549603186,-0.3647981222994043,-0.2823328956868409,-0.28450176060063015,-0.26488539834357755,-0.2399794106485338,-0.4407523347169912,-0.3131245553917938,-0.44512751618260354,-0.302717704457964,-0.367462511128822,-0.403557171360845,-0.5618888527416711,-0.5453864824275136,-0.6640703620798255,-0.42700938179982023,-0.39816496930948936,-0.2535390428189943,-0.4324168774110956,-0.3321802266649556,-0.47782421718162976,-0.33998281695910626,train,398.85743174924164,1
1462,-0.18544612743303873,0.030466409634156907,-0.052604091657219604,-0.33369050297829395,-0.20265761416210104,-0.2308789736932262,-0.17133059306863652,-0.40414168021064567,-0.29072588954864376,-0.49821750868654835,-0.38762063011715664,-0.30441761475117346,-0.2361899636374193,-0.22728926025925666,-0.27615702944743886,-0.438411382669921,-0.30613092354202853,-0.45994721304965125,-0.34314282044566036,-0.39198026217488785,-0.4102651556252807,-0.5629177287842408,-0.5455074636564313,-0.6748689626134493,-0.4219845863855702,-0.3795361128322924,-0.25088840475825347,-0.4189961620336956,-0.33035484385839403,-0.48802271472618775,-0.3823398119595309,train,399.1304347826087,1
1463,-0.18827041710735656,0.05980575402705718,-0.010654791135066413,-0.33356288677214585,-0.16689203540678887,-0.20134949244655,-0.14347609201102376,-0.40298866269109473,-0.30849649823272074,-0.5031987535917554,-0.40546343616960845,-0.3166746796769139,-0.2043412568385197,-0.18672500902619016,-0.3001831263603743,-0.42998470142110423,-0.31525984891149056,-0.46366340204277046,-0.37585460344203697,-0.4225015098173585,-0.41003998473228725,-0.5589185933105745,-0.5378156247032042,-0.6758084324521355,-0.42832205052883154,-0.3626848593985258,-0.24290170553664547,-0.4044708407948088,-0.336897262842895,-0.4991291737728893,-0.41146507825534795,train,399.40343781597574,1
1464,-0.1919598261421299,0.07704124821163344,0.026494261171971602,-0.33921243761490694,-0.14150808734508977,-0.18354824406712208,-0.11513781880828383,-0.39503003836510026,-0.3194800904632411,-0.5069384654315945,-0.4209530645391873,-0.31835358926545215,-0.18445184493220795,-0.16101932568778704,-0.32057535795188696,-0.4222772661595587,-0.3182979233243033,-0.47256260465682587,-0.39146645525273377,-0.4333720799000321,-0.4089877845868638,-0.5576988105157163,-0.5329494985382093,-0.6777806355181045,-0.42512314172963706,-0.3515509235656744,-0.23561144518811244,-0.3992990481473472,-0.33545463911709017,-0.5027552454859845,-0.4329881263165605,train,399.6764408493428,1
1465,-0.18113799691202898,0.10724475947204323,0.06790634710539217,-0.33265413016593853,-0.1073981707901592,-0.1454403485367422,-0.09548774770328786,-0.3875250937897096,-0.33245646996844225,-0.5044005617954446,-0.4226594763181603,-0.3287818766857564,-0.15052967732867562,-0.12273739988949207,-0.34500832989955876,-0.41181247798827403,-0.32212740017041774,-0.47942985736820865,-0.40755453938359254,-0.44029185288727046,-0.40005284875524927,-0.5481181382606426,-0.5222127350713716,-0.6627622269996429,-0.423464209687051,-0.3403955457131173,-0.23199347498284026,-0.39191096242587514,-0.3321169470481706,-0.5054689540050256,-0.4506405953934426,train,399.94944388270983,1
1466,-0.18731887649950857,0.1063457807105849,0.08199386561725924,-0.34401198851323833,-0.09762247397114306,-0.13504765987120562,-0.07844255609299411,-0.3803054646040348,-0.3428203669579952,-0.5062077806499887,-0.4378593446185109,-0.3424394845444524,-0.13788079074575804,-0.11627725681559196,-0.35662722464990415,-0.4122302550859767,-0.3199511622693349,-0.4838063735676673,-0.4127502079025845,-0.44685770269209185,-0.39643040755333486,-0.5487141860964244,-0.5233532438124773,-0.6685682508993135,-0.42020873930228714,-0.32722921085823164,-0.23216906992630043,-0.38669923071840573,-0.3336946276480887,-0.5069047064695404,-0.4645283930413032,train,400.2224469160768,1
1467,-0.1909952331929817,0.1400826113671637,0.11232642352772573,-0.33078444022116105,-0.06804258915007792,-0.11441519423050533,-0.05276111395588738,-0.3853323271366751,-0.34704760868546547,-0.49504409150193196,-0.43495281750524517,-0.3313631065381089,-0.11395438260154761,-0.08736100206959194,-0.3665471655986962,-0.3932729541646519,-0.3086079622936246,-0.48449427484142094,-0.4159863203327496,-0.45646235531435553,-0.3910261042808436,-0.5269712341700774,-0.5085384908407232,-0.6453552720983596,-0.4092371394029066,-0.28755784512991717,-0.1890903354601614,-0.3515229344353158,-0.3139697544746942,-0.4960778810189473,-0.4649068665942693,train,400.49544994944387,1
1468,-0.18440871154889638,0.17552021018494102,0.14688586703906129,-0.3205795389099275,-0.03227545048619346,-0.06755716429485009,-0.024617510720252263,-0.37553597553851426,-0.35728756728036504,-0.4882767251793617,-0.428045565702005,-0.33309958959409103,-0.0774240654242599,-0.056631497731541885,-0.37942118751251663,-0.3783111038739657,-0.3012855018000034,-0.4934696171342894,-0.4189803026313377,-0.4561325324409213,-0.38241287339068686,-0.519693598987868,-0.4998754896165628,-0.6274241904763649,-0.3956817704987672,-0.2590601776010301,-0.16891113536883168,-0.3347255487378014,-0.2937025525981717,-0.4921041103827561,-0.47761691986904786,train,400.7684529828109,1
1469,-0.177380847489009,0.20576851426204168,0.1864219301506426,-0.32244087346897465,0.004001402056930808,-0.03244563056961379,0.00605975545751939,-0.3725132972523168,-0.3765251441958307,-0.4851052804308551,-0.43292003112114147,-0.3475254772042206,-0.037191643762859675,-0.024524998024410737,-0.4113479950009241,-0.37786486378415296,-0.29659637803391004,-0.5014126262903917,-0.4421994112404314,-0.46421310603157856,-0.3785010347690405,-0.5063974388552894,-0.4916996493224036,-0.6254729398204485,-0.39020747457227123,-0.24289303985100674,-0.16169717595421726,-0.32051428182680786,-0.2813415276969196,-0.4924317767184766,-0.5014428008373027,train,401.04145601617796,1
1470,-0.1793407039251539,0.23683997594634384,0.21512930583238965,-0.3172622934076912,0.030453899276293078,-0.0028173071818890297,0.037716427874361656,-0.36156774753345483,-0.3812001982664852,-0.47626441218416526,-0.42332156972956264,-0.34587274225600206,-0.010954983014444059,0.005633452080935818,-0.4241388519437921,-0.36150519987369345,-0.28417608203121975,-0.502625579306897,-0.44983030431620075,-0.45958059926865286,-0.3709019476508471,-0.49525593029979553,-0.47748364400629983,-0.61181780694219,-0.3743906687439652,-0.21172630836598125,-0.13518744183237202,-0.2992268709214461,-0.25916130588479314,-0.48354738724158614,-0.5081400668272573,train,401.314459049545,1
1471,-0.1796612940704554,0.2630724105274319,0.2447369023904093,-0.30133190680671934,0.05701969004487786,0.02458707479267152,0.05706814751767084,-0.35425986124944725,-0.3804472651418536,-0.4613592282950528,-0.4116189919394895,-0.3424591310221986,0.00577091948405789,0.03884885518624562,-0.433425843684326,-0.34320377164409466,-0.28083544529166576,-0.4963043562820175,-0.4426295365703658,-0.4561943871411094,-0.3513809060006383,-0.4784045778811996,-0.45977602217273406,-0.5847383126091482,-0.36253765260176796,-0.18003110341962747,-0.11163519634738137,-0.27546468965367576,-0.24519931287192404,-0.4708973333320921,-0.5027634133636958,train,401.58746208291205,1
1472,-0.16942704477398673,0.2891051960726953,0.2806874941226102,-0.3009045055154156,0.09137264589190847,0.058041382606319324,0.08679937380464789,-0.3511477015939093,-0.39411058504105934,-0.4536767382971377,-0.4065741984555839,-0.3573011362017148,0.03642830941863798,0.08549512701668162,-0.462107117845592,-0.33929851794836785,-0.2834988806212889,-0.49865210840127105,-0.4493087385893508,-0.44917143406468313,-0.33661952195819167,-0.4613241141249742,-0.4472472768544278,-0.5698652582440337,-0.35979529621969786,-0.16910095802898997,-0.11198712394696934,-0.26533122077355054,-0.23651140453507197,-0.4612456365450487,-0.5104954889640787,train,401.86046511627904,1
1473,-0.16983936134874378,0.31598305935366394,0.307366332597095,-0.283125437851321,0.12110132926223505,0.08251084029107109,0.10896980455172653,-0.3443453578500212,-0.3926218905955057,-0.43866716320339183,-0.3950893516330992,-0.3561049131311955,0.06214945304621872,0.11822942163162926,-0.476372546564406,-0.31653351881357095,-0.2676958219729016,-0.49119420273119346,-0.4490411470560958,-0.440123935897734,-0.32228445086436885,-0.4362665806080255,-0.42494472077165246,-0.5424547205899555,-0.3421239937861301,-0.13144440604405683,-0.07943939015883042,-0.23370734440302526,-0.21489900781369975,-0.44296402335652885,-0.5110554391803598,train,402.1334681496461,1
1474,-0.16335703813878122,0.3356598955289578,0.3195157001832465,-0.26422596897268313,0.13784868531586225,0.10300091891554922,0.12272167018378285,-0.33263412862285185,-0.3828478878909889,-0.4205248637877237,-0.3727352755043211,-0.3390368096309804,0.07691825615428022,0.1274230319554876,-0.4791829915049843,-0.2870366539502047,-0.247958283470137,-0.48836471937678827,-0.4336126774938744,-0.42486107299033327,-0.3103063608158409,-0.41576891986534303,-0.4004077810821054,-0.5150448009937221,-0.3192781330699141,-0.09905660219129776,-0.04528722193463963,-0.20332356572877805,-0.19648405069082103,-0.4200200265750226,-0.49736225518667887,train,402.40647118301314,1
1475,-0.1535212825343013,0.35469401890414426,0.34220444876822487,-0.26011784964176266,0.158690748092773,0.12292149268839556,0.13942596149408704,-0.33034164340707833,-0.3955017119178644,-0.4106813218975697,-0.37123610217239544,-0.3442468038015888,0.10171777970842522,0.15301637354468317,-0.49839333854522805,-0.28640064125186027,-0.24567441186961708,-0.4914447954228257,-0.44642283893042334,-0.4270043660902546,-0.30033733311094163,-0.3945289450955122,-0.3809668211769702,-0.5029122503164426,-0.31788113080810637,-0.0882745585751708,-0.04506022024813151,-0.1932284967592005,-0.18901404967797925,-0.4144292189237821,-0.5081334940903179,train,402.6794742163802,1
1476,-0.1486325702638845,0.37738691790381945,0.37214070146482625,-0.24644432947829406,0.18386246182320398,0.14596813289845373,0.16909074548058933,-0.31902674680872944,-0.39827069416419225,-0.39862829625787566,-0.35822824985545715,-0.35008456753658485,0.12137486625523816,0.19033181892366735,-0.5230077233688517,-0.2680449941940035,-0.24363985318419445,-0.48005099056972117,-0.44229249714196067,-0.413212498911929,-0.28429378204564404,-0.3748113527565204,-0.3618471936371427,-0.47990516156647656,-0.3113281569788734,-0.0624478301369045,-0.03746101856177127,-0.17351573733811984,-0.17840847385813988,-0.39669412020811956,-0.5033596046346441,train,402.95247724974723,1
1477,-0.14931284930334118,0.38298008498712444,0.38417901756113626,-0.2468297013833221,0.1897098070273206,0.15347379116009774,0.18061501942032906,-0.3105389417225151,-0.4014527847739235,-0.3913224524548067,-0.3580450782575729,-0.34865279644844394,0.12993490090261942,0.18928347142916058,-0.5299524392006367,-0.2603551857640956,-0.23686673678671288,-0.48267537255187337,-0.4450776054087332,-0.4116189738318019,-0.28248294015613684,-0.37399605407461756,-0.3544891117050407,-0.4832671569286453,-0.30397674279115783,-0.053511863016391735,-0.03398910031666054,-0.16942022560799533,-0.1692140218797616,-0.39811248762339924,-0.5161181926083432,train,403.2254802831143,1
1478,-0.14183551158100102,0.38578988651811,0.39333068643004676,-0.2506764709955281,0.19836036664989248,0.16586116460377853,0.18214762687430147,-0.3035473426776825,-0.41137660593165415,-0.3903433567283586,-0.3590920266293683,-0.36166273690908085,0.14699343277566038,0.18840594635569147,-0.5403586229137668,-0.2629486843277997,-0.2332078958985232,-0.48641826734342003,-0.452509511583741,-0.408830476286239,-0.2871407036693304,-0.3712288725153918,-0.34984214337393915,-0.4869681052273285,-0.3032079396657007,-0.05689271515649315,-0.04588334855788931,-0.1720148262451984,-0.16787214270297884,-0.3902131720676063,-0.5298205367735981,train,403.49848331648127,1
1479,-0.14634122434922786,0.38379614204200524,0.393790098385915,-0.2548221906089666,0.20457989299264528,0.16902884429297377,0.17711358693561116,-0.3015376965148838,-0.4184083097280462,-0.39719444062605636,-0.3616567420646487,-0.3742850949196358,0.15212101086640692,0.19793352512664525,-0.5390688465900162,-0.26949271659316426,-0.23781935570047397,-0.48910351131226804,-0.4573589514398119,-0.41893849681923984,-0.28851070540173446,-0.3672292208377194,-0.3480722098365808,-0.4887295881313759,-0.31302597322179204,-0.0599322798807503,-0.055600280719660486,-0.18138928090140197,-0.17444366848377837,-0.389617142569963,-0.5345081643835473,train,403.7714863498483,1
1480,-0.15430410440402037,0.38284829153164807,0.39736297086973,-0.2581540371121752,0.20756274802307828,0.16638657940738463,0.1780150347615,-0.3033133424656851,-0.4219709330812392,-0.3978015608548889,-0.3642695432998491,-0.37964728461830344,0.15164512214082168,0.19543601206971595,-0.542042154719371,-0.27113483386064996,-0.23998122903960817,-0.4898357511329908,-0.46144663241634176,-0.4231701012566822,-0.2917121240316338,-0.3677292809908365,-0.34626395600206994,-0.48963818076647414,-0.3177952893482468,-0.05805401323296222,-0.056299221945771,-0.18111759361805962,-0.17240166575805843,-0.3890901075416958,-0.534967541417626,train,404.04448938321536,1
