,AFDL,AFDR,AIBL,AIBR,ALA,AQR,AVAL,AVAR,AVEL,AVER,AVFL,AVFR,AWCR,BAGL,BAGR,OLQDL,OLQDR,RID,RIML,RIMR,RIS,RIVR,RMED,RMEL,RMER,RMEV,URXL,URXR,URYDL,URYDR,URYVL,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
33,-0.5079153476366596,-0.3159993134869669,-0.7912873916127178,-0.8322609877342122,-0.36560149772547224,-0.6797525321254805,-0.8944422675553428,-0.8934896065164837,-0.814619092995979,-0.7606348465518352,-0.3101096836129826,-0.2672265343816905,-0.6153178275220892,-0.6676019974847984,-0.7903306215186359,-0.6902233654062879,-0.6418926512850006,-0.27927303148189997,-0.9278203549292338,-0.9406034374840243,0.1767974472948604,-0.6031238081593555,-0.2886318974199712,-0.44447972550427306,-0.5322032360485476,-0.1930117173312469,-0.836381501833836,-0.7575118956151345,-0.8255086810184509,-0.7530217989832887,-0.7597578786444996,-0.8153880803307667,-0.6065413576320375,-0.2380480092429842,train,8.45752254390128,1
34,-0.5039998375132219,-0.31687433011723987,-0.7873650388510238,-0.8311357375181169,-0.37451408057611574,-0.6781083977324895,-0.8912505434310106,-0.8926026115793306,-0.816132009501253,-0.754341293326228,-0.30688473266539895,-0.27060230702482735,-0.6130505933871451,-0.6660062523651944,-0.7907801533867228,-0.6915230834948866,-0.6423770891769075,-0.27590016718702737,-0.9332395773586702,-0.9438211593413474,0.1769937582974574,-0.6043536616206472,-0.2857541238394331,-0.44335710940182305,-0.5362359686536635,-0.18707504574590306,-0.8304944587835786,-0.7591743172077792,-0.8193846413534919,-0.7483088178119116,-0.7511534194230771,-0.8084842215714358,-0.6047211576624539,-0.23710038730018246,train,8.713811105837683,1
35,-0.5058737114100431,-0.3051610831600172,-0.7889569743683377,-0.824415824726837,-0.3708829174107596,-0.6819811425695204,-0.8859931921608948,-0.8868151243814557,-0.8115681413291712,-0.7564627315042589,-0.3035030531404276,-0.2692143731380122,-0.616633365911637,-0.6638014262509753,-0.7921800717741385,-0.6836765893849752,-0.6385447189991025,-0.28439421359190226,-0.9294543811400747,-0.9429537283702469,0.16249543622052876,-0.6006603091683507,-0.2885867861366126,-0.44744117997602784,-0.5375878901477884,-0.1971122384058718,-0.8341714992397657,-0.7565085701642869,-0.8275288969182717,-0.7580893579532837,-0.7596698152959496,-0.8070561030472976,-0.6060425287115806,-0.23912048109996095,train,8.970099667774086,1
36,-0.5049911338290738,-0.31061878743045035,-0.7949430963780885,-0.8341923167835779,-0.37534050283415366,-0.6895762309586535,-0.8907422101934324,-0.8916966125888386,-0.8162299800708992,-0.7574008343622438,-0.3067313401195593,-0.2737140614686684,-0.6137789152572924,-0.6615881256738123,-0.7892011594696687,-0.6821794360607243,-0.640252940174602,-0.28247049604449326,-0.9400399711148473,-0.9475493014050811,0.17444848091893184,-0.6030056103600114,-0.2859520099971357,-0.44573470837867357,-0.5314183570208179,-0.1827725837854101,-0.8336307900095216,-0.7553770102423041,-0.8305422357528561,-0.7571327287173355,-0.7604932701031446,-0.804026107247702,-0.6094782490440016,-0.23958756448440544,train,9.226388229710489,1
37,-0.5092081078959061,-0.3046954223438352,-0.7955766438535934,-0.82792153634182,-0.36718976972749484,-0.6887822816741265,-0.8902291656670971,-0.8889229710937356,-0.8160910924626961,-0.7592477478629829,-0.30360614115265355,-0.2709447700361324,-0.6218427600707019,-0.6622313267321132,-0.7907409277147633,-0.6796659112454339,-0.6361147735861191,-0.2927293795493552,-0.9397397880526724,-0.9424106663214373,0.1652694086844117,-0.5989855496654553,-0.2848117669772008,-0.44959653079092443,-0.5282533749532392,-0.18684592001291656,-0.8319899192767951,-0.7573877626081369,-0.8349471514045965,-0.7624944314628146,-0.7712300366084098,-0.808146123661082,-0.6095902838410503,-0.23792153855092046,train,9.482676791646892,1
38,-0.5060108176898719,-0.31000426172478124,-0.7878315697384525,-0.8227264771297838,-0.3771598041297689,-0.686773675482313,-0.880705182599263,-0.8892312072020193,-0.8099848023569813,-0.7538865751276914,-0.3072334060268886,-0.27353399441329485,-0.6225521789502875,-0.663826170213349,-0.791432792110908,-0.6829635407860438,-0.6384097403199909,-0.2858875012775656,-0.9387419030592642,-0.9462054997715399,0.16038572523396138,-0.5989917420030605,-0.29403180974096915,-0.4547310298772161,-0.5387464037182521,-0.19356029604301028,-0.8364789093679548,-0.7533667081913267,-0.8333910120160569,-0.7545487398970943,-0.7621446339692366,-0.8031524460436635,-0.6128574035114925,-0.24112733280208265,train,9.738965353583295,1
39,-0.5039145571963273,-0.3063017612405763,-0.7870164975757906,-0.8183874534033246,-0.37977702270712804,-0.6907006826484554,-0.8767377210421614,-0.886595431559258,-0.8084508628619312,-0.7554791139859228,-0.30872661565355997,-0.278531063930939,-0.6237655803161767,-0.6620613270817096,-0.7936819133582762,-0.681908308608691,-0.6401723480640091,-0.2895653148719562,-0.9395855503153242,-0.9473240192085894,0.15010171645590253,-0.5971842844950925,-0.30743371977802614,-0.4606642645660949,-0.5433847106179028,-0.20172578747827719,-0.8427196305039223,-0.7543788905334539,-0.8391759948957594,-0.7552629609590898,-0.7627625214800392,-0.8012259255957753,-0.6205455053751245,-0.2471555439900892,train,9.995253915519696,1
40,-0.49455331433731675,-0.3153402294356985,-0.783379140454426,-0.8177464547739213,-0.3881651199883591,-0.6854919197427494,-0.8770302632387423,-0.8869566128763708,-0.8089622327640761,-0.7537706629328126,-0.3135018081901503,-0.2787658216594095,-0.6204570369634985,-0.6620523028176226,-0.7884228875064375,-0.6873891151657775,-0.6439984074789664,-0.2833007124529874,-0.9354010594963392,-0.9485578571302377,0.16147602135897832,-0.6064956338780441,-0.30087708712302497,-0.4609912704078032,-0.5538343942282274,-0.20198813109755645,-0.8408331320675324,-0.753660463494795,-0.8338715055581927,-0.7506526680376121,-0.7583376059530701,-0.8054074649629783,-0.6217687815964794,-0.245917441744554,train,10.251542477456098,1
41,-0.4969801088020939,-0.31436026544984264,-0.7780587340261187,-0.8110970351085811,-0.38939405199430005,-0.6919306149752151,-0.8707539145178791,-0.8835246257127679,-0.7961014447733413,-0.7488791580487597,-0.3133080879415719,-0.2824096895831868,-0.6203309931332401,-0.6664301619504167,-0.7870009146192641,-0.6811538738289862,-0.6452772511136328,-0.28787772410948154,-0.9313216235368592,-0.9427670256635116,0.14812670582900206,-0.6058478431994988,-0.3104233351097022,-0.463484325242751,-0.5575040213796802,-0.21522568364128644,-0.8465787432428994,-0.7584101972618031,-0.8301736121600419,-0.7502906659167143,-0.755295829217647,-0.8055222227296861,-0.6255055913315138,-0.2530480187533487,train,10.507831039392501,1
42,-0.5007730308827494,-0.3101638058338436,-0.7845741617225577,-0.8118741850371213,-0.3879937513424505,-0.6981744846113074,-0.8741095848423318,-0.8765381278269708,-0.8005349543360573,-0.7515780624049506,-0.3122208502060238,-0.27899597830087763,-0.6236569586552417,-0.6660657668709251,-0.7844032428789416,-0.6777877533496385,-0.6450750638227278,-0.28753930928045823,-0.9309734895543117,-0.9409261742014873,0.1556279112883041,-0.6063461904120643,-0.3102055145762455,-0.46427340316415044,-0.5482050080271053,-0.20607455349875253,-0.8496395170109652,-0.7640650997252738,-0.8359715255821996,-0.7580076086416023,-0.765443394315849,-0.8092923207242882,-0.6245947216162823,-0.24969898922930253,train,10.764119601328904,1
43,-0.5103387949429377,-0.3059294932424823,-0.7869689524202551,-0.820105389276512,-0.3766055738339684,-0.6943933017543944,-0.8781472142944476,-0.8747082619058566,-0.8055142832028072,-0.7464217926759951,-0.30871877660228936,-0.2716879583410449,-0.6237008260740227,-0.6708946824601101,-0.7914487758957366,-0.6788541603880462,-0.6376711925877012,-0.29248612515306854,-0.9295356182760484,-0.9405959130408722,0.1597574261688814,-0.596121496908755,-0.3174060970064091,-0.4559906637418396,-0.5363237780821959,-0.1985237701510296,-0.8490529098450331,-0.7672627964927148,-0.8273329779045737,-0.7564963880274984,-0.7647571164400557,-0.8084438077899128,-0.6148379371939855,-0.25278450700441796,train,11.020408163265307,1
44,-0.5225493458205714,-0.31163291746441835,-0.7938091375156325,-0.8266465353655107,-0.37654770772121726,-0.6917186192733333,-0.8808601089178367,-0.8799295566124425,-0.8100420439264806,-0.7446460556115104,-0.30245785240723166,-0.25790632313770645,-0.6275532499064886,-0.6725292056145361,-0.7977268536360036,-0.6888112124738981,-0.6359281412320722,-0.29245079376720773,-0.9314440984280468,-0.9388060663960539,0.1678144735231054,-0.5999217114562505,-0.30254596351843355,-0.4559459698744712,-0.5317949918274013,-0.17974475401434475,-0.841239802665219,-0.7706875762046095,-0.8208140057442685,-0.7437668213432889,-0.7648601612182577,-0.8127027183864468,-0.6016941684248748,-0.25157040923896457,train,11.276696725201708,1
45,-0.5245025842002049,-0.31486828489120816,-0.7914446784591271,-0.8253432207001566,-0.37330037190503296,-0.6820378422626998,-0.8841958772363047,-0.8815629928868907,-0.812948263829932,-0.7463017483719526,-0.29903248190087006,-0.2554346146214878,-0.6252769464943363,-0.6700163237780397,-0.7938529578331199,-0.6917904437735785,-0.6390637950381304,-0.2838424073354625,-0.9324234099151453,-0.931637526119165,0.17227499874135493,-0.5994875301783991,-0.28832863482091636,-0.4497587368652066,-0.5224189950055089,-0.1660540819048997,-0.8312217038926094,-0.7716717823177319,-0.8157868071634842,-0.7426119326190059,-0.7612774580458646,-0.815016964304641,-0.5928920489636179,-0.23869352639021307,train,11.53298528713811,1
46,-0.5233231745275367,-0.3189876668765606,-0.7843029594914414,-0.8192018242144575,-0.375031413217909,-0.6884973929667417,-0.8812466931924138,-0.8762831723537798,-0.8041180266911016,-0.7460088995538177,-0.3014671038904537,-0.2620976559801872,-0.6207083245619452,-0.6738305825093454,-0.7911253938445006,-0.6843225729224421,-0.639643260281475,-0.29063238361103994,-0.9281342112722375,-0.9215959881666439,0.16294774364844133,-0.6003388758642331,-0.29213473522842703,-0.44775835000333986,-0.5274374612255606,-0.1796108530863554,-0.8338176724517719,-0.7749463205629936,-0.8110084917072061,-0.7502703792406126,-0.7566363909116152,-0.814245127880993,-0.5973886849644829,-0.23799720799069318,train,11.789273849074513,1
47,-0.522168244301905,-0.31217057302146134,-0.7950087899028891,-0.8252491967969089,-0.37090046285719364,-0.6870843997825857,-0.8821029189218622,-0.8802451518855284,-0.8209955174825465,-0.7482431361799672,-0.29833565077916624,-0.25887323938561024,-0.6333428198040498,-0.6690262754201597,-0.7995920994131771,-0.6944509054980673,-0.6332265802508914,-0.2856954068436849,-0.9331735727161834,-0.9425402724788556,0.17163838935997405,-0.5875312509023448,-0.3056978451649769,-0.4567753729757398,-0.5295907313504389,-0.1773125035535384,-0.8370817784307554,-0.7675362456054395,-0.8237685641933279,-0.7388299683609113,-0.7637923166652757,-0.8114529008449477,-0.597747613318274,-0.24465118456344231,train,12.045562411010916,1
48,-0.5174103831337475,-0.32949323162852495,-0.7938939841718902,-0.8264888821775707,-0.376014460976253,-0.6884575616502968,-0.8804424585802293,-0.8849937703811557,-0.8167368555910888,-0.7508924584714591,-0.30525637292574065,-0.26406133133821025,-0.6267340490234096,-0.6667084987404722,-0.7900327508595906,-0.6963838417453349,-0.6392999294221868,-0.28649071786106795,-0.9355987418202949,-0.9368296657391767,0.17568292413165626,-0.5964235196822614,-0.3034846853354832,-0.45695253612203646,-0.528969649380804,-0.17261374145761396,-0.8356793025998014,-0.7675795425389906,-0.8241299138238968,-0.7411137494744144,-0.7599468734760207,-0.813320665690487,-0.6037043699777316,-0.2461790162092223,train,12.301850972947319,1
49,-0.5109514616083467,-0.32467200035009,-0.7975008765441853,-0.8243738132185346,-0.3843493349671119,-0.6848055942103721,-0.878130964856904,-0.8784001593469841,-0.8226724208009922,-0.751180629176888,-0.3067979809734669,-0.2642586955524069,-0.6274569948904889,-0.6645486102867191,-0.7925353426467218,-0.6988333642316826,-0.6396818042118237,-0.2753529700439602,-0.9347565187661498,-0.9383318854325,0.18509482928112603,-0.6008352547721886,-0.30259185526135046,-0.45897064206831556,-0.5355945667293128,-0.16562200616647807,-0.8360133979133495,-0.7691363824730628,-0.8223912437637305,-0.7369824682264245,-0.7577616846987519,-0.8140666992092077,-0.6012471312195499,-0.24180158556281633,train,12.55813953488372,1
50,-0.5154177440664902,-0.3280462464046479,-0.7955771655326622,-0.8246184497741297,-0.38353327977279006,-0.6885456093798845,-0.8776867199639796,-0.8793501440909368,-0.8235008565491081,-0.7493348031695479,-0.3059552260707043,-0.2658208778654722,-0.6283751818009526,-0.667287016066764,-0.794662468875966,-0.6983827208402867,-0.6358402615477408,-0.2797389227667786,-0.9367272995193542,-0.9369145352696467,0.18127105504987295,-0.5970293808200078,-0.3098103107415652,-0.4590163912854018,-0.5335708617386421,-0.16560364878696582,-0.8367912392821677,-0.7715008096095635,-0.822121363621215,-0.7376253847409029,-0.7563355666475083,-0.8154316889423406,-0.6013188796444073,-0.24832940404687226,train,12.814428096820123,1
