,experiment_ID,model_type,validation_dataset,individual_validation_loss,individual_baseline_loss,num_parameters,num_worms,num_time_steps,min_val_loss,val_baseline
1106,exp36,NetworkLSTM,Skora2018,0.005672630949751,0.0075098035523903,573574,185,113911,0.0173022958850094,0.0104822724152513
1107,exp36,NetworkLSTM,Kaplan2020,0.0084842468836301,0.0035063432111488,573574,185,113911,0.0173022958850094,0.0104822724152513
1108,exp36,NetworkLSTM,Yemini2021,0.0260780587708054,0.0108707598526368,573574,185,113911,0.0173022958850094,0.0104822724152513
1109,exp36,NetworkLSTM,Uzel2022,0.1233582422961869,0.0075639537559861,573574,185,113911,0.0173022958850094,0.0104822724152513
1110,exp36,NetworkLSTM,Flavell2023,0.0104870544186269,0.0080915278922475,573574,185,113911,0.0173022958850094,0.0104822724152513
1111,exp36,NetworkLSTM,Leifer2023,0.0183553124028121,0.0124225373570773,573574,185,113911,0.0173022958850094,0.0104822724152513
1112,exp37,NetworkLSTM,Kato2015,0.0063279274509113,0.0136508184820437,573574,190,116911,0.0144870662864979,0.0104822724021341
1113,exp37,NetworkLSTM,Nichols2017,0.0055420289595944,0.0103306582875368,573574,190,116911,0.0144870662864979,0.0104822724021341
1114,exp37,NetworkLSTM,Skora2018,0.0057145540258716,0.0075098035523903,573574,190,116911,0.0144870662864979,0.0104822724021341
1115,exp37,NetworkLSTM,Kaplan2020,0.0099250822750993,0.0035063432111488,573574,190,116911,0.0144870662864979,0.0104822724021341
1116,exp37,NetworkLSTM,Yemini2021,0.0240596735550622,0.0108707598526368,573574,190,116911,0.0144870662864979,0.0104822724021341
1117,exp37,NetworkLSTM,Uzel2022,0.0272889427481762,0.0075639537559861,573574,190,116911,0.0144870662864979,0.0104822724021341
1118,exp37,NetworkLSTM,Flavell2023,0.0098052058972825,0.0080915278922475,573574,190,116911,0.0144870662864979,0.0104822724021341
1119,exp37,NetworkLSTM,Leifer2023,0.0166427113929196,0.0124225373570773,573574,190,116911,0.0144870662864979,0.0104822724021341
1120,exp38,NetworkLSTM,Kato2015,0.0072323657950619,0.0136508184820437,573574,195,118946,0.0159161069600934,0.0104822724021341
1121,exp38,NetworkLSTM,Nichols2017,0.0055750125580247,0.0103306582875368,573574,195,118946,0.0159161069600934,0.0104822724021341
1122,exp38,NetworkLSTM,Skora2018,0.0048044879489073,0.0075098035523903,573574,195,118946,0.0159161069600934,0.0104822724021341
1123,exp38,NetworkLSTM,Kaplan2020,0.0107514569220879,0.0035063432111488,573574,195,118946,0.0159161069600934,0.0104822724021341
1124,exp38,NetworkLSTM,Yemini2021,0.023689105960645,0.0108707598526368,573574,195,118946,0.0159161069600934,0.0104822724021341
1125,exp38,NetworkLSTM,Uzel2022,0.0913254034142786,0.0075639537559861,573574,195,118946,0.0159161069600934,0.0104822724021341
1126,exp38,NetworkLSTM,Flavell2023,0.0097596942607196,0.0080915278922475,573574,195,118946,0.0159161069600934,0.0104822724021341
1127,exp38,NetworkLSTM,Leifer2023,0.0172682681792032,0.0124225373570773,573574,195,118946,0.0159161069600934,0.0104822724021341
1128,exp39,NetworkLSTM,Kato2015,0.0061059012553717,0.0136508184820437,573574,200,125277,0.0142168225720524,0.0104822724021341
1129,exp39,NetworkLSTM,Nichols2017,0.0051515427008284,0.0103306582875368,573574,200,125277,0.0142168225720524,0.0104822724021341
1130,exp39,NetworkLSTM,Skora2018,0.0045922798074874,0.0075098035523903,573574,200,125277,0.0142168225720524,0.0104822724021341
1131,exp39,NetworkLSTM,Kaplan2020,0.0105018772554965,0.0035063432111488,573574,200,125277,0.0142168225720524,0.0104822724021341
1132,exp39,NetworkLSTM,Yemini2021,0.0247694189061543,0.0108707598526368,573574,200,125277,0.0142168225720524,0.0104822724021341
1133,exp39,NetworkLSTM,Uzel2022,0.0308921532268868,0.0075639537559861,573574,200,125277,0.0142168225720524,0.0104822724021341
1134,exp39,NetworkLSTM,Flavell2023,0.009060709562982,0.0080915278922475,573574,200,125277,0.0142168225720524,0.0104822724021341
1135,exp39,NetworkLSTM,Leifer2023,0.0158992039760764,0.0124225373570773,573574,200,125277,0.0142168225720524,0.0104822724021341
1136,exp4,NetworkLSTM,Kato2015,0.2137838273386781,0.0136508184820437,573574,25,14403,0.2885898202657699,0.0104822724021341
1137,exp4,NetworkLSTM,Nichols2017,0.1635353195068257,0.0103306582875368,573574,25,14403,0.2885898202657699,0.0104822724021341
1138,exp4,NetworkLSTM,Skora2018,0.21975385977809,0.0075098035523903,573574,25,14403,0.2885898202657699,0.0104822724021341
1139,exp4,NetworkLSTM,Uzel2022,0.3036960867854456,0.0075639537559861,573574,25,14403,0.2885898202657699,0.0104822724021341
1140,exp4,NetworkLSTM,Yemini2021,0.3475548792725467,0.0108707598526368,573574,25,14403,0.2885898202657699,0.0104822724021341
1141,exp4,NetworkLSTM,Kaplan2020,0.2227852240290591,0.0035063432111488,573574,25,14403,0.2885898202657699,0.0104822724021341
1142,exp4,NetworkLSTM,Flavell2023,0.2821078550885431,0.0080915278922475,573574,25,14403,0.2885898202657699,0.0104822724021341
1143,exp4,NetworkLSTM,Leifer2023,0.3327292387405702,0.0124225373570773,573574,25,14403,0.2885898202657699,0.0104822724021341
1144,exp40,NetworkLSTM,Kato2015,0.0065264255581496,0.0136508184820437,573574,205,126364,0.0139061688694735,0.0104822724021341
1145,exp40,NetworkLSTM,Nichols2017,0.0052045186263388,0.0103306582875368,573574,205,126364,0.0139061688694735,0.0104822724021341
1146,exp40,NetworkLSTM,Skora2018,0.0046440911977091,0.0075098035523903,573574,205,126364,0.0139061688694735,0.0104822724021341
1147,exp40,NetworkLSTM,Kaplan2020,0.0065696496752647,0.0035063432111488,573574,205,126364,0.0139061688694735,0.0104822724021341
