,AFDR,AIBL,AIBR,ALA,AQR,ASKL,ASKR,AUAL,AUAR,AVAL,AVAR,AVBL,AVEL,AVFL,AWCL,BAGL,BAGR,IL2DR,OLQVL,RID,RIFL,RIML,RIS,RIVL,RIVR,RMED,RMEV,RMGL,SABVL,SABVR,SIBDL,SIBDR,SIBVR,SMBVL,URXR,URYDL,URYDR,URYVL,URYVR,VA1,VB1,VB3,train_test_label,time_in_seconds,tau
3641,-0.201303555231899,-0.751810437582763,-0.797858199986463,-0.4215134539157453,-0.666171767773494,-0.5853711604127271,-0.5039823745260403,-0.5109817602689365,-0.6574828969227671,-1.0036535325246554,-0.8771206583553081,-0.20524760744456702,-0.893237769558117,-0.22913511433256267,-0.5854813749446651,-0.5023242901608463,-0.7387750186222227,-0.9081675587257926,-0.6574239351163618,-0.18457868809826342,-0.5272399670947197,-0.9784518045211189,0.23845220245177112,-0.6521610745004202,-0.5545724406401754,0.05538251322100379,0.15544512062472154,-0.2502712410719904,-0.19877182451021647,-0.495146579751145,-0.39626563752839183,-0.375796837438509,-0.2223683958581855,-0.14668263480163,-0.7234389948108708,-0.7639761859341763,-0.6933452736605044,-0.721945924608881,-0.6725686365945625,-0.8253309436293341,-0.44384418141929854,-0.48369786578245394,test,826.9779179810726,1
3642,-0.19980788673229782,-0.7555122328793016,-0.7884845574665539,-0.4201493163406216,-0.6620423689672452,-0.5855583911505532,-0.50684681211778,-0.5105452769872257,-0.6549583926276658,-1.007862301878311,-0.8805583500725829,-0.2140057384862642,-0.8952409891365789,-0.23478712105705668,-0.5799239495611465,-0.5016957735228914,-0.7378321847747749,-0.9000773899757368,-0.6594621236046067,-0.18854819053508803,-0.5221977903269805,-0.9780738192339077,0.23553250239172968,-0.6561159673661572,-0.553921019944774,0.04541427376245502,0.15202909260935799,-0.25507578894250166,-0.20794833062981444,-0.5050273127845052,-0.3982996075588812,-0.3747887738294472,-0.22984956602254975,-0.1386787154629316,-0.7293675816073075,-0.7689131974183429,-0.7052609371642762,-0.7294756672282687,-0.6783679646649018,-0.8286729871701081,-0.4492954177769016,-0.48435443806373973,test,827.2050473186121,1
3643,-0.20301756198927226,-0.7491779294241256,-0.7933673527474936,-0.42333420039150754,-0.663479333422019,-0.5856385377983102,-0.5066624405127671,-0.5124015730463183,-0.6594612897434967,-1.010088568458814,-0.8843352182880326,-0.21537040799320462,-0.8941857538304456,-0.2358235127703881,-0.5835267733964051,-0.5018921532591951,-0.7404114324392652,-0.899855623274512,-0.6629384651149881,-0.1793919986197744,-0.5176160753488187,-0.9842689619156376,0.24557041332239443,-0.6567145268570943,-0.5580160784409642,0.05055645680243115,0.15717687417424833,-0.2603047783414437,-0.20902243666173975,-0.49843540023010374,-0.40011018858077746,-0.3722814829944397,-0.2266657341107538,-0.14399286946570308,-0.7286819914253173,-0.7742790299093388,-0.695325478350594,-0.7223981482169674,-0.6810556657013639,-0.8289670207967375,-0.44834374264143717,-0.49191890482207057,test,827.4321766561515,1
3644,-0.20487702296358362,-0.743835057940426,-0.7842758171875495,-0.4268206698769462,-0.6645533136599766,-0.5891371813455969,-0.511876010773381,-0.5105428250229225,-0.6542824644990818,-1.0039782780551172,-0.8753861886883045,-0.2153332498952701,-0.8919350645408821,-0.2310984954172138,-0.5848489565276636,-0.506565272092691,-0.7346462381249362,-0.907587831887285,-0.6601610116752462,-0.1787251760969682,-0.5208922730391371,-0.9804976722043415,0.23868975287244454,-0.6497728708878443,-0.5575518715262539,0.05118390561129349,0.15406355565718682,-0.2553973015648576,-0.21115523669525285,-0.5010104602006216,-0.3930636267869834,-0.3724696589426677,-0.23247023280665896,-0.14155086972413114,-0.7285472503094299,-0.7724338882404637,-0.6939016465590311,-0.725544597531724,-0.6805436506892218,-0.829528942267523,-0.44684893749395166,-0.48471849067045325,test,827.6593059936909,1
3645,-0.21120467114453145,-0.7479254936272907,-0.7806705881143575,-0.42715526618530386,-0.6760942054042607,-0.5875647968410532,-0.5176663120310401,-0.5139779026179868,-0.6537869482765418,-1.0107890528267083,-0.8732183483678437,-0.2220861612003875,-0.8881601924858786,-0.23447901671389415,-0.5913276562987586,-0.5043099757060836,-0.7369199043138374,-0.9041349977190306,-0.6624827057278259,-0.18505426201157418,-0.5255534599038215,-0.9849714423106783,0.24450208111331745,-0.6615906071913247,-0.5646763312026205,0.0475434099225239,0.1506515751914562,-0.25548180901376155,-0.21553287687200703,-0.5100771589971604,-0.39828737752029675,-0.37178309304370194,-0.23508653159481058,-0.14328115218880766,-0.7301472240861595,-0.7710189632341559,-0.7018354103500108,-0.7258273368177788,-0.6834529560016314,-0.8323974406792831,-0.4554236887825226,-0.48708067387363446,test,827.8864353312304,1
3646,-0.21833039163575335,-0.7483317121301322,-0.7769185261797898,-0.4287610789614772,-0.6729836458125864,-0.5945421718628825,-0.5239920318202694,-0.5163143886370337,-0.6585693398030292,-1.008160759474558,-0.8732215930279777,-0.2269466926529297,-0.8919549956009051,-0.24088461433550626,-0.5873094035402311,-0.5082519558446903,-0.7363612702124576,-0.9111554057347242,-0.6638532513238024,-0.1890596348934066,-0.5282107922502369,-0.9855450682340002,0.24419112289885947,-0.6690885601473874,-0.5601817612720108,0.02303730051257219,0.14216677425499244,-0.26547255383127116,-0.22798505815903433,-0.5117949018577437,-0.4045407058302285,-0.37957744824090833,-0.24543447644127744,-0.13688342267735992,-0.7364695861094968,-0.7766771621322881,-0.7062681012121622,-0.7277719164260996,-0.6888091922184592,-0.8330483451101252,-0.46367315305944423,-0.4878212827203721,test,828.1135646687698,1
3647,-0.21649078774298577,-0.7386003186072185,-0.7685926953367116,-0.4276364739735437,-0.669531046392523,-0.5929401839239393,-0.5213965873714728,-0.5179237296139073,-0.6573626956169816,-1.0028633545707986,-0.8730307650221122,-0.2303750034293783,-0.8876607021537459,-0.24525427704690728,-0.5819465753655545,-0.510853373119593,-0.7335964407813221,-0.9068159069353072,-0.6641937663470525,-0.1897839031964404,-0.5224821085211415,-0.9785084158013331,0.24090514083323672,-0.6712297183357534,-0.5604567924872249,0.0215699066385307,0.1384286742893118,-0.26430455747964315,-0.23304515031545792,-0.5107272683824697,-0.40454121507087004,-0.37863459551613987,-0.24765216530169304,-0.13669882296695424,-0.7402361899295546,-0.7791973888578382,-0.7072874410384187,-0.7260030766311092,-0.6909692386568838,-0.8341093722808541,-0.46566593557265157,-0.48756941079217997,test,828.3406940063091,1
3648,-0.22189479885652696,-0.7420861214507405,-0.7630868676277291,-0.4228865545243747,-0.674136930750757,-0.5890615681382191,-0.5279095561963014,-0.5166941943178548,-0.6596369931691138,-1.0029416256113257,-0.871821357600242,-0.23590992258998925,-0.8827958635605878,-0.24848752319492082,-0.5849501400423929,-0.5100591964369844,-0.7357417959562522,-0.9043916042028345,-0.6645597904075484,-0.19657340693790848,-0.5293038417715601,-0.9779288684019076,0.23642641038476536,-0.6758231366046749,-0.560112129345659,0.012128110788086705,0.13196424823005246,-0.27283329649504906,-0.236307114926945,-0.5136078989917336,-0.4085113490700217,-0.3833362225579351,-0.24486681003281538,-0.14169112512090332,-0.7431452258399092,-0.7807711095098968,-0.7082307358344644,-0.7240413151240582,-0.6923065393414956,-0.836354042360031,-0.47488284652171653,-0.4922799375193303,test,828.5678233438485,1
3649,-0.22486847598560789,-0.7511924360838563,-0.769744839038869,-0.42871084267319187,-0.6827498979336,-0.5935357341425596,-0.5298928904213464,-0.5207709958034901,-0.6642809530824585,-1.0087782963722818,-0.8765943935279846,-0.23956992093796423,-0.8856019241802476,-0.24639177234161658,-0.5942935768258788,-0.5112724199877637,-0.7434939463145894,-0.9092834849122096,-0.6668453886390012,-0.20283473488350087,-0.5367851928556289,-0.9856653557489479,0.2371112204317657,-0.6841951103529778,-0.5690715394488801,0.019249269357888732,0.13038322358140714,-0.27362374538404005,-0.23479795965010497,-0.5261819710744018,-0.4100575313349512,-0.38044268052735564,-0.25243437017673637,-0.13592220687930212,-0.7503561234815315,-0.7829979046797277,-0.7096829649481506,-0.7286026717537886,-0.693208259592855,-0.8395576856723305,-0.47780654639885123,-0.493273117085629,test,828.794952681388,1
3650,-0.22615643008900518,-0.7398741729322476,-0.7596836436313756,-0.4325861867254975,-0.6763803936963804,-0.5991232112877393,-0.5290593858910237,-0.5223345722594066,-0.6652135702709832,-1.0003772778709226,-0.8713828533755563,-0.24210582821717286,-0.8840086305903171,-0.2521239614055728,-0.5885737194371972,-0.5134180491386949,-0.7426389848789184,-0.9123840617738177,-0.6674381454442463,-0.20221561539338567,-0.5306359223289806,-0.9820998951173089,0.23210585483649587,-0.6839905955436173,-0.5651741470534677,0.006722917286510893,0.12632188171652878,-0.2755915792512835,-0.24359964917140026,-0.5217673595378463,-0.41295544749337804,-0.38318346912728507,-0.25557184915128595,-0.13195080744827875,-0.7527292777609045,-0.7789272017373708,-0.7111872858664335,-0.7227604275300875,-0.6967601544211747,-0.8359550824592213,-0.4791345382875789,-0.4907454802331047,test,829.0220820189274,1
3651,-0.22399086348245004,-0.7394272341628717,-0.7535397520462093,-0.43373026692773203,-0.6859730260196126,-0.60037344431499,-0.53066046420584,-0.5234720776748624,-0.6695538846284051,-0.9968667548815661,-0.8704181717687619,-0.24799238550761393,-0.8741461862304105,-0.25431306792832575,-0.5817213860009524,-0.5150827079752349,-0.7441779499286636,-0.9107494601368038,-0.664017400210625,-0.19979516516442325,-0.5358814652451792,-0.9806901773853159,0.22851460554948533,-0.6899899260835713,-0.5663942945543383,-0.005578120389748253,0.1155545143000134,-0.2800349618770044,-0.24496477385617155,-0.5226205171423355,-0.41606200298609375,-0.3866541229305068,-0.2592071081880486,-0.13386472539762542,-0.7571174070077251,-0.7888737623375808,-0.7120865795820894,-0.7206313897316193,-0.6984309785897951,-0.836348797520009,-0.48716750695473565,-0.4986787134271276,test,829.2492113564668,1
