,AIBL,AIBR,ALA,ASJL,ASKL,ASKR,AVAL,AVAR,AVEL,AVFL,AVFR,AWBL,AWCL,AWCR,BAGL,BAGR,DB1,DB2,RIBL,RIBR,RID,RIML,RIMR,RMED,RMEL,RMER,RMEV,SABD,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,URYDL,URYDR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
746,-0.08608264604166956,-0.12860724190593786,-0.1333393206137335,0.05362118071124456,-0.3821712347712526,-0.26780195521585654,-0.18143877791125823,-0.29681617850866093,-0.22869820147837674,-0.13119604464202714,-0.15393622908141008,-0.15001935778134115,-0.2206613435186178,0.03955826590399757,-0.8371676598506679,-0.8378999132292188,-0.43666212920837555,-0.6600368556051774,-0.6836222929586973,-0.5019330676449925,-0.3691664682934065,-0.3791739964312673,-0.3550601016511996,-0.4077865119183364,-0.6125078807122951,-0.6866591986077921,-0.5760530156445307,-0.15783967428895657,-0.7297049635215785,-0.6538585383898421,-0.5748672937786096,-0.6614554459083836,-0.589560877170463,-0.5328692161149945,-0.5361087656158412,-0.16570140534075595,-0.3423366017426191,-0.11275211994431292,-0.6485820928654565,-0.617944000847563,train,310.23488640739316,1
747,-0.059764256548673934,-0.09779744807934841,-0.13718032566508098,0.05558251355852091,-0.3726954763583975,-0.25484786511247215,-0.14636294202621353,-0.26856800828040445,-0.19980953376640104,-0.12843637455246062,-0.15723699435360267,-0.1459004108250824,-0.21999792207855584,0.03573116885536345,-0.8342466879800148,-0.8342107123112835,-0.43253129387620015,-0.6569635501850057,-0.6871122501374081,-0.5012600377046961,-0.3800300183921994,-0.3475832403781236,-0.3326176246144604,-0.4321114132584317,-0.6351567366275591,-0.6979146109653637,-0.5882920559085401,-0.15413356782836363,-0.7155477875658134,-0.6421892456824463,-0.5653049194887138,-0.6627421850023528,-0.5673392609358859,-0.5086453471371055,-0.5213570710655306,-0.15978583136659258,-0.32768338429746163,-0.08879267275910185,-0.6546738801942633,-0.6304486110081373,train,310.65075086638427,1
748,-0.03730877417409367,-0.06470925653990191,-0.14509908231638027,0.069986082475082,-0.3718784361866434,-0.24254339143933976,-0.11071394316570665,-0.23766122625918826,-0.1693166267600889,-0.128171433848016,-0.1597809723608895,-0.1481009552140701,-0.21791370491855025,0.0352042927633628,-0.8375099153210305,-0.8305563720235529,-0.43012569194556094,-0.6772605798478892,-0.7025848777638213,-0.5139812075458714,-0.3888391134915117,-0.3220168802130572,-0.2973639596243444,-0.46341874503102565,-0.6539823173176479,-0.7110341311516901,-0.6194464255811041,-0.14681932095694095,-0.7039737272145236,-0.6283931449000539,-0.5621002465750273,-0.6525732998835753,-0.5456407941666728,-0.48393252117438756,-0.5108047560109149,-0.1522762473695639,-0.33364294071676537,-0.057688428230083744,-0.6638263266331668,-0.6347058225258115,train,311.06661532537544,1
749,-0.011616069879012855,-0.04656962151636069,-0.1493411025281342,0.08421737355391387,-0.358469616863071,-0.221645607153681,-0.09577802543517101,-0.22707208650108107,-0.15115973236993938,-0.12601582076750187,-0.16214495977844717,-0.15247283286893556,-0.21921979462256294,0.03832725864885089,-0.8297118471201056,-0.8210965899882499,-0.4371150112169341,-0.6782773463394569,-0.7020333761077385,-0.517304062189487,-0.3872822166177472,-0.2977961148726499,-0.2715909441617017,-0.4769690105694685,-0.6581120437053217,-0.7056693365906995,-0.6394998724058354,-0.14038417823613955,-0.7016829214451937,-0.627360859228408,-0.5532052349399276,-0.6273880309416262,-0.5384200493370881,-0.4789279626172914,-0.5126204395809796,-0.15985725647199317,-0.33865117105856407,-0.04079956255572543,-0.6712791724132346,-0.6400652937830213,train,311.48247978436655,1
750,0.016147360051820533,-0.013452036391561678,-0.15465879188482423,0.09034184196434591,-0.3471612766513673,-0.2041997060424872,-0.05690567425398987,-0.19284769992538595,-0.11526647772122053,-0.12281341458504634,-0.16012697762307287,-0.15559317625272678,-0.21491934839374793,0.04178884416701383,-0.8272800850861154,-0.8148950289515297,-0.42845642900095027,-0.6858670835913745,-0.7120927429800973,-0.5297710676225489,-0.3838824896881141,-0.26204487136571786,-0.23635100428216044,-0.5088945257517369,-0.6759496601242958,-0.7114970575436953,-0.6657211959256308,-0.12519642435516695,-0.689873078459694,-0.6117005928561621,-0.5490693084497354,-0.6102397183362547,-0.5106124731214847,-0.45174593607161756,-0.49994509663517206,-0.1560932785853617,-0.33095732154811436,0.0002514832761356077,-0.6815747846754854,-0.6419440583576104,train,311.8983442433577,1
751,0.030634390168404538,0.016382734421481086,-0.1564577446298132,0.09640378014284567,-0.3384133713221489,-0.19273794309072437,-0.029596403819817735,-0.17238162226723314,-0.09243915162184549,-0.12716315914517676,-0.1606419144875073,-0.15013818140995333,-0.22478922695383302,0.0372127616604444,-0.8217482535780877,-0.8057599789160058,-0.42000976365576814,-0.6846681568951463,-0.7111093321403416,-0.5314968963814065,-0.38780422886630295,-0.24399561241958914,-0.21723694125795945,-0.5226451805101012,-0.6960525935237022,-0.7110527650654211,-0.6709971238976089,-0.12067554856531285,-0.6791343578922727,-0.6012061753353857,-0.5401645905102491,-0.6072400030611167,-0.49232027848891585,-0.42941777538924203,-0.4902838459616393,-0.14838379590312784,-0.3196670439979944,0.018982870982615443,-0.6770642843045405,-0.6422127164380671,train,312.3142087023489,1
752,0.06327419366117236,0.033442915525775704,-0.15208595679044673,0.09721529672637699,-0.3172784039813886,-0.17323419702422163,0.0018867706023365516,-0.14244029959111923,-0.06036440934484132,-0.12034386775230065,-0.15570408945701053,-0.15427839762815035,-0.2215469370808163,0.03260887721441585,-0.8138717080490429,-0.8071112423906457,-0.42132032849033696,-0.6908396778266179,-0.7159999267627888,-0.5341145141756559,-0.4026183154142765,-0.21821883406222256,-0.2041386795868641,-0.545357247246464,-0.7105848020712642,-0.7299151713091147,-0.6777464830052997,-0.09930701639822773,-0.6715945644982471,-0.5957320753780337,-0.5322866300241338,-0.5992249621035382,-0.4704227302420561,-0.4067706104503927,-0.472266902513232,-0.13426088097345276,-0.3128927012208975,0.038684476556188854,-0.6844286799264081,-0.668425312351088,train,312.73007316134,1
753,0.08789304778288921,0.05680642358104547,-0.1501256551705933,0.11066354910488185,-0.31128291735606567,-0.15108543244208078,0.025151642343357775,-0.13995321512963171,-0.03566451061094951,-0.11857711493194434,-0.14685135025658616,-0.15507080962165068,-0.22555592378511002,0.03511702321881499,-0.8130049249262223,-0.7920209245841869,-0.4155199061064884,-0.6934496706454973,-0.7042530720085558,-0.5379156030949657,-0.3980284338514086,-0.1882454841603579,-0.17871135243315145,-0.5547413845855657,-0.7137823747806387,-0.7254552320976514,-0.6891271700064379,-0.0920736592195204,-0.6569954312651326,-0.5840873166624254,-0.5216584538500479,-0.5756652111623379,-0.4597746682264259,-0.3993994891738293,-0.47180441974445964,-0.13902820937441634,-0.32028091105197976,0.0579784578893304,-0.6871256835031596,-0.6649142856596519,train,313.14593762033115,1
754,0.11210770873037774,0.09415654264822972,-0.15602554825877102,0.10983508031264944,-0.31542024282748504,-0.13559601423657922,0.057124456777623914,-0.09569332309482348,0.0023932338455943253,-0.11761439349467165,-0.14578224862263103,-0.15687579863309667,-0.21393159305074827,0.04045320133095415,-0.7952088063919123,-0.7714654086228913,-0.4057674764290893,-0.6878696097113606,-0.7141297031283957,-0.5351336432875272,-0.39582291800829006,-0.14943756666203303,-0.14431523503686983,-0.5657448083234944,-0.7329263172950377,-0.7376288176906755,-0.6942423719287107,-0.07849797266425411,-0.6359024547167983,-0.5719627259343045,-0.4987597905305935,-0.5519406982031435,-0.4352685199122079,-0.37032388280448747,-0.45464351447933876,-0.13327720344741972,-0.310028556591767,0.09388024441553529,-0.6853935842226035,-0.6689593569544939,train,313.56180207932226,1
755,0.11749405154094371,0.09968681092785502,-0.1610127503235421,0.10981326128384211,-0.29872711290976395,-0.1329278910602856,0.06172299101745969,-0.09329526756170838,0.0047844299363447584,-0.1223476424094223,-0.1482894706259547,-0.1571104390334297,-0.21864773078437022,0.040722245431656034,-0.7951459981194569,-0.7874261149653138,-0.4019857818955743,-0.6862980134853516,-0.7176891492058128,-0.54083741170482,-0.39966723060781884,-0.1495271480711848,-0.14813684096829227,-0.5798303561555824,-0.741434595319644,-0.7394829198481495,-0.7032817560098854,-0.07661869533981525,-0.6412441455140588,-0.5694185320774576,-0.5057775465440872,-0.5469494049071066,-0.4306308067941277,-0.36277549412939647,-0.4500191511748928,-0.12534533808074055,-0.3114071335853767,0.09385846658377978,-0.6826300498240268,-0.6720916708471274,train,313.97766653831343,1
756,0.13108285105659395,0.12202283399783152,-0.17092618174371899,0.11821977260707947,-0.2935931653847255,-0.10838081606025811,0.07370363919264196,-0.0731840872202554,0.03048415667407113,-0.1125206369001412,-0.14627825323794752,-0.15784542208702154,-0.20709559889058002,0.05272115054121147,-0.7821967330091001,-0.765740969241979,-0.3975616092636477,-0.6851141333409865,-0.7122065332476142,-0.5429468000109511,-0.38743028695452764,-0.1189097591818171,-0.10284813294587367,-0.5906324136055283,-0.737349370655736,-0.7194204126600757,-0.7102997385791416,-0.06939212466470339,-0.6307266697935882,-0.5594660555863251,-0.4918584750114511,-0.5047299433262047,-0.4228145269343155,-0.344020593528677,-0.4450742416856166,-0.1245713535308477,-0.31167291842321987,0.12070288250134902,-0.6790686991742627,-0.6653225860590317,train,314.3935309973046,1
757,0.140229035883575,0.1205472739030231,-0.1706557599330454,0.11937735440785122,-0.2762964008794375,-0.10180904437392871,0.06812904636807258,-0.07887472475436388,0.031024359603104665,-0.1168526785725092,-0.14072688252966153,-0.15823723495907666,-0.2066729381529854,0.055733720232669856,-0.7770462303096473,-0.788426005164428,-0.39018589548116833,-0.6783048693728986,-0.707627201490405,-0.544998892509724,-0.3932868079082622,-0.12087052646393583,-0.10955555873124842,-0.5998033827134298,-0.7484524063014619,-0.719094872765318,-0.703184099002159,-0.06552457271781521,-0.6408079874802014,-0.5675530659009629,-0.4967798344494977,-0.5064526157665673,-0.42650463526551985,-0.34181623040544906,-0.4466429851398741,-0.12012925094805565,-0.3072853641216785,0.1097262856248329,-0.674024086974686,-0.6754409020194362,train,314.8093954562957,1
