,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,DB1,DB2,OLQDL,OLQDR,OLQVL,OLQVR,RIBL,RID,RIFR,RIML,RIMR,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SABVL,SMDDR,SMDVL,SMDVR,URYDL,URYDR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
2554,0.0579062371256563,0.1572044816331045,-0.2647420401805267,-0.030935190257307746,-0.13400682129435398,0.3187822442649585,0.013503129478938919,-0.6988054499053048,-0.7064423203786405,0.07480236420236377,-0.05969590578930392,-0.40874483507475423,-0.5699550732013393,-0.7419144088701906,-0.0911023623687716,-0.19463530053458972,-0.06466615779126769,-0.18349056423835158,-0.640892842365456,-0.7026390521286524,-0.5282698403952468,-0.04917363681705209,0.03409470521002783,-0.5377367466109202,-0.355868526536694,-0.638214993524927,-0.5238718553071654,-0.7376888188466928,-0.6941785392938798,-0.18648319963347157,-0.5241559611569591,-0.4830842639538727,-0.5733315228472976,-0.21985450896234449,-0.16407423420110914,-0.330933047427597,-0.6789503319269803,-0.8259680074880988,test,879.2859419827861,1
2555,0.06141353300011645,0.16130440273059923,-0.26473547712233875,-0.02700677613141711,-0.125098711383352,0.3284703897692055,0.011487971568800728,-0.7021855138130506,-0.7082737778190913,0.08015320670496542,-0.05627290685812612,-0.4046997992951803,-0.5676240335860191,-0.7357281781727236,-0.09095357662065022,-0.19807044921542966,-0.06510376058434897,-0.18128192296716772,-0.6433498993652955,-0.7034659576081516,-0.5292868665474391,-0.04650438194438698,0.03484017965048719,-0.5426274454627836,-0.35780128005896794,-0.6370235087985916,-0.5239404286829035,-0.7372918021301155,-0.6942487525974153,-0.18672975079299897,-0.5222910996462112,-0.485543396733896,-0.5748723896599585,-0.22277711846968556,-0.16662237873234895,-0.332624893739632,-0.6860259998130688,-0.8264240477207547,test,879.6302199553713,1
2556,0.06884937580202638,0.15748026961308684,-0.2659071507086597,-0.023974216192316197,-0.12488322944902826,0.3283307528374182,0.01374416749304605,-0.7076546085476635,-0.7095626322687576,0.0788503624017732,-0.06366201959853665,-0.41143587769659384,-0.5603040650462614,-0.728869408756599,-0.08705142164663926,-0.19206299283420208,-0.06013855621622127,-0.18000013942108978,-0.6369309195753431,-0.6973522014630628,-0.520159566358792,-0.05322115047276124,0.03675011670430045,-0.5367474131819074,-0.3574670115608237,-0.6347642272081027,-0.5210477599422687,-0.7368471805687088,-0.69598188732032,-0.18451861462758784,-0.5208008370320483,-0.4800730416833764,-0.5703279410923691,-0.2134208306029426,-0.16291162260427117,-0.3358781433969502,-0.6863301098842668,-0.8327190235357464,test,879.9744979279566,1
2557,0.05679796029093365,0.14207944128597524,-0.2624207286312427,-0.02610244645083723,-0.1264926770163683,0.32293099695843164,0.004439303753236923,-0.697166733490201,-0.7093655686892333,0.06086518812459163,-0.0745187855579079,-0.4131112382833315,-0.5532447815869114,-0.7150923032152243,-0.09125951641025445,-0.196558971490637,-0.055642211426834134,-0.18379245376664005,-0.6178424726246635,-0.6950104078545389,-0.5158523445095382,-0.06601964517582856,0.029552278948196398,-0.5338557239357522,-0.35208370908227826,-0.6205592636428718,-0.5075093403112332,-0.7225242087943253,-0.6892249114568111,-0.18403838554890548,-0.5212135929338887,-0.47429803347978094,-0.563531666204376,-0.21060441434918614,-0.16504101289723122,-0.34543765142110017,-0.6774358724572148,-0.8262579695790933,test,880.3187759005419,1
2558,0.051316768383235664,0.13797555499706307,-0.260322761013759,-0.02553631700145753,-0.12650710252385716,0.31775942356754905,0.0016114326014445152,-0.6952422908404822,-0.7126945276218515,0.05312774205899004,-0.08613100261828197,-0.41052204664092007,-0.5470205650256251,-0.722633239932239,-0.09596579790366011,-0.19596812745804684,-0.06255003500222786,-0.1919801236123241,-0.616194277707856,-0.702278210199159,-0.5177070680736415,-0.06691410027091266,0.01849415856674319,-0.5362555737990237,-0.35405200758309985,-0.6216514247841802,-0.5101965988964613,-0.7232581750694144,-0.6900011802864565,-0.18192478797319034,-0.5240893858002988,-0.4838784635257741,-0.5594463086501689,-0.21275822438065928,-0.17186754533757204,-0.34779779383449105,-0.6854875878928186,-0.8259670396859715,test,880.6630538731272,1
2559,0.03768947745877164,0.12169536634746658,-0.2534448080539759,-0.03299460061920753,-0.12766745542231228,0.30232289789583155,-0.014832057293918677,-0.6887106140237683,-0.7010678079520964,0.03615799727572189,-0.10105386464529326,-0.405546728518568,-0.55011845997921,-0.7182746809239582,-0.09945428828491532,-0.2040523863322601,-0.07589509058040352,-0.19536413659055007,-0.6088551332858573,-0.6999552351375462,-0.5194247717830165,-0.07671371733920082,0.003375887114458992,-0.5362588691654362,-0.363796413654088,-0.6128685680642108,-0.5029150699352599,-0.7120938955069214,-0.672067361898396,-0.18841129508872417,-0.5169960093987715,-0.49134578802675233,-0.5671147417031972,-0.22234742599183743,-0.18152064174700533,-0.35357170620307987,-0.6783953880789451,-0.8244901391824242,test,881.0073318457124,1
2560,0.021533611609266916,0.10713698772818422,-0.2585819709040915,-0.033792973414921226,-0.137553254039184,0.2809558349550295,-0.028263163740032474,-0.6867823520093489,-0.6966759433947534,0.019713373695792652,-0.11449858166875401,-0.4052617210646565,-0.5496849938359812,-0.7232847237222633,-0.10958596349759328,-0.2079984106347792,-0.08844473216263263,-0.20762553055908423,-0.6035109721507022,-0.701355169575057,-0.5206471090200572,-0.09013449782708452,-0.010971741883855912,-0.5422639242344527,-0.3692939110932917,-0.6043042938401896,-0.493775076027805,-0.704684291326635,-0.6654272033945039,-0.1928882415880369,-0.5162186769605522,-0.49808888795777606,-0.5743839503532401,-0.226103765827243,-0.18516557153137883,-0.3653332710299442,-0.6760093577144326,-0.8148947773716524,test,881.3516098182977,1
2561,-0.0019603511046099864,0.0782141809205587,-0.2543834070526574,-0.03296313255382423,-0.1499982707185747,0.24892986455593594,-0.05112619703759257,-0.6848996415583195,-0.6876642684850447,-0.013158882734765537,-0.14324780803411616,-0.40240900214859243,-0.5390958721592228,-0.7169649747283817,-0.12343383983061053,-0.21819692460633422,-0.1081068928616789,-0.21942190596197592,-0.5956785177472887,-0.6974269844015433,-0.5251096687987711,-0.10763647283144653,-0.03837620775277875,-0.5430975405060827,-0.3770060294037949,-0.5908431153282443,-0.4830871841897897,-0.6953299594646434,-0.6564222474386395,-0.19867406761607567,-0.5185075518587939,-0.5130184053030056,-0.581924626499341,-0.23429033683192524,-0.19913178081113297,-0.3748608922596972,-0.6762430403229266,-0.8056522201710354,test,881.695887790883,1
2562,-0.028517522963839755,0.056196577267549674,-0.25795207729380415,-0.040261694807281936,-0.15855605359306207,0.20938903009873602,-0.08358823236479619,-0.6841026294568788,-0.6760828087596983,-0.04288061508920123,-0.17297502023863212,-0.39465932816675897,-0.5423516754964478,-0.7174946498729411,-0.13323456859436197,-0.2284627493133472,-0.14344988026016206,-0.22768286053422646,-0.5916369246114452,-0.6998009950883418,-0.534731209687796,-0.12886314813114855,-0.06929158711347519,-0.5479874876485064,-0.39599167953042336,-0.5877218719079913,-0.4828454708405595,-0.6913300859307068,-0.6459686648813588,-0.21142398946085525,-0.5183173266288896,-0.5340418169691522,-0.5996161984363706,-0.24442144776850033,-0.21272873935426587,-0.38765395322625873,-0.6903860778528661,-0.804254712282001,test,882.0401657634683,1
2563,-0.05065598074293648,0.028693075090996445,-0.2538283172992928,-0.04569551460922132,-0.1767906841680779,0.17437632035472533,-0.10715932565538702,-0.6859219636888155,-0.6669477089045073,-0.07423517475929219,-0.2063694816354197,-0.3908160046457281,-0.5417647971876188,-0.7163442035767424,-0.14680387761033956,-0.24068854234798864,-0.1648982915462036,-0.23705666348003587,-0.5850443596217982,-0.6994706424801985,-0.5354906583734116,-0.14736617158491505,-0.10251309606147549,-0.5516865460637997,-0.40796166085573615,-0.5751070680578173,-0.47195039867939437,-0.6832746948320112,-0.6414195314762504,-0.22201408638558454,-0.5105240709592176,-0.5459127153362563,-0.6145727039152792,-0.2497562879987868,-0.22107450521487765,-0.3956859263509284,-0.6909374450607614,-0.8033826389636463,test,882.3844437360535,1
2564,-0.0861361092380056,-0.0007348407267431384,-0.2530613086457134,-0.05599760999054683,-0.18972698260768828,0.13485740499883783,-0.14114135192350094,-0.6865420185224493,-0.6622125772352658,-0.10876713699596828,-0.24099692916629695,-0.3905507533117244,-0.5451349203696537,-0.7121155292995465,-0.16188135025247574,-0.25563748818161297,-0.1908564389718375,-0.24510900061441565,-0.5742476534333824,-0.7032723141357378,-0.5383945456499178,-0.17223141534871422,-0.13711023466053152,-0.5521053639999404,-0.4279759218938567,-0.5588027993622426,-0.461044470694156,-0.673113104789241,-0.6386857607081265,-0.2396338384449957,-0.5065410025331072,-0.5650265491352133,-0.6334765494274351,-0.2593157769327977,-0.23559577062906895,-0.40775015947847837,-0.6943149268365834,-0.8052621691067545,test,882.7287217086388,1
2565,-0.13083228377167305,-0.04763270617165692,-0.2555044366356644,-0.0683817618638157,-0.21201838994115335,0.07562109358152339,-0.1885653394180655,-0.6616517958319555,-0.6384529616259609,-0.15766597716503836,-0.2904076982012813,-0.3818276338689294,-0.5443318046266469,-0.7031239730767336,-0.1867196011046063,-0.2722589791215013,-0.22339518136978484,-0.2644188972116954,-0.5474479873494023,-0.6978253102337509,-0.5451357504169797,-0.21962624437488049,-0.19232169036381694,-0.5623903904418868,-0.4428850630151855,-0.534845886580751,-0.431925622765859,-0.6447748523650144,-0.6079936972961213,-0.25821622170954994,-0.5000840419353758,-0.5728016780422992,-0.6383130396797771,-0.2739955509537569,-0.25632378021747193,-0.42668534590905494,-0.6883975076656519,-0.78147773316697,test,883.0729996812241,1
2566,-0.15950351645793157,-0.08619672672783549,-0.244767564494512,-0.07018412758186199,-0.235476436485161,0.027487626818562247,-0.2191756874066471,-0.6518666265926025,-0.6247931210572601,-0.2012216062744222,-0.33552258620335695,-0.37756798102868316,-0.5352827998672375,-0.701252122974644,-0.21193333556100363,-0.2908939961867168,-0.25296637997712507,-0.28317323500998703,-0.5369620723421242,-0.6932353044571589,-0.5461105604819035,-0.24595207962737137,-0.23658656318238816,-0.56624566873765,-0.44977644904326686,-0.5200391130562325,-0.4096376056040715,-0.6315208228743167,-0.5910398372382893,-0.2664332842216011,-0.4958524185588559,-0.5850643707539724,-0.6523779405456115,-0.28267687274904363,-0.2719362685524309,-0.4407816452753589,-0.6904900679977811,-0.768593307986061,test,883.4172776538094,1
2567,-0.216719393194608,-0.13368459665081867,-0.25166158677794026,-0.08317141490883935,-0.24938756635580472,-0.03865998250532833,-0.27494234472637075,-0.6340932798512026,-0.612099003606571,-0.2576218092207614,-0.3755778855878108,-0.37574120652172627,-0.5339162089290084,-0.6969642658922748,-0.23706320223984567,-0.31664045235059946,-0.2867207734743916,-0.31333411111684245,-0.5219315007378748,-0.6876688279757593,-0.5633207803222313,-0.29197460397710007,-0.2909640980826915,-0.5833045427588646,-0.4627878995815419,-0.49432777250828075,-0.3919196615492313,-0.6115154327372605,-0.5655454008334995,-0.28078783400446006,-0.5053054613732036,-0.5991199425811813,-0.6685703213371107,-0.2970702188255355,-0.2826027818817523,-0.464143431396429,-0.6833926152781613,-0.7474604815300809,test,883.7615556263946,1
