,AFDL,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,BAGL,BAGR,DB1,DB2,OLQDL,OLQVL,OLQVR,RIBR,RICR,RIML,RIMR,RMEL,RMEV,URYDL,URYDR,URYVL,URYVR,VB2,train_test_label,time_in_seconds,tau
3020,-0.31139359654238796,-1.0260022450029453,-0.963636355509732,-0.13988123108527076,-0.3374486097577103,-0.5351049448933696,-0.986531933145115,-0.9292396871443458,-0.13367151201913618,-0.1253059437348752,-0.903787826537473,-0.8502366260418237,-0.2545817499481613,-0.2280049275616254,-0.5753957540850374,-0.39683137622415765,-0.5931477292333434,-0.6165253399897236,-0.658460804241501,-0.09623857509276748,-0.09020454810403285,-0.9895601059922987,-0.8893755356862166,-0.08047791993675812,0.2525249346895905,-0.7112762831300533,-0.4398471786438838,-0.6053184541700645,-0.48027570435588074,-0.25811949146046376,test,1429.5003585943102,1
3021,-0.3104762150639122,-1.0251575451295931,-0.9594899936720683,-0.12506711397213433,-0.3388866761927147,-0.5302172642672648,-0.9881601469080998,-0.928897452976287,-0.11836035582289589,-0.11894785122911751,-0.9003462485489107,-0.8531729345038395,-0.2592316756564377,-0.22099641744744836,-0.5651871241512201,-0.38736637337267604,-0.5969868768396884,-0.6213426197946761,-0.6670306070294794,-0.08514177111970109,-0.08323731782442044,-0.9893609653062068,-0.8970844413878943,-0.07396002930825057,0.25143418640936877,-0.7001688314249143,-0.4506283846687674,-0.5987338049377419,-0.48315405636401665,-0.24159403646808747,test,1429.973703083911,1
3022,-0.3113457334648527,-1.0248495202235421,-0.9547715963897615,-0.12010818455099162,-0.33723751753237063,-0.5310981475667392,-0.9840344889067969,-0.92192384221008,-0.12778446356290388,-0.13076366591345118,-0.9024415689907717,-0.8500175254833897,-0.26624927048434477,-0.21837833077403174,-0.5663498581861335,-0.3986757678434959,-0.5972594235875279,-0.6233021166839094,-0.6651542678642215,-0.09444489902692715,-0.08421368170984232,-0.9835326743136079,-0.8956344861231327,-0.08116207862863985,0.24986440901541332,-0.698326439272562,-0.44833766005556286,-0.5978509275925802,-0.4799985464975759,-0.24945902014363625,test,1430.4470475735118,1
3023,-0.31076260391827354,-1.0231480762065812,-0.9550849488575193,-0.1123619643459233,-0.33648182321973763,-0.5288520898334083,-0.9822755552721927,-0.9219761021893305,-0.12874021585354026,-0.13148269811479646,-0.9005782394882529,-0.8476887603188668,-0.2593213758653308,-0.20954442170427667,-0.5652611004323468,-0.3991050311482871,-0.5979389896511753,-0.6216580699495371,-0.6664923857789755,-0.09412644622949352,-0.0867574161738146,-0.9833388279454267,-0.8959405109833967,-0.08197003761630912,0.25280091978782004,-0.6970962145754646,-0.4470946840483718,-0.5994002052858296,-0.48124330051285946,-0.24659068353567432,test,1430.9203920631126,1
3024,-0.3099397960343179,-1.0222595496717268,-0.9501942105955963,-0.11580028372384213,-0.3333217094446056,-0.5306392452019021,-0.9786528741128617,-0.9163807754047593,-0.13404198263012032,-0.139360045211115,-0.9004963309915117,-0.8471874423466319,-0.27224491243501864,-0.2264239394458011,-0.5693873200825754,-0.4015648498528839,-0.5949585017564725,-0.6272598527575879,-0.6637250971757997,-0.10372273969420824,-0.08230683617027033,-0.9775318247357841,-0.8899432052034483,-0.08701052032656417,0.23884412240484135,-0.697988380571304,-0.4508519207069652,-0.5977995803470781,-0.4801005059546838,-0.25464142591842276,test,1431.3937365527133,1
3025,-0.3120473941400102,-1.019281671920696,-0.9476612537740555,-0.11265812105583817,-0.33442595887935495,-0.5323404565511265,-0.9804734971857068,-0.9171604779882174,-0.13584177070167386,-0.1406292808770936,-0.9015826216075711,-0.8491826682224815,-0.2703165737302267,-0.22784931257925176,-0.5727038250469324,-0.40349889823430957,-0.5906338906344599,-0.6307795817957312,-0.6643869325085798,-0.10498828536647893,-0.08520767777243278,-0.9763076575196532,-0.8868378326175799,-0.09016905001107202,0.23432874295425357,-0.6973946288753414,-0.4493995383789682,-0.6024643478673953,-0.4837660379187285,-0.2548326757249684,test,1431.867081042314,1
3026,-0.31013915441072915,-1.0207109315111709,-0.947341382384633,-0.11435367566871793,-0.33185451110264597,-0.5313846597020327,-0.9779578514305052,-0.9186417961848214,-0.13835381016166104,-0.14455904257122604,-0.900718963828516,-0.8489691186761541,-0.2737370100948876,-0.2323449413027678,-0.5741286401783846,-0.4037008078803537,-0.5911221719461381,-0.6323146005156494,-0.6632632115158799,-0.10592165141342692,-0.08486199338394622,-0.9760333680323799,-0.8853201151698707,-0.0934194772594217,0.23332152418209243,-0.6970950357028719,-0.44868353851312703,-0.5989055515952684,-0.4831414017352128,-0.258921985706655,test,1432.340425531915,1
3027,-0.31086450954975586,-1.0202090382560602,-0.9470647968615377,-0.11434695509020812,-0.3312895814282032,-0.5310828149031231,-0.9795787215068695,-0.9209891686455414,-0.13625156924886167,-0.13985204279733282,-0.9010389404551358,-0.8492032570079588,-0.27447858252590873,-0.23385768827853098,-0.573539841974336,-0.4015692609731566,-0.5925841340877459,-0.6324256535980324,-0.6614866004657209,-0.10407649812781665,-0.0849385980575132,-0.9779551052294978,-0.8840448890921575,-0.09346265491307332,0.23848508563157925,-0.6996606894520822,-0.4486977350454434,-0.598923902926058,-0.4852980651921795,-0.2576339400741688,test,1432.8137700215157,1
3028,-0.3095567728735905,-1.0223033395722687,-0.9484700151521577,-0.11200165217917177,-0.33135281050241944,-0.5308030172874559,-0.9815684579194928,-0.92455379269975,-0.12784496230899473,-0.13470188752929868,-0.8982750213864936,-0.8502061407973498,-0.2741578213323197,-0.23600528126859818,-0.5721216117100726,-0.39738935513275253,-0.5957883025333089,-0.6329023769360392,-0.6613187288002269,-0.09877492216678205,-0.0824039089403776,-0.9787210548504106,-0.8878758733849798,-0.08942630060269503,0.24445582324261547,-0.700176023112455,-0.4491744093480704,-0.5963873669191833,-0.4836106843093823,-0.2546517237799377,test,1433.2871145111164,1
3029,-0.31405685878156697,-1.0149494712734939,-0.9448840034498098,-0.10199793480646896,-0.3410949066783319,-0.532165705589106,-0.984460060305188,-0.9206965394424154,-0.13254002917793895,-0.1382999327529066,-0.88975036059679,-0.8534643370645998,-0.24847370449457168,-0.21717053479468756,-0.5800533595636267,-0.4078014729537851,-0.5831471929362904,-0.6288627588337368,-0.6647692859332845,-0.09905201304191136,-0.09852006243425501,-0.9768899339594554,-0.8886235650168284,-0.0909331040664457,0.2243056035271568,-0.6971545974697083,-0.4401774275085669,-0.6072603212337453,-0.4871962930377258,-0.24835485986825043,test,1433.7604590007172,1
3030,-0.312179942783136,-1.0122012014720905,-0.9526688050040687,-0.10171132673213562,-0.34358986601732155,-0.5320585840313218,-0.9789914552983195,-0.9229473057404747,-0.13134874299654897,-0.1360145297366607,-0.8855060776792383,-0.8487068483292526,-0.22184144190549812,-0.20139028737597114,-0.5868797813702701,-0.410427669850479,-0.5836938671707523,-0.6175032889696269,-0.6649986640219292,-0.09261869831094818,-0.10988713270151991,-0.9770982114954466,-0.8841296874779104,-0.0831207354068323,0.23691689016033393,-0.7002722526743128,-0.43222998012544045,-0.6073170324697889,-0.4808163845313621,-0.24521907208346178,test,1434.233803490318,1
3031,-0.3062689500432828,-1.0146250018508878,-0.9481816585723742,-0.11851289375370833,-0.3369422902312666,-0.5277982752449126,-0.9736212799622892,-0.9234035132289191,-0.13273994327589253,-0.1360289520276617,-0.8933825400949522,-0.8451238751416794,-0.25211343761513416,-0.224273477254702,-0.5765441318273775,-0.3974001071609198,-0.5857888034058432,-0.6194316474310927,-0.6611461476298235,-0.09567709345542955,-0.09217383395546852,-0.9828119327182802,-0.8841639874960274,-0.08323889429001459,0.22921258985410028,-0.696072285435577,-0.4448529102591615,-0.5957174684096733,-0.48010699890634634,-0.24860224483883603,test,1434.7071479799188,1
3032,-0.30505317627916506,-1.0173154845180277,-0.9482321922315479,-0.12117306522356966,-0.33936086450626735,-0.524650752610829,-0.9746705296874684,-0.9249682834785138,-0.13587369852843115,-0.13549666821541856,-0.8922904619423551,-0.8449797173705595,-0.2558676753912733,-0.21837452510797872,-0.5727885183067511,-0.39687477512716063,-0.5849009408707504,-0.618432828606196,-0.6610675040000591,-0.09366435033852888,-0.0919478363771709,-0.9847551878830162,-0.8870618342252076,-0.09123664710361719,0.23465464755563817,-0.6907851032759734,-0.44231241999868764,-0.5973747193631701,-0.48281691468669147,-0.246738320482975,test,1435.1804924695195,1
3033,-0.306857477331565,-1.0179396295670575,-0.9515454308578271,-0.11039468262097255,-0.33768136816445204,-0.524334885406344,-0.9723046299578645,-0.9200853449120536,-0.14386715654395774,-0.1424246003010918,-0.8955884649228094,-0.845861915575858,-0.25778314508152633,-0.21189939258433543,-0.5699751368644873,-0.3993038113405734,-0.5877344054468143,-0.6249119982591311,-0.6637069505309157,-0.09469300247659168,-0.09091904114792368,-0.9812722812549792,-0.886249638617232,-0.09112683887682282,0.23188816909498491,-0.6887548685926573,-0.4454505348379958,-0.5947781560012649,-0.481995396422264,-0.25146426570703395,test,1435.6538369591203,1
3034,-0.3076545758539325,-1.0193775238400544,-0.9561492939196431,-0.10634108078798188,-0.3358442462785646,-0.5242806467151669,-0.9740331697261747,-0.9210132382687086,-0.1421232404729832,-0.14048012254165756,-0.8968664692003911,-0.8477934788095727,-0.25637539555059463,-0.2065280166097847,-0.5663267938492448,-0.3981325161877105,-0.5913164957225034,-0.6229450578776826,-0.6660847626682493,-0.09386085930961827,-0.08827060528296228,-0.9820157754437824,-0.8897982213145632,-0.08843469725457613,0.23608078382345773,-0.6880333601673928,-0.44761410848410055,-0.5951200220531973,-0.4841871745556292,-0.2474554816974533,test,1436.127181448721,1
3035,-0.308219996123518,-1.0193041075693692,-0.9544369936353126,-0.10398256943984946,-0.33335782556496985,-0.5242929637402209,-0.9738691167812701,-0.923090146489981,-0.14572458552471954,-0.14032635664836787,-0.899446702383248,-0.8470778185700192,-0.25967880234291507,-0.21163242268974775,-0.5651787208715768,-0.3965927759271036,-0.5895420869996776,-0.6256976861718294,-0.6624205623323216,-0.098001027265716,-0.08322602512823765,-0.9814259546286379,-0.8875043591179704,-0.09187676752951893,0.23436055004471082,-0.6921939539921294,-0.45270132484583836,-0.5993399558638837,-0.4898921072891873,-0.24896810993461327,test,1436.6005259383219,1
3036,-0.3082484811088349,-1.0206454249827106,-0.9573128013077081,-0.10022973993746917,-0.3318946055594432,-0.5290582742880335,-0.9762936426724377,-0.9254821541024605,-0.1398995422948379,-0.13874743876428694,-0.901045817199005,-0.8535256408470269,-0.2623496799510512,-0.21905833400802774,-0.5686321159543016,-0.39922641150525207,-0.5948060757804974,-0.6320269627721454,-0.6665356762232877,-0.10035451107404703,-0.0804035279745492,-0.9812995488779784,-0.8883311554814697,-0.08931206554138711,0.2389691346567093,-0.7008725509589051,-0.45945410581298274,-0.6026905566682174,-0.49553209108800655,-0.2497847910259244,test,1437.0738704279224,1
3037,-0.3069169441010287,-1.0191006997808036,-0.9545624623051496,-0.10349456412179658,-0.331439118302706,-0.5290502751340839,-0.9750094555321578,-0.9237629978803561,-0.14190695997682345,-0.1432197125781221,-0.9014948421632336,-0.8503401667123176,-0.2644735299028507,-0.22125486176395515,-0.570809027518519,-0.4013772812745723,-0.5924709649579334,-0.6314266105126601,-0.6653009056658019,-0.10191045800577317,-0.08386570711021904,-0.9792267163128019,-0.8844352363801404,-0.09233252027963729,0.23952941117793816,-0.6992141361382479,-0.4536211683962681,-0.6007682953926073,-0.49026637251559824,-0.2535087404213281,test,1437.5472149175232,1
3038,-0.30550030866540645,-1.013506320806389,-0.9508252064548106,-0.12947829898781407,-0.3348620267456571,-0.5351660534402427,-0.9806630735954162,-0.9290788290596275,-0.15168929226980976,-0.142271501971364,-0.8977494964682833,-0.8509316960426117,-0.2639098654095757,-0.23129958528142136,-0.5865306900057883,-0.4117607207366729,-0.5803565212157396,-0.6253597372740433,-0.6604793418578623,-0.10851029624367269,-0.09170285469337391,-0.9852624433008407,-0.8803607922502603,-0.10399303053450074,0.23200098406638422,-0.6988420178208918,-0.4393890295120204,-0.6074507433486392,-0.4934291883797734,-0.2605657435285132,test,1438.020559407124,1
3039,-0.30755546764393754,-1.0156589876559792,-0.946185547178902,-0.11610297435310185,-0.3308712397857829,-0.5336253342516792,-0.9710658336488996,-0.9222359631371542,-0.14156095427909562,-0.1459303133605641,-0.8908973169061423,-0.8506381464381743,-0.2757544173253717,-0.24754468856918074,-0.5895527378510994,-0.40366848831931024,-0.5840472055727999,-0.6342470694344775,-0.6616510395299655,-0.10951511898758894,-0.08339562290053236,-0.9766389571688167,-0.8755710327373377,-0.10022355565254913,0.22280651255257564,-0.7004837773447445,-0.4501437216481129,-0.6010065769086395,-0.48905026921571476,-0.26889071956360583,test,1438.4939038967248,1
3040,-0.31210122376980154,-1.0056533264427658,-0.9467202500569775,-0.10077266973782273,-0.3362716161163992,-0.5303489543612422,-0.9720528473608829,-0.9165791909198775,-0.1524353530050698,-0.1499511491713603,-0.8831344532560568,-0.8488187472251789,-0.23789817745972308,-0.2064972531002289,-0.5911476975397157,-0.41951823269869476,-0.5754944842690055,-0.6227621576248982,-0.664693852381381,-0.11009853572238962,-0.10493760056344657,-0.9762764488925496,-0.877865549540024,-0.09970770314726912,0.22094288075664562,-0.6957692811448851,-0.43722494547251334,-0.6096755100012843,-0.49334081958183845,-0.2617318652999223,test,1438.9672483863255,1
3041,-0.3074443080205178,-1.0105079126913767,-0.9515246034437254,-0.12197029849223781,-0.3299996119025459,-0.5341759276477182,-0.9671174762347602,-0.9221839428582181,-0.15460049981853835,-0.15580061321159752,-0.8886766398741495,-0.8477363187346783,-0.25466679052702684,-0.2327172778006629,-0.5958054441350478,-0.4176474411783956,-0.5818648043377339,-0.6261754443217221,-0.6635718406977238,-0.11556648826811369,-0.099049347328828,-0.978481551471041,-0.8740412572479478,-0.10008735455647796,0.22398256135498637,-0.7099496034386291,-0.4412777078584398,-0.6072385663933453,-0.4903310064081692,-0.27571256715303716,test,1439.4405928759263,1
3042,-0.3080111453809744,-1.0065533812413718,-0.9432211981154488,-0.1194725066044478,-0.32770092103224235,-0.5291193844359545,-0.9627525375652793,-0.9139363456917795,-0.15331873422155437,-0.16048336671442137,-0.8842350762325124,-0.8433245973289034,-0.26030682968418595,-0.2257880670289161,-0.589195311411692,-0.41579638236999444,-0.5793972739854669,-0.6226464575208107,-0.6662488040821661,-0.11758101675246274,-0.09993007417631007,-0.9761238009439206,-0.8733996530628614,-0.1022925319678455,0.2160800142946427,-0.6946647093017021,-0.43635432901242643,-0.5964319990441345,-0.48323247077762155,-0.2723417691578026,test,1439.913937365527,1
