,AFDL,AFDR,AIBL,AIBR,AQR,AUAL,AVAL,AVAR,AVBL,AVBR,AVEL,AVFL,AWCL,BAGL,BAGR,IL2DR,RID,RIML,RIMR,RIS,RIVL,RMED,RMEL,RMER,RMEV,RMGL,RMGR,SIBDR,SIBVR,SMDDL,SMDDR,SMDVL,URXL,URYDR,URYVL,URYVR,VA1,VB2,train_test_label,time_in_seconds,tau
3416,-0.5378142156650789,-0.43196710357376134,-0.6006645250605761,-0.6128146087969386,-0.8324192586853023,-0.6568059236030189,-0.7719340759548672,-0.800043488190575,-0.6743675103090316,-0.7797386213862397,-0.7819904544612821,-0.2835424827581895,-0.616134102092232,-0.6529447697615516,-0.7756894355759839,-0.8688295754816957,-0.39978464208889064,-0.853720577610601,-0.857825701908805,0.1681645668166148,-0.6461933172363533,-0.5864398766915588,-0.5534448629981431,-0.6069214299488039,-0.35821817424754865,-0.4388097287111257,-0.3617445165818808,-0.4945434712944172,-0.5126744613836092,-0.6942529176516172,-0.8302571004446934,-0.7262847675023353,-0.9314721848438409,-0.6535625001714844,-0.677719122055263,-0.684076595586894,-0.7467036596593556,-0.42352649410669385,test,1010.2081051478642,1
3417,-0.532753114650862,-0.42872172161921196,-0.5983150218731617,-0.6132450015722309,-0.824124879322633,-0.6564969887680663,-0.7716547549567303,-0.8010350548904566,-0.6690370540148056,-0.7751056374677457,-0.7881153051509528,-0.28348637793406023,-0.6156550929147019,-0.651089928155276,-0.7738983944174511,-0.8705720621450013,-0.3920884111621338,-0.8506277585789018,-0.8555956488448879,0.17579891456899627,-0.6397965108413761,-0.5894123711605188,-0.5497404239217996,-0.6025012935853231,-0.3494059744873275,-0.4419515537085788,-0.36060173972583365,-0.4940660326621893,-0.5073495880460097,-0.6891641000488016,-0.8282674158767073,-0.7158192698432645,-0.927454053910572,-0.6539011707791661,-0.6799897854487702,-0.6854701359570518,-0.7459381640535966,-0.4138298898428323,test,1010.5038335158818,1
3418,-0.5373067077187522,-0.4307281281086024,-0.5910171738383276,-0.607431935836969,-0.8293885610534051,-0.6566174697279101,-0.763813238114209,-0.7960902721377114,-0.6695642992662704,-0.7769401249500429,-0.7755525106101108,-0.28666544448341397,-0.6133428658266614,-0.6519890915552089,-0.774809977249556,-0.8717963015803151,-0.40016829070463966,-0.8489764028857348,-0.8472122793531609,0.16157689060388986,-0.6360340885625873,-0.5871365173944678,-0.5520181887857609,-0.600238509678625,-0.3549810039146505,-0.4381217504396182,-0.3584686136446642,-0.4936006533165963,-0.5033425933549462,-0.6911609814269966,-0.825353869253736,-0.7182377566082243,-0.9265581310994901,-0.6503721292168327,-0.6810265780831597,-0.6851936491847123,-0.7408427819649862,-0.41765292851484714,test,1010.7995618838993,1
3419,-0.5354133710920327,-0.43050441039822457,-0.5880535881243114,-0.6051401578793657,-0.8265532953205246,-0.6566456630133316,-0.7602173750916948,-0.7935379025779598,-0.6698614405909056,-0.7768758896795984,-0.7797293496045656,-0.2864384130065548,-0.6141716568123848,-0.6533752453000248,-0.775021920362283,-0.8786842602823591,-0.39708004783217643,-0.8442104716974927,-0.8483562346810534,0.1634028887667316,-0.636110374080772,-0.5981915763335997,-0.554913050069427,-0.6060407398877075,-0.3657222880474467,-0.43953859799591977,-0.36105422845137686,-0.4975596918118804,-0.5088997019880472,-0.6928342244172113,-0.8274499532474565,-0.7132427254887701,-0.9261329712808086,-0.6454844232040737,-0.679017735952395,-0.6809771200548613,-0.7426043191566702,-0.41916636869560076,test,1011.0952902519168,1
3420,-0.5318298686802471,-0.4253550579101061,-0.5790779409907334,-0.5991159716683377,-0.8278184898382397,-0.6566294220691816,-0.7534504238948859,-0.7857146861609535,-0.6747488747572334,-0.782520134641536,-0.7745668296868103,-0.291148818440602,-0.6111977353077718,-0.6528228780402583,-0.7749664526496219,-0.8737189045364754,-0.4015321981413712,-0.8349965278888674,-0.8396879633520756,0.15335971212497895,-0.634031555763507,-0.6037170209936098,-0.554733094754794,-0.6033681635337461,-0.3689727825147624,-0.43462515966329435,-0.35914501851018177,-0.49312197711074424,-0.5090430655620252,-0.6904039338609655,-0.8279879422781088,-0.7132626393638535,-0.9301411956472508,-0.6475031039660304,-0.6747463145714548,-0.6844161469090702,-0.7433040714704992,-0.4225382813454426,test,1011.3910186199344,1
3421,-0.5355905861199846,-0.43210097083679755,-0.5853142525552738,-0.6019252197241194,-0.8273410866779431,-0.6578728035067386,-0.7581910298793775,-0.7913693479141927,-0.6780149558287527,-0.7824955638304633,-0.7736834914392917,-0.28652840485077624,-0.6130085940151367,-0.6525070952873211,-0.7756100115749586,-0.8754974340825018,-0.40225449743250097,-0.8458505136297256,-0.8465955759722535,0.15753320086977907,-0.6387512439208419,-0.6009467985370317,-0.5551812616366678,-0.6118604625156616,-0.3666805115517043,-0.4409661857382114,-0.36040145326796913,-0.49495848676256815,-0.5095887179383529,-0.694301663156899,-0.8317129119216679,-0.7202462181158997,-0.9270094503147772,-0.6464920266595727,-0.6737621567440506,-0.6852698235812072,-0.7430330333953925,-0.4234020002853546,test,1011.6867469879519,1
3422,-0.5353578745203618,-0.42425949494905685,-0.5873438422021191,-0.5967614207863483,-0.8276702303745829,-0.6603700589893275,-0.7571636689308302,-0.7968288308500625,-0.6785732287626642,-0.7803554127544995,-0.7768421068783798,-0.28584785333713675,-0.6064056831637087,-0.6574588870960567,-0.7806036951767701,-0.8680200102312282,-0.40634893125468047,-0.8394945601654852,-0.8466660723172789,0.1483689942226587,-0.6405836481758223,-0.6019837922003654,-0.5597404584585843,-0.6106797364020544,-0.3720153786887553,-0.4409015370770836,-0.36507931921259196,-0.4939526318377785,-0.516158852744913,-0.6966602352258385,-0.8256410077390173,-0.7224615129693254,-0.9349152264611312,-0.6513877396585943,-0.6796894582734428,-0.6865275850633183,-0.7447633162907267,-0.42320965453868653,test,1011.9824753559694,1
3423,-0.5302974872790613,-0.42576444203666297,-0.5822212474166933,-0.5989125619863531,-0.8256620813617694,-0.6578864602093544,-0.7504906311292524,-0.7844542749345905,-0.6739494829325058,-0.7791779590112108,-0.7738116837780147,-0.2843313511855884,-0.6105611438504236,-0.6529411431912386,-0.7765635268958607,-0.8731892376903463,-0.40655441610256077,-0.8375482275906123,-0.8422935029366562,0.14914229284696345,-0.6347928639055154,-0.5989473596006106,-0.5587379952565243,-0.6075599980775952,-0.36692328357628134,-0.4369945126945171,-0.3609678804783925,-0.49310099696939425,-0.5111538463192193,-0.6914287852102898,-0.828552866177025,-0.7193721710291574,-0.9258877191901823,-0.641243905306199,-0.6719343948597614,-0.6817977666224844,-0.739395690487271,-0.4217381230395636,test,1012.278203723987,1
3424,-0.5315079150681041,-0.42906543217072324,-0.582102565863079,-0.5913668984185451,-0.8351645989446208,-0.6606361639552959,-0.7513544519597235,-0.7883010479540538,-0.6749279341754172,-0.785477250704045,-0.7672143964753394,-0.28607474980749564,-0.6055676032820637,-0.6558719475333978,-0.7732597179163366,-0.8717678844734069,-0.4076862104340965,-0.8367319886513548,-0.8409868166533148,0.1463290575775903,-0.6402054464750784,-0.599198156986622,-0.5641490437315433,-0.611185493637898,-0.37554724571728,-0.43783198979920185,-0.36037921313362087,-0.49759871852676063,-0.5153891296569031,-0.6940917809802767,-0.8292843096579368,-0.7236074796577259,-0.9309695451628767,-0.640322738068078,-0.6705734530475144,-0.6861867534958652,-0.7446105180242982,-0.429846156315456,test,1012.5739320920044,1
3425,-0.5292492622619728,-0.431269112199377,-0.5748319600378049,-0.5882097020508513,-0.8342014017060058,-0.6616227849901376,-0.7459212437833376,-0.7839742691718099,-0.6772188357805322,-0.7928678518575798,-0.7664049509982004,-0.2863848989098437,-0.607380447837898,-0.6587398719253612,-0.7731001299117705,-0.8794134866299319,-0.4085283632301994,-0.8290452552288008,-0.8372755340175121,0.14083851201527742,-0.6388309565455316,-0.6108155568705174,-0.566447828362028,-0.6135259840520311,-0.38289835727810906,-0.4390363137780559,-0.35930869611917865,-0.4980749107707576,-0.5176307921038719,-0.6963959101821418,-0.8330967132692929,-0.7213979517921358,-0.9321068987445521,-0.6420718561812441,-0.6721496613957658,-0.6852542763874953,-0.7479388136714724,-0.43201316295326564,test,1012.8696604600219,1
3426,-0.5293805871998583,-0.42499608669190203,-0.5722117654218835,-0.5819413372436125,-0.8364104679449429,-0.6554783750396233,-0.7412663653759758,-0.7815296540098308,-0.6848058370056683,-0.7933966591262797,-0.7580108023723388,-0.2899328530197053,-0.6009208815312952,-0.6593528128511797,-0.7726073681895341,-0.8757340242241036,-0.4081947182651162,-0.8264926279324615,-0.8279115928128827,0.12951221793986317,-0.644033719855581,-0.6173935114081971,-0.5670234567795399,-0.6166753841939816,-0.3913006896230446,-0.4350665922490388,-0.358938626945078,-0.500734544831752,-0.5189483917235906,-0.693311328005298,-0.8338985452850531,-0.7227357581853191,-0.9381097706603995,-0.6471136846528324,-0.671451680532877,-0.6890328019330594,-0.7493620471456414,-0.4289617882398933,test,1013.1653888280395,1
3427,-0.5307839714440117,-0.4237589976111498,-0.5652130399444163,-0.5848424633633044,-0.8323687028859734,-0.6563612951659636,-0.7399141482329464,-0.7847862028682627,-0.6837611121885109,-0.787643802577001,-0.7576582697948488,-0.29024648953101734,-0.598405600668106,-0.6603885499118862,-0.7777359843086536,-0.8750735443751063,-0.4080146880547718,-0.82423194173048,-0.8309401364049759,0.12887277454305235,-0.6395042617843866,-0.6166972152666135,-0.5623907474166225,-0.6155759281032998,-0.395074733928816,-0.4348275761122021,-0.36236876978904226,-0.4978513363801832,-0.5196309698673788,-0.6932476842467112,-0.832795416986968,-0.7175368715521719,-0.9359483694566075,-0.6432632999502732,-0.6710904465131812,-0.6843896720555265,-0.7452413998069888,-0.42775627370025704,test,1013.461117196057,1
3428,-0.5277813738431738,-0.4205826827965818,-0.5654553329272213,-0.5885974116721897,-0.8309790378951012,-0.6487521861584526,-0.7467229426622777,-0.7810011642208176,-0.6824944185787832,-0.7815733107362789,-0.7563960405781199,-0.28391239647875594,-0.6001907829567045,-0.6571583765150977,-0.7720300675177459,-0.8658292182666307,-0.4037288147081086,-0.8220710867001054,-0.8378355847063937,0.1376781710643445,-0.632574654713177,-0.6043840811280354,-0.5599426361459683,-0.6105563205501765,-0.38249298361359546,-0.4277093348867109,-0.3632043495324561,-0.49297629646542984,-0.5140571060426748,-0.6834692858847311,-0.8350998316109837,-0.7140732734481037,-0.9281332406946996,-0.6485868714542445,-0.6809774309619587,-0.6790576967767699,-0.7467457943080281,-0.42168078962336664,test,1013.7568455640745,1
3429,-0.5312745672154553,-0.4110110353915941,-0.5690619572463577,-0.5878388377839502,-0.8260426676074835,-0.6503482256545438,-0.7468651193777534,-0.7866348895685084,-0.6826371010145635,-0.7778909617506921,-0.7507991236299751,-0.285494651937303,-0.592190144694071,-0.6573319342051429,-0.7778404375925018,-0.8610530431156297,-0.40606070935474287,-0.8269652783992231,-0.8364913611042856,0.12673348731344958,-0.6352271886461041,-0.6047260475517257,-0.5616885087442749,-0.6175644737355632,-0.39466487075906104,-0.4296420663279554,-0.3707503360219665,-0.4931403009452834,-0.5245064039403449,-0.6877891176008122,-0.8259847016816828,-0.7209439219838903,-0.9311464881904183,-0.6465582943970021,-0.6735875047685083,-0.6786506167868425,-0.7401885004126241,-0.42654512321697247,test,1014.0525739320921,1
