,AFDL,AIBL,AIBR,ALA,AQR,AVAL,AVAR,AVBR,AVEL,AVER,AVFL,BAGL,RIBL,RIBR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMEV,SIBDL,SIBDR,SIBVL,SIBVR,SMDVL,URXL,URYDL,URYDR,URYVL,URYVR,VA1,VB2,train_test_label,time_in_seconds,tau
1356,-0.3905822026227914,-0.6957331274039311,-0.7572000602045758,-0.34473506402027415,-0.4764252687834069,-0.8745795710087949,-0.744808134380259,-0.5494758082132386,-0.7611653453546942,-0.7516570288518957,-0.337754868665108,-0.5555523329928662,-0.5349785343123088,-0.5719797564863327,-0.3069209480182913,-0.775606148781339,-0.7910523862586444,0.3061464260740303,-0.678607951448634,-0.505447176518113,-0.3117926964450828,-0.35873197664783,-0.27820825362514656,-0.44076329067103315,-0.45784075350643094,-0.4276949531251352,-0.4734971361264365,-0.6645137575924779,-0.7451413062304127,-0.8049130763734842,-0.7851085734848035,-0.7291472640571092,-0.6866127328710955,-0.7402318809721159,-0.20901931662266043,train,386.20253164556965,1
1357,-0.3903086884636443,-0.6918169641386462,-0.7600110968321945,-0.34699501325452264,-0.4827897545832471,-0.8750566730084751,-0.7457190926578673,-0.553976380891833,-0.7609888704623319,-0.7507113109294056,-0.33823277065003154,-0.5601335409777499,-0.5370141424179204,-0.5803311801822539,-0.3093648468370062,-0.7777232350565831,-0.789720378502684,0.30779752794749043,-0.6756422874346298,-0.5028226950083616,-0.31480365217191064,-0.36414761007320917,-0.2812897624401839,-0.4397882234256414,-0.4553771795044631,-0.43058662487799765,-0.47229172312358636,-0.6676824034390292,-0.7452649922583535,-0.8058246475279882,-0.7835153108465028,-0.7310775731584611,-0.6912938908549298,-0.7425769574329559,-0.2126189156482309,train,386.4873417721519,1
1358,-0.38990390409443954,-0.7071263721904101,-0.7757452610323999,-0.35129042733557414,-0.4780062450144973,-0.8861557956902777,-0.7635226132492948,-0.5497180555171804,-0.7780780869877925,-0.7562131514092126,-0.33573292674398253,-0.559734939248212,-0.5333284852160736,-0.5782369597792536,-0.30291471894767,-0.7917472633619397,-0.8108847985212645,0.319746920757118,-0.6853925174173163,-0.5109056743833298,-0.3014391485488461,-0.36739359149431616,-0.26851516756456195,-0.4402189019962271,-0.46185439660620253,-0.4300474058427238,-0.4766134449062866,-0.6769149757543874,-0.7479145096865667,-0.8150412109363595,-0.7822996601796133,-0.7348554178434357,-0.6920807270112617,-0.7449389875576555,-0.20403702125048456,train,386.7721518987342,1
1359,-0.38719873987733644,-0.711434511351007,-0.7724279745873294,-0.3519643630242083,-0.48375380145014096,-0.8834636876935544,-0.7601382063962014,-0.5453127952520335,-0.7758121865141956,-0.7556132191101775,-0.33597762350071814,-0.5553879462808944,-0.5314624567162678,-0.5762907213282669,-0.30419232221190795,-0.7838612702168029,-0.8075724921563016,0.31749514481876245,-0.6834704514754762,-0.5129973217263667,-0.2951601417931589,-0.3688756578192466,-0.26182873756207126,-0.43757348076142233,-0.4596656244790768,-0.4267508156102333,-0.4690442301459776,-0.6760376104211282,-0.7476274749018359,-0.8075703577670592,-0.778552522500371,-0.7331026470156858,-0.69190852499162,-0.7460309778002341,-0.20234474706427633,train,387.05696202531647,1
1360,-0.38698818280862884,-0.715648577073708,-0.7690263807054404,-0.3590630719227107,-0.49228275251669074,-0.8808005157365703,-0.7590740425989105,-0.5590723983030139,-0.775498352281317,-0.7539763672256812,-0.3341734642636334,-0.5587970643243672,-0.5389894248200767,-0.5985557602308056,-0.30975069653783094,-0.7915727154198547,-0.8144593346768217,0.30705057801815,-0.6914642864054273,-0.5159777737617791,-0.3071595351118533,-0.38548293924187094,-0.2787727693699091,-0.4360102582563029,-0.46320403144094124,-0.4368553726753464,-0.4881541227940282,-0.6893425001652475,-0.7617460711149822,-0.8150701157521973,-0.7812287197821678,-0.744192876975349,-0.6894491921383521,-0.7501932812902239,-0.21191885438869495,train,387.34177215189874,1
1361,-0.3812293772394336,-0.7159273017155775,-0.7770387469276134,-0.3587144963858332,-0.4839548947556914,-0.8858540501903306,-0.7581659743867711,-0.5555138991053252,-0.7835303992100532,-0.7557603111255818,-0.33392791480241524,-0.5505179681455545,-0.5316004238244735,-0.5936643664133792,-0.31607619048892865,-0.7927194421909707,-0.8141813081594219,0.3135888774265035,-0.6942735774788427,-0.5124104583456169,-0.2929288150797287,-0.38320969837215524,-0.2590605214298048,-0.4253209337750169,-0.4597686396759013,-0.42490930631393614,-0.4797786643791975,-0.6866941120548996,-0.7466471843029491,-0.8115563974475868,-0.7802555443878167,-0.7437141806957749,-0.6835939749669371,-0.7552284015003695,-0.20490205231381015,train,387.626582278481,1
1362,-0.37946379776875483,-0.7130823184759558,-0.7804755785507413,-0.35771269171481956,-0.4790273337146817,-0.8865672985276889,-0.7618687625665674,-0.542721887481221,-0.7855908395430768,-0.755816427876491,-0.33480778388266,-0.5509767016462779,-0.5280054132024584,-0.5767845172772101,-0.306148870389912,-0.7957909520831744,-0.8178243334729849,0.3165294870857311,-0.6936734246541806,-0.5146196674652842,-0.28617718026363836,-0.3773850722037978,-0.2523966629870747,-0.4247674050444209,-0.45836947367157477,-0.424605627637156,-0.4712578126394725,-0.6872442339849143,-0.7402364692920811,-0.8063896119763414,-0.7721683620825768,-0.7348993279527725,-0.6848389331302941,-0.7513017556755857,-0.1936534902418761,train,387.9113924050633,1
1363,-0.3828064056608905,-0.7092644849557822,-0.7778792925054673,-0.36130740510523673,-0.486643334116452,-0.8865356761143586,-0.7671012404733173,-0.5536257805366456,-0.7907560474414412,-0.75945989952603,-0.3374266405661586,-0.5634012731697884,-0.5368092340131259,-0.5927399764025842,-0.305035754959161,-0.8052863285399243,-0.820891894972487,0.3149310286130757,-0.6922804341931938,-0.5147526205067156,-0.3045903380314502,-0.37975653000636306,-0.2640799373845109,-0.4349961784704091,-0.4670741597042467,-0.4388894817018294,-0.4832758404382388,-0.6939102402342051,-0.7520917314616788,-0.8133807322298292,-0.7763465370039303,-0.7337397448481806,-0.6935240124190152,-0.7531658651904601,-0.2012211262230783,train,388.19620253164555,1
1364,-0.39088169423405905,-0.7177813782228146,-0.7785815560701398,-0.36802286289784025,-0.48289368296538376,-0.8921715542163898,-0.7736745313704496,-0.5434826810144952,-0.7884535943906563,-0.7620707562716664,-0.33380872575387066,-0.5594390222624633,-0.5333534370484503,-0.5867702698542374,-0.30233937938278366,-0.8111706978455494,-0.8300430108985685,0.3161355330127802,-0.6993524080669407,-0.5175521454587309,-0.29970717860736745,-0.3815961807771642,-0.2633161095557923,-0.4389649092846911,-0.4663188210330559,-0.4386555888638264,-0.4858913417707049,-0.6949005866296302,-0.7516810613426681,-0.8102250234917675,-0.7756716193176297,-0.7362308315238866,-0.6875300588551696,-0.7537182931163425,-0.19879002305848556,train,388.4810126582278,1
1365,-0.3845953698683471,-0.7163135885479901,-0.776533097293997,-0.36385747254398115,-0.48664371412632373,-0.892048076639191,-0.7688016113743098,-0.5493827091968945,-0.7918539640804493,-0.7575251547940391,-0.334493434724723,-0.5554963240620217,-0.531768625183722,-0.5900761541464248,-0.30461642937327776,-0.8047209076344539,-0.8245257881670739,0.31569981951771237,-0.6937892019082887,-0.5190719085250636,-0.29788476417601095,-0.3816288517086304,-0.2545923189889343,-0.43210140714402934,-0.46612488601232593,-0.43301373823035194,-0.47898306393046725,-0.6949933871588215,-0.752531761579899,-0.8114516891012731,-0.7765141722797398,-0.7388444289664364,-0.6900497024417639,-0.7561845981710281,-0.20142169614878042,train,388.76582278481015,1
1366,-0.38693173994229013,-0.7197433917972533,-0.7793147685814897,-0.3616693526057902,-0.49213258777402763,-0.8887282617973619,-0.7655537516097974,-0.5500991830913167,-0.7880206408834217,-0.7613895531338476,-0.33521467780002556,-0.5586470266359598,-0.5329508584440048,-0.5905334817274304,-0.3076355712359774,-0.8017819352867557,-0.8258777596853601,0.3114539006127711,-0.6949804306611383,-0.5176010957508524,-0.30229561087176204,-0.38070874664316,-0.2616187025130158,-0.43661556324670253,-0.46392110463997793,-0.43023596483531806,-0.4834741448112284,-0.6906768149555629,-0.7552870426352747,-0.8152415680773868,-0.7832489229822762,-0.7424622005140785,-0.6900744954856488,-0.7591527286928006,-0.20286260942804663,train,389.0506329113924,1
1367,-0.39321107544414924,-0.7267585806478338,-0.7765318841506348,-0.36930008332973185,-0.5004302839206063,-0.8922754941613907,-0.7705539693948267,-0.55747926722715,-0.7844126351846009,-0.7575486829474986,-0.33157211450124674,-0.5615915541711443,-0.5371354595926713,-0.6011728022725318,-0.31262616287543016,-0.8134333443636125,-0.8360418662172293,0.30568844921710375,-0.7000425978750755,-0.5249720650456682,-0.30643084050606545,-0.3900720290956369,-0.27429723664395056,-0.4434364350657145,-0.46769827509228046,-0.4389857743949947,-0.5016093520099487,-0.7025326076510369,-0.7701331825522575,-0.8216218027599568,-0.7932991387010767,-0.7520358010013409,-0.6937876783133227,-0.7545106965810338,-0.20522377364146413,train,389.3354430379747,1
1368,-0.38729650953001826,-0.7100758950337611,-0.7712374704848051,-0.3675833508382656,-0.4885764827264165,-0.8855250896897321,-0.7585460314361413,-0.5485522317051512,-0.7835172282150286,-0.7548859909574711,-0.3330332194627407,-0.5547540998501499,-0.517155536331332,-0.5842095703798535,-0.3090475649575789,-0.7975704437726104,-0.8156072181770192,0.30245986922106843,-0.6834671285423664,-0.5213238310474694,-0.2909311544096056,-0.3777924915880465,-0.25378990228034604,-0.4351835562358659,-0.450619496626008,-0.4152599087030588,-0.4796186760102754,-0.6879537223600435,-0.7494475534898846,-0.8136490605388179,-0.7854556558614968,-0.7409143816641239,-0.6957487625339267,-0.7535076458093358,-0.1957897939533038,train,389.62025316455697,1
1369,-0.3857357081336683,-0.7071218208684901,-0.7678963151196095,-0.358839451613718,-0.47697349525414895,-0.8841473649614591,-0.7600926839780062,-0.5371783150465816,-0.7830731826073543,-0.7537531098900827,-0.3273280561518933,-0.5529376261275505,-0.5111554182539125,-0.5725122172894834,-0.3043578585758603,-0.7949363781071099,-0.8064470368086076,0.2998369566244519,-0.6801299049885073,-0.5142016163386448,-0.27451502803010147,-0.3750098736705427,-0.24240310864855408,-0.4265257472330891,-0.447132015688816,-0.4049583616763452,-0.4667741375205264,-0.6845671480908827,-0.7323284315939165,-0.8032916356593436,-0.7739444176823783,-0.7333758548282693,-0.6890316054885017,-0.7537022869097652,-0.1844924846245584,train,389.90506329113924,1
1370,-0.39052299709427996,-0.70394899081267,-0.761294190002528,-0.35461204524224554,-0.47995587682588037,-0.8812536522133327,-0.7543094116590808,-0.5329391711118356,-0.7758022518520646,-0.7520282566335771,-0.32704403208900606,-0.5507877130923078,-0.5118667845494987,-0.5631088319923528,-0.3027453272813069,-0.7853742548843764,-0.7967230449683533,0.29786678638095193,-0.6745788282539863,-0.513290700699353,-0.2730835018911062,-0.37579672429121086,-0.24534260513443457,-0.428773492402755,-0.441228690957265,-0.4022313834717275,-0.4626200790034029,-0.6792462118344793,-0.7324589626041684,-0.7994433942339714,-0.7758371097219944,-0.7346772441633684,-0.6874984456055355,-0.747968311216878,-0.18134727695173616,train,390.1898734177215,1
1371,-0.3866743979154011,-0.7059123241748141,-0.7681517189099875,-0.3586147376648907,-0.47899745919687314,-0.8832645379642379,-0.7569667144583672,-0.5254885979425066,-0.7785975570577028,-0.7552934666633613,-0.3279075034304361,-0.549857969761043,-0.5054278254502819,-0.5601228019028799,-0.3012860472677218,-0.7846931714944438,-0.7979697773220328,0.3011028735698166,-0.6737989237930138,-0.5096562511627064,-0.26799080210067455,-0.3738992327888996,-0.24114306680693917,-0.4266868489563655,-0.44039756148043485,-0.3979630429898745,-0.45946607620887825,-0.6793709816845038,-0.7307732180716268,-0.7991664221814961,-0.7704656669418689,-0.734344146635977,-0.6862357721607877,-0.7510137938869159,-0.1789441129789118,train,390.4746835443038,1
1372,-0.3856726139512501,-0.703677929404797,-0.760767087681717,-0.352309477245786,-0.48168979634389264,-0.8814679001273105,-0.7609997430179817,-0.5280589477815109,-0.7766745732487819,-0.7553007226790983,-0.3241350937389003,-0.5526849745582083,-0.5060820766658636,-0.5641765914055582,-0.2993308373354513,-0.7835338498296781,-0.7939456359646117,0.2921812793961944,-0.6685945229468088,-0.5113641493743415,-0.27197849063967383,-0.3807181465531435,-0.24407965591807876,-0.4250718579743431,-0.44175779199547816,-0.39685467505024014,-0.45916485512317967,-0.680726023377035,-0.7362146633397282,-0.8035144066321638,-0.7755421357720197,-0.7408511755716404,-0.6908185036186825,-0.7486972236207434,-0.18108050694459005,train,390.75949367088606,1
