,AFDL,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVER,AVFL,AVFR,AWCL,OLQDR,RIBR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SMDDR,SMDVL,URXL,URXR,URYDL,URYDR,URYVL,URYVR,VB2,train_test_label,time_in_seconds,tau
3719,-0.3909054566231812,-0.5354663145612888,-0.4946197561276952,-0.3620861015636822,-0.3898769950854608,-0.6864920501993289,-0.6731664938279773,-0.72488832990856,-0.6992039966705589,-0.3360365344475016,-0.24307194016884665,-0.5461426183613567,-0.6248307970398095,-0.6680107589660089,-0.4090454744379558,-0.6901167712878422,-0.6697922949548432,-0.284616990978145,-0.6646121311894676,-0.5738768135195371,-0.42549728396525355,-0.499657590862408,-0.6155151478325618,-0.4618526440813463,-0.7736113424245177,-0.7866739426479508,-0.8753933063123334,-0.7264046749834097,-0.7720374838825036,-0.7226279877894743,-0.6595581350658444,-0.6075276624594272,-0.30525550521758016,test,953.5897435897436,1
3720,-0.39349193311077246,-0.5401570244400831,-0.5067491218289447,-0.35193443995938,-0.3776130840845122,-0.6861824457374108,-0.6784420213924295,-0.7221123282411218,-0.7024377125547653,-0.3399301305074375,-0.23953530757812191,-0.5507859890893834,-0.6230512235663017,-0.6695479713633841,-0.41925610751113374,-0.6870237398874272,-0.6747796822751139,-0.28519447408462606,-0.6657165240913785,-0.5612975498941868,-0.4276838941693419,-0.49267772419655986,-0.5980717508106819,-0.4574188461111327,-0.7740792324793098,-0.7816128525420979,-0.8784798076413853,-0.7282860695100815,-0.7802581450502857,-0.7284591004770489,-0.6687175837430352,-0.6084603734118221,-0.30233167970445474,test,953.8461538461538,1
3721,-0.39289686865209394,-0.538910251447442,-0.5038793039669124,-0.3528779787753864,-0.3754869538586334,-0.680074231429306,-0.6785427583045115,-0.7124031246351799,-0.7006754554295512,-0.3361417554942379,-0.24024148497145126,-0.5498403965666034,-0.6192985648834538,-0.6690386860983353,-0.41948595687407086,-0.6859050394900335,-0.6773847883968952,-0.2858784496575667,-0.6607104900024253,-0.5553137184424177,-0.4357291578503363,-0.4876184326030209,-0.6014260124948579,-0.4559886794390144,-0.7666075519071995,-0.7737179570338724,-0.8825722053294215,-0.7228051287481201,-0.7838771035358522,-0.7336309940860206,-0.6688483771176232,-0.6074219800142697,-0.3070662555604634,test,954.1025641025641,1
3722,-0.3939008461105887,-0.5216046318399727,-0.4841925894664867,-0.3519042804351761,-0.3740844181633257,-0.6952014819129344,-0.6643177360358763,-0.7225283477457436,-0.6881636571144374,-0.3373066896978195,-0.24132402424450972,-0.5410142577886967,-0.6231617364895918,-0.6785207621840197,-0.4288185690624974,-0.6759523463966816,-0.6663484883905041,-0.3115027157055038,-0.6677571847638154,-0.5616925389028057,-0.4405788700551472,-0.5014081648740589,-0.6106185972606938,-0.48339340271095776,-0.7779078350539873,-0.7960095293470626,-0.8887862310100224,-0.7232472202173219,-0.77671021456999,-0.7251871551296074,-0.6708213682452153,-0.6072567146890689,-0.31968630569327783,test,954.3589743589744,1
3723,-0.3866866591689853,-0.5373368211569869,-0.5058504618969902,-0.3659158957101394,-0.3850918956086756,-0.6833540752815429,-0.6746075615185732,-0.7180489108621121,-0.6932740707094203,-0.338518672815506,-0.24755919197219795,-0.5536961538281425,-0.6276032834905012,-0.6779801379253603,-0.42011006283397323,-0.6942252817749518,-0.6782729991475851,-0.2831105471994344,-0.6665519048108646,-0.5694428288286008,-0.4282338316242569,-0.4904643159503397,-0.6035608268336706,-0.45460364875507864,-0.7702332707567582,-0.7859818419297788,-0.8734201078275713,-0.7354335703046184,-0.7781337680071753,-0.7288515983288649,-0.6558483848645194,-0.6090749561526434,-0.3077594488533407,test,954.6153846153846,1
3724,-0.38689856741540446,-0.5383590532150505,-0.5076218005886989,-0.35974301675139775,-0.3836439955973562,-0.6832450266873099,-0.6765882186784543,-0.7145495040617547,-0.6897855893011414,-0.3364157464604666,-0.2380884015134514,-0.5526271813857551,-0.6194891237136195,-0.6715416073760359,-0.41373841561941094,-0.6862185301350129,-0.6903809159350556,-0.27299574065590915,-0.6656957712149144,-0.5553693612946035,-0.4340629727236111,-0.49301086460284477,-0.6058230580478554,-0.4547761280365663,-0.7722235263706498,-0.7806121077362237,-0.879715234211927,-0.7212635801087091,-0.7687871835755088,-0.7183023260168668,-0.6574486536913517,-0.6026185019237722,-0.30886598740686627,test,954.8717948717949,1
3725,-0.3827294975905827,-0.536379907247371,-0.501629336805679,-0.35978084748702754,-0.3847449271043403,-0.6848901473894768,-0.6783000742855131,-0.723474788652265,-0.6943233174302224,-0.339244222724418,-0.24221570092212985,-0.5403330488030447,-0.6245978088533528,-0.6667094691828468,-0.41368683152649544,-0.6913404764438704,-0.6826112571248978,-0.2841052006698345,-0.6664373355462359,-0.5697600760675083,-0.41813947671881063,-0.4884034136912764,-0.6121514323359666,-0.4578881159384451,-0.7722951527925956,-0.786739600878028,-0.8780358791277894,-0.7229863277425859,-0.7759742619160892,-0.7314297460357696,-0.6654127060645983,-0.6124462448735608,-0.30038641946277356,test,955.1282051282052,1
3726,-0.38637452519319204,-0.5324734075912723,-0.5088450377150608,-0.3490861092340354,-0.37815639922749655,-0.6858922722223637,-0.6860039475796109,-0.729809292430634,-0.6943137664174795,-0.3347622200896338,-0.24319129756585295,-0.5398379399981158,-0.6227194880522912,-0.668591374364693,-0.41400300837498716,-0.6945075696973777,-0.6915135504251139,-0.28484756967895825,-0.6687775236459602,-0.5593358979713251,-0.4257571125394315,-0.48999467020565074,-0.6096983632100681,-0.46525740576901126,-0.7708174574888885,-0.7851071896707768,-0.8793600855598094,-0.7211851458707501,-0.7835988659509519,-0.7293487407399194,-0.6703701069631198,-0.6075052232979898,-0.30386148673843116,test,955.3846153846154,1
3727,-0.38919654504265555,-0.5355129482495912,-0.511015397200533,-0.3595669828204445,-0.3900233814784242,-0.6820031320632666,-0.6857892792958517,-0.7352178213757162,-0.6941118159378139,-0.342748884898971,-0.2443762175431612,-0.5452981583854744,-0.625430436953023,-0.6643553024954718,-0.4104205309102128,-0.7015746597077468,-0.6947535451510163,-0.27916883248986524,-0.6709269866848624,-0.5725423255297131,-0.41907157899945985,-0.48393705987931673,-0.615784041336586,-0.4640159117311378,-0.7738991629468914,-0.7871071557601046,-0.8797125591550172,-0.7302522174866362,-0.7768748401538536,-0.725886300072786,-0.6654982249730481,-0.6072462956506475,-0.302614631158044,test,955.6410256410256,1
3728,-0.38541385746868717,-0.5367889614014616,-0.4966542922562771,-0.3534446884109944,-0.381162644509105,-0.6892820527874688,-0.6815813008965395,-0.7270981590187076,-0.7007669306248743,-0.34089738507070244,-0.252478856086989,-0.5374968094276352,-0.6250901515386456,-0.6685593242544132,-0.41765972270139173,-0.6947966395946901,-0.6854133077265102,-0.2995206774147934,-0.6679405656147382,-0.56751190787498,-0.4253105179507198,-0.48883119766442595,-0.6178655414032327,-0.47546307547118566,-0.7727282381784625,-0.7877401953633525,-0.8852898984252519,-0.7217110584449071,-0.7848602336606785,-0.7413249264635801,-0.6700020705722631,-0.6080986811678348,-0.30437601020956745,test,955.8974358974359,1
3729,-0.38829938417629783,-0.5262898003160574,-0.48749837646431476,-0.35673537022628415,-0.38247588249983633,-0.6882568581275917,-0.6737927614554101,-0.7233991325403072,-0.6928681569233079,-0.33928475744498376,-0.25067739089903035,-0.5351845537591287,-0.6237388631903644,-0.66329615144332,-0.42195560399976434,-0.6837778674659387,-0.6790863369622705,-0.3124059878263498,-0.6609886406802301,-0.5629950363688877,-0.4324773593253645,-0.4927856889833506,-0.6219374866104521,-0.4812784025003908,-0.7754308548437651,-0.7901435183914994,-0.8895732100351813,-0.7173942859638567,-0.7781894624840535,-0.7318648248009332,-0.6701201647852577,-0.6065784372538726,-0.30540685507778365,test,956.1538461538462,1
3730,-0.39009069198960944,-0.5247529585473607,-0.4881384765264902,-0.3710513360141595,-0.39500506022972837,-0.6937160081368796,-0.6710957411588795,-0.7267619032300047,-0.6959668130308097,-0.33576523838213074,-0.2516517595831967,-0.5342159533652553,-0.6316998596854724,-0.6616990622019339,-0.423978640105862,-0.6878957495474928,-0.6887770382180252,-0.3242827154330359,-0.6538870289036365,-0.5685693650371721,-0.4334577848155943,-0.4944045652113405,-0.6404061113405185,-0.49387810724990394,-0.7883215346217614,-0.8014798852914713,-0.8968092431047684,-0.7187695232706695,-0.7806707386756047,-0.7331304812326613,-0.6704940606087795,-0.6113050099476418,-0.30723443511175874,test,956.4102564102565,1
3731,-0.3927550303693902,-0.5228237366863795,-0.4849069029347776,-0.3676365835366776,-0.3804953068454632,-0.6971927269315462,-0.6716364301541892,-0.7263548676742824,-0.6959210475698332,-0.3348329043085274,-0.25623240630368943,-0.5325427028822909,-0.6352663696855445,-0.6703377709668297,-0.4292921979888453,-0.6854568908897252,-0.6795872488844553,-0.3282295078342301,-0.6561429737276065,-0.5682337782484894,-0.4409782400942327,-0.4948271309127753,-0.6337691979531364,-0.5028087464502483,-0.7866737439802008,-0.7957273063798547,-0.9019405173714079,-0.7207999454508929,-0.7848998498429955,-0.7431448180341573,-0.6759936199168094,-0.6149402204119185,-0.312655066581113,test,956.6666666666667,1
3732,-0.3900650982694912,-0.5225082898402965,-0.4866959379865178,-0.3596094506041331,-0.37181205587652244,-0.6912933009350702,-0.6774722069118367,-0.7246518854698147,-0.6919582065338696,-0.3302580357906397,-0.24616644421055978,-0.533419021678683,-0.6279384085723674,-0.6675381562267377,-0.4263764989855055,-0.6810364535177815,-0.6825639465216673,-0.3161389165687295,-0.6519183976600005,-0.564543229512581,-0.43429208659621754,-0.49880816190248123,-0.6239062750971449,-0.4884433002108984,-0.7830377541409115,-0.793962723701814,-0.8965950476011987,-0.7183571136291405,-0.7861774990545722,-0.7377726342077827,-0.6833871881380981,-0.6066635750562333,-0.31140171229951863,test,956.9230769230769,1
3733,-0.39438077408642225,-0.5279622928255451,-0.49736430248373686,-0.3582559947158158,-0.3766208301964471,-0.6795867647871335,-0.6801413901770759,-0.728376964857848,-0.6885928351223014,-0.32582787477226427,-0.2443130265924261,-0.5374733539881604,-0.6219772217431472,-0.6609906688976714,-0.41922309405043146,-0.6924539624672984,-0.6882078986990515,-0.3042778711063693,-0.644614253218248,-0.5594665902458672,-0.42450790275129424,-0.49468619201829717,-0.6179420890293721,-0.46975979398215917,-0.7736080586269181,-0.7852075489773169,-0.8857444820066963,-0.7153502126900673,-0.7854874261863598,-0.7293401888525585,-0.6811571670051955,-0.6044638402710459,-0.30700868162633455,test,957.1794871794872,1
