,AIBL,AIBR,ALA,ASKL,AVAL,AVAR,AVBR,AVFL,AWBL,BAGR,OLQDL,OLQDR,RID,RIFL,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SIBVL,SMDDL,SMDDR,SMDVL,URXL,URYDL,URYDR,URYVL,URYVR,VB2,train_test_label,time_in_seconds,tau
200,-0.6530791737821235,-0.6505319458881914,-0.4166668646458799,-0.4340287698627947,-0.7841399702462892,-0.7633739505731404,-0.46933071818946037,-0.2422775234864291,-0.4119235214168745,-0.7163348416042465,-0.6161983509344855,-0.6011600951035729,-0.37113153115093567,-0.6676783388884403,-0.7730626928235679,-0.7068937400537962,-0.04643000578899892,-0.6064129268661315,-0.6118604110500592,-0.1263137245056854,-0.5160626786547003,-0.5158058773495728,-0.14867611380304913,-0.2391351331517047,-0.5951325494418588,-0.6943012149668051,-0.8081748941342402,-0.6836555413273079,-0.7514242050720814,-0.7358728256148315,-0.74150784596063,-0.6392777445216651,-0.1532450682002357,train,71.2166172106825,1
201,-0.6626541323912191,-0.6585410441512408,-0.4146161568738033,-0.43200374719004475,-0.7926848111096096,-0.7697029614595139,-0.46165781304475806,-0.24205655630673245,-0.41426411314868267,-0.7200880095315859,-0.6161539476560477,-0.6039992276252444,-0.3691451481224904,-0.6681486648942523,-0.7903792898522609,-0.7154451286878684,-0.04940233296971783,-0.6084602254692891,-0.6063759870572213,-0.12568453575631178,-0.510258450573607,-0.5106189006298885,-0.13999632881645535,-0.22814747128667512,-0.6000951280143331,-0.6906203749601048,-0.803209598259671,-0.6904924780690181,-0.7632445109103756,-0.7377574773477663,-0.7428461556934947,-0.6437835588213596,-0.15216682405138807,train,71.57270029673592,1
202,-0.6654898709825255,-0.6557815411919296,-0.4158561862618118,-0.43640440197974883,-0.7930757178308733,-0.7734028474861858,-0.4623772848687351,-0.24321055005165554,-0.41466278251110156,-0.7213757329395658,-0.6139298635139735,-0.6053776260206984,-0.3689824470940138,-0.6721577954952551,-0.7882684153526484,-0.7198386461388667,-0.049825945500297175,-0.605140502597707,-0.6090399821754954,-0.12694385303023847,-0.5155751224849956,-0.5166578797630808,-0.14512908729003723,-0.22861226379968203,-0.6017143343992609,-0.6950780670882919,-0.8100985362492911,-0.6958223138089464,-0.7664538500949246,-0.7397937476435263,-0.7458485347699318,-0.6434495912449512,-0.15743977851662813,train,71.92878338278932,1
203,-0.6610627803988368,-0.6503761544858215,-0.4203583736524788,-0.439626065170735,-0.792430370005853,-0.7711307734557488,-0.4638893700897304,-0.24518787045212162,-0.41669366690355764,-0.7213998859647082,-0.6130233913645684,-0.6105458500592036,-0.37169047425821256,-0.6753817842337715,-0.7851770244401358,-0.7131451293506723,-0.055081454476997874,-0.6097739150148386,-0.6151042043836564,-0.12757140744189643,-0.5119014622245388,-0.5244953683398523,-0.1496893468878769,-0.23560122009632684,-0.6031949120212727,-0.6999634920727946,-0.8162117908626703,-0.6964109062992397,-0.7633980158976857,-0.7419517672273845,-0.739951580481941,-0.6491022980704624,-0.15689176534879534,train,72.28486646884274,1
204,-0.6604285498679762,-0.6556526789975207,-0.42042674810650466,-0.4407427456907973,-0.7933327588847805,-0.7630144462826498,-0.45680724873444606,-0.24184562603308773,-0.41454170226960424,-0.7196633329665241,-0.6123337197077482,-0.6064865309345303,-0.3654559269365337,-0.6736374546676547,-0.7782784129877299,-0.7080788414029745,-0.04191987965548988,-0.598738052627273,-0.6138966349067758,-0.11452567730783204,-0.5040722238636689,-0.5163669448757604,-0.13501991935431354,-0.2247375882934216,-0.5915263257869092,-0.7002942381768915,-0.8060776231126338,-0.683125967625803,-0.7600079896805547,-0.7441857182213373,-0.7435169457856202,-0.6489705620892889,-0.14342747753408613,train,72.64094955489615,1
205,-0.6685211290153417,-0.6591664644921583,-0.41649455780425043,-0.44712669385841275,-0.7947373501079993,-0.7701113142241746,-0.45691672864942456,-0.2369334586167675,-0.4152397893787684,-0.7151848735103519,-0.6065054491852276,-0.6086794818208943,-0.36230451102023387,-0.6667812532282725,-0.7911447873243561,-0.7081895291063881,-0.046054480870291625,-0.5965912728596496,-0.6059852453951338,-0.11151512687607154,-0.504687540656892,-0.5132170137149501,-0.1323535794906569,-0.21936763063190062,-0.5921984200812367,-0.6994535460189008,-0.8039195784358294,-0.679762181718259,-0.7596113622291909,-0.7457722678243258,-0.7466896395386826,-0.6524544157066039,-0.13563504194243423,train,72.99703264094956,1
206,-0.6727835330171453,-0.6618763609525101,-0.4183992602660697,-0.44694914280426157,-0.8001226510673187,-0.7804831155382242,-0.4478681721649819,-0.2335417270294979,-0.4157707473674263,-0.7158468278606859,-0.6032216734350286,-0.6129021662971798,-0.3524464463442265,-0.6642697776289291,-0.7980279480777267,-0.7133350137711708,-0.045767880528665456,-0.5957511648167007,-0.6057309319026777,-0.1064695856232833,-0.5055428409382484,-0.5092719814761791,-0.12595625866793722,-0.2130729317423926,-0.5880491897010366,-0.6939843081454732,-0.8024965118864442,-0.6791245000035689,-0.7653998221639062,-0.7423372806670915,-0.7478458966461556,-0.6521054578054655,-0.12756307437305842,train,73.35311572700297,1
207,-0.67139895326234,-0.6534946822228588,-0.4209069831911876,-0.44428809213627585,-0.7918538653053728,-0.7710807252606157,-0.4512746787294977,-0.2347508937783674,-0.41633287809134967,-0.7162187902195893,-0.5968446767549647,-0.6181709898619154,-0.3505838066232677,-0.6675298942221713,-0.7892908374304745,-0.7091900826735099,-0.0501142312412991,-0.5988794276215128,-0.6046346844583309,-0.11722643085644498,-0.5099661815913326,-0.5173007163606951,-0.12871916982346812,-0.21697994975174612,-0.590246475443169,-0.6914616650135001,-0.806049749266558,-0.6876543947015498,-0.766224333535942,-0.7379967479031997,-0.7445970061191411,-0.6460538030492695,-0.13776098358698546,train,73.70919881305639,1
208,-0.6658191895417204,-0.6590730085890417,-0.4255834227754225,-0.44204952242927265,-0.7956054953042468,-0.7741639857918472,-0.4531107047978351,-0.23388791907312917,-0.41503637047474684,-0.7113964070323158,-0.6000085540920697,-0.6187892815381738,-0.3497105075889538,-0.665836506915456,-0.7923386542173647,-0.7104221179249652,-0.04226394158738028,-0.601509948572925,-0.6068844051032257,-0.11453851629361332,-0.5130617366098464,-0.5170812690119477,-0.1254239157773105,-0.2196895245989397,-0.5864253441240044,-0.6884146403008119,-0.8087893395999967,-0.6849239147700317,-0.7698456438501609,-0.7367744361799173,-0.7483716726981934,-0.6441266990801965,-0.13728871563569603,train,74.06528189910979,1
209,-0.669715273669855,-0.6691101849123158,-0.4210453543487915,-0.44063141718957555,-0.7984989104133561,-0.7743843221463066,-0.44778540177237963,-0.2287986228348247,-0.4116874481469707,-0.71251064881299,-0.5987975422520297,-0.6180082285346564,-0.34525052545195767,-0.6581468015224707,-0.7926030899880272,-0.7151184215528237,-0.03311352906173387,-0.5994777527249106,-0.604652637405682,-0.10635546312578081,-0.5108909504547956,-0.5143998340619662,-0.1129328629277749,-0.2099178320537568,-0.5807556085925947,-0.6802845297758743,-0.8071949714489854,-0.6782029652063318,-0.7685870148067401,-0.7359328156729193,-0.7530806658346385,-0.6378690863086465,-0.1323791930051855,train,74.42136498516321,1
210,-0.671753497287059,-0.6753032825293633,-0.42062021175986913,-0.44029583426322605,-0.8078049456944125,-0.785638056918139,-0.4538222998870479,-0.23238626336098195,-0.4125235776221275,-0.7121246770872869,-0.5997649082308103,-0.6211194075375013,-0.3449107525663682,-0.6535582424633226,-0.8025195220092228,-0.7160035845905827,-0.03163815948958035,-0.6088275191941851,-0.6070779312432243,-0.10930436045346092,-0.5073848386349424,-0.5102732868721345,-0.11510650269677629,-0.21580549723118536,-0.5839800789924466,-0.6791757164344062,-0.8086732725073542,-0.6819128854022201,-0.7734660644591536,-0.7434174407536976,-0.7539422213334304,-0.6463353578958534,-0.13147051660292416,train,74.77744807121663,1
211,-0.6720322047081503,-0.6758898219765069,-0.425006466905614,-0.4357631573045996,-0.8021728015822616,-0.7840004972302418,-0.446560968116954,-0.22850302489106125,-0.4104397589160588,-0.7073053882320891,-0.6007293014814192,-0.6252426875652991,-0.3399562149123353,-0.6544354321854938,-0.8040840348565137,-0.7176147172293744,-0.03164051557400219,-0.6083671209089865,-0.6020538951328044,-0.11016584862581079,-0.5118294269543542,-0.5081330071766526,-0.10941372115553745,-0.21271083960133091,-0.5771200082647014,-0.6740232611197446,-0.8039920634750638,-0.6839796809887156,-0.7776261235572827,-0.7333016219092613,-0.7617230789695402,-0.6387911353363198,-0.12476897852433734,train,75.13353115727004,1
212,-0.6696132808857425,-0.6703595741221041,-0.4241810703396144,-0.44320617673392027,-0.7967856971323395,-0.7805261678600077,-0.44578716699044846,-0.2277636823809184,-0.41126989917133555,-0.70789436823054,-0.6021296191715716,-0.625200815295781,-0.33785436914980604,-0.6473563211559171,-0.8022818764424583,-0.7118670858604014,-0.03022750478850314,-0.6049265947778073,-0.6039285697049038,-0.10462993940228903,-0.5129657373997014,-0.5036972359916296,-0.09975347006153712,-0.20775757548225726,-0.5774410606548188,-0.6669938074426803,-0.802171099657544,-0.6796496211891315,-0.7737056812261532,-0.7285418455711855,-0.7563920590925881,-0.63772493828264,-0.12669934988621373,train,75.48961424332344,1
213,-0.671013747382816,-0.6711381470673474,-0.4256191114623217,-0.4385876629713765,-0.7977166555796927,-0.7807264649140275,-0.4408091749845281,-0.22848952011961088,-0.41119453036989506,-0.709315034251312,-0.5972016200570843,-0.628464355467825,-0.33428353376253617,-0.6476030777711804,-0.8083511759795252,-0.714878098706279,-0.0351316693512472,-0.6084761896974138,-0.5995941727917058,-0.1092575343121586,-0.5091085125453425,-0.5031761723634481,-0.09819677782668568,-0.20420411131275287,-0.5782029033636762,-0.6634218231517482,-0.7982872886943232,-0.6876182393276342,-0.7799043085397694,-0.7249808463395497,-0.7551241667291653,-0.6387147960352324,-0.1259092769821461,train,75.84569732937686,1
214,-0.6726834796135839,-0.6852810700626364,-0.43040166321450923,-0.4364678936116323,-0.8055963658904731,-0.7844333634078566,-0.43892169566603706,-0.229729456116293,-0.4077556511896256,-0.7072872972562702,-0.605061577676677,-0.6309728879647954,-0.3335982235459297,-0.6517896692254013,-0.8145786406250907,-0.7215622108365919,-0.02220553589420618,-0.6101098999934691,-0.6033667539393643,-0.10412962489354775,-0.504799569930678,-0.5004182809852498,-0.09777653725215595,-0.2093394507486998,-0.5728245790717513,-0.6643754607623683,-0.7971500321842622,-0.6878814237708358,-0.7855628302342753,-0.7264797883904235,-0.7636122206166616,-0.6393920449354906,-0.11759969690079153,train,76.20178041543028,1
215,-0.6751173134896248,-0.6884229900058196,-0.42604510657572064,-0.4389901471268446,-0.8041075422313555,-0.7881018509104448,-0.44459820433571245,-0.22877846010926384,-0.40596023176585055,-0.7032047915868926,-0.6014085156166673,-0.6319591008526293,-0.334132019379912,-0.6466232968449014,-0.812872686957423,-0.7162512646018833,-0.021165450497319438,-0.6139963058959206,-0.6030033158607448,-0.10752861968509876,-0.5040326332440215,-0.5010094828783918,-0.10233219243913874,-0.21717055738259095,-0.5755416214478803,-0.660409129986526,-0.7980482974244366,-0.6839808863175693,-0.7829030597000348,-0.728006558915718,-0.7620945915443662,-0.6427897805424301,-0.11684229800822227,train,76.55786350148368,1
216,-0.6801152897588559,-0.6848491372324322,-0.42315651935405935,-0.43974019802842557,-0.8050884697129469,-0.7881986984216318,-0.44638699672393345,-0.22909930662626085,-0.4030946468799299,-0.7014538605897159,-0.6005078814797682,-0.6335685539280291,-0.33021872434857824,-0.6421778242273888,-0.8147093535331794,-0.7188348005755055,-0.0201367879936242,-0.6115756233997678,-0.5987969229920922,-0.10777547760240024,-0.5018474438514376,-0.4972702423661592,-0.09533272226756563,-0.21201017278787992,-0.5690152955368359,-0.660870500929746,-0.794023317003768,-0.6880688074003172,-0.7850915324845306,-0.727975383070219,-0.766051104533424,-0.6451282360171049,-0.11265618710216188,train,76.9139465875371,1
217,-0.6821621864097761,-0.6869925812875892,-0.4288310992387403,-0.4370639111659662,-0.8069418537050447,-0.7845075302246958,-0.44867580559898784,-0.23006906468805624,-0.40245434483528,-0.7015558745514499,-0.5997116115765169,-0.6356235324882453,-0.33126357013549723,-0.6455667710029113,-0.8099211256370235,-0.7149743724664085,-0.014824507313176777,-0.6170660711700986,-0.606106809544204,-0.10609158768517697,-0.5002340522070516,-0.49791362636264125,-0.09389177835564702,-0.2154092841287394,-0.5716006449042189,-0.6600777700067659,-0.7967494728433058,-0.6888120179153452,-0.7835112509487118,-0.7327339697713521,-0.7669051367060129,-0.6477287848124205,-0.11245763804739757,train,77.27002967359051,1
218,-0.6842285452612469,-0.6893325058673008,-0.4267347528718523,-0.43999553220379173,-0.8054361965674608,-0.7832565071809876,-0.44481077231328087,-0.22678297587018417,-0.401772321846923,-0.7019835769952512,-0.6012612347112593,-0.6330362694454006,-0.3294653880466995,-0.6402644095541052,-0.8103575379665605,-0.7162253528580871,-0.010548696761341014,-0.612526423229028,-0.6055706203503959,-0.10195973715918683,-0.5034510974609689,-0.5012845357140541,-0.08627989229739996,-0.2114079036557524,-0.5710412469818897,-0.6567028145475944,-0.7981156586059241,-0.6817275929815566,-0.7793863762299039,-0.7293505658987255,-0.7667110438388618,-0.6432205946259782,-0.10889018902290815,train,77.62611275964392,1
