,AFDR,AIBL,AIBR,ALA,AQR,ASKL,AVAL,AVAR,AVBL,AVBR,AVEL,AVFL,OLQDR,OLQVL,RIBL,RIBR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SMDDL,SMDDR,SMDVR,URXR,URYDL,URYDR,URYVL,URYVR,VB2,train_test_label,time_in_seconds,tau
1354,-0.11302123753134316,-0.1271428247187089,-0.2878980747626188,-0.2188232141780104,-0.19152434105374638,-0.18203972880393862,-0.42570380251188145,-0.33552985660407353,-0.27266509946969925,-0.18206312047952894,-0.38208564104231796,-0.23215641019715835,-0.33538899460617644,-0.32647678118085594,-0.2051703327544821,-0.13003880650320393,-0.22535882245218028,-0.3236894902599251,-0.4580259631015981,-0.243849798480345,-0.2976856241694811,-0.16714824186453778,-0.35934675949394623,-0.2198747636951636,-0.28559307644630993,-0.2588537272243634,-0.43670123001548866,-0.44663648641867193,-0.31148316001658405,-0.3637418499372429,-0.37161599981178545,-0.31351520458103116,-0.3988723783759445,-0.35806749880492456,-0.23090904838477794,train,392.99113141628595,1
1355,-0.1017179549427111,-0.15667087539482982,-0.32223014939043326,-0.2126258214522655,-0.17761038514329536,-0.1922534155436208,-0.4671381419467341,-0.3657677174847796,-0.24351864329487127,-0.16161417856746302,-0.4048673512644551,-0.23813820356466608,-0.3459504130039175,-0.3354137425509309,-0.1870681570163747,-0.1097239511161629,-0.1973784662328071,-0.3486732506425314,-0.4849637567314616,-0.21141505643142056,-0.3149490577932318,-0.18069260118188735,-0.31542634327697655,-0.20357675821672838,-0.27030980958496337,-0.22262897683272437,-0.42674066267681277,-0.432824186011447,-0.3337329871947666,-0.35643006925022847,-0.3778873148759891,-0.3225138934836155,-0.4108224373194074,-0.35157356845898763,-0.20616035540730446,train,393.2813759742005,1
1356,-0.09219056049099425,-0.19077401396004598,-0.3503051231565358,-0.20603436510378703,-0.17046145040682706,-0.20087382011119753,-0.5074026185097572,-0.3973475777526983,-0.21857983994192004,-0.1531719962752498,-0.42979282904618815,-0.2441614843620521,-0.3550896142384281,-0.3429587682961272,-0.17325461209092238,-0.09808263324814655,-0.1757305381689223,-0.366607393512155,-0.5133864062867352,-0.18745374250246374,-0.3394041642103548,-0.20021742316030444,-0.2742375728671729,-0.1999736800364857,-0.25834677913423715,-0.1917805689116611,-0.4129072127339928,-0.42228360024472733,-0.3592062133140247,-0.3564158667425973,-0.38781073891631196,-0.33401235453360184,-0.4250515164646427,-0.34370204323154474,-0.1905737993084015,train,393.571620532115,1
1357,-0.08779999626611575,-0.22386146195275877,-0.38182905410054563,-0.20368445438669844,-0.16844928283159952,-0.21173616148548047,-0.5464250106345128,-0.4287650125459073,-0.19934783799540834,-0.14084180731151993,-0.45272578226276305,-0.24870236263230666,-0.3596372183964288,-0.35084107430610456,-0.16229471469261111,-0.09209291198059226,-0.1578806033081483,-0.3916088274532805,-0.5412044606857368,-0.15755877016765546,-0.35826579456509633,-0.21363443015009326,-0.2421399422637154,-0.19272559305942566,-0.25191057283036716,-0.16935933389417573,-0.4089637581379203,-0.41622794102853633,-0.37867514172420824,-0.35610418246998315,-0.395742599043639,-0.34545128876927494,-0.4415067628020105,-0.34038859160122376,-0.17330514136784092,train,393.86186509002954,1
1358,-0.08044293699424891,-0.2553246458993597,-0.4011419555146345,-0.20750018657326547,-0.16312793428794722,-0.22892372907551753,-0.5785288055666266,-0.4569078563861578,-0.1774447342026181,-0.12825888759589185,-0.4707543184234275,-0.24956712456378094,-0.3661249266707573,-0.3609397116888542,-0.14694095670017984,-0.0866792634619217,-0.14454060386571796,-0.4183995300718345,-0.558905016467528,-0.13781452948111214,-0.37281482303156066,-0.23122242787480052,-0.196650874747017,-0.18774589159976204,-0.24437993010833672,-0.13744118470595298,-0.4042425181687216,-0.4055708082681606,-0.39109612434897134,-0.36085538991228405,-0.39839204380121795,-0.35761182549492226,-0.4540865387684052,-0.3412372830463651,-0.14611594549811505,train,394.1521096479441,1
1359,-0.07821469121251959,-0.27124531848763145,-0.41861605118277306,-0.2084717308839152,-0.16549578101988355,-0.23651633112303772,-0.6055412864266543,-0.4757564712330942,-0.1729191181986423,-0.12740790918497522,-0.48052871247890266,-0.2519576129560584,-0.3716863500128529,-0.369641641636706,-0.14133114126395996,-0.08583871053862453,-0.1334069105456696,-0.4372861312500962,-0.5749029646602327,-0.11924915590646402,-0.38050507724399346,-0.2421954420349916,-0.17301964530454134,-0.18660291876543042,-0.24254416455146668,-0.11690147559372296,-0.4002136876773784,-0.4056179752812604,-0.41164891105703616,-0.3568768457000673,-0.4072299080534975,-0.3685868806677946,-0.46060959203910506,-0.34050644105172645,-0.14176314193408535,train,394.44235420585863,1
1360,-0.06172993938193399,-0.2747724177519118,-0.4351285700757735,-0.19442226770370155,-0.15175853324322808,-0.22817162544489278,-0.6325675828998156,-0.4884768744529679,-0.14462221068151687,-0.10438608321193217,-0.49408614072665485,-0.24924670007929567,-0.3624338061829968,-0.3772164482601108,-0.11748529156671308,-0.05549844345470216,-0.10772224609347125,-0.4400808877296575,-0.5907236267865388,-0.09534100880422805,-0.38057052395572655,-0.2360660276982683,-0.12812379872902285,-0.17307170660590115,-0.2184504937229025,-0.08392291657222707,-0.3789034244697295,-0.38804645153855777,-0.421740846255222,-0.34062763679130803,-0.40373445507590744,-0.3558950874759175,-0.4675768288970158,-0.32275694975953795,-0.11750940506790035,train,394.7325987637732,1
1361,-0.06330003903737418,-0.30880090183439707,-0.46687311440659535,-0.1969889146599751,-0.16212154015251123,-0.24882442780410027,-0.6573518674974341,-0.5193017097014915,-0.14940609806729754,-0.10883981547969956,-0.5079258905545394,-0.245902916566126,-0.3776421853202036,-0.3868066762221627,-0.12064685328634943,-0.07513742694438762,-0.10530606777496071,-0.46912742253605544,-0.6110355081064014,-0.07091252169630897,-0.3980674495916843,-0.24878807846744783,-0.11894652203118816,-0.17503752107589693,-0.23036272746570657,-0.08699183104818166,-0.39264574239657735,-0.39301127007589964,-0.43572884778321974,-0.3513695856934591,-0.42138697115978013,-0.37819008309498386,-0.484757291024307,-0.33466680892707745,-0.11066048582596519,train,395.02284332168773,1
1362,-0.05131236752946063,-0.31951992280866126,-0.4764214368024477,-0.18833006028882682,-0.15568005036849072,-0.2445432448301065,-0.6752088271655506,-0.5356945845642851,-0.1392192756659034,-0.09761402112055986,-0.5185677392170692,-0.24674712161069234,-0.3787957031496524,-0.39508089481721376,-0.11032156592844265,-0.06146588055767941,-0.09348957061183404,-0.48108321740017,-0.6205335388430503,-0.0621311901346166,-0.40438434211413743,-0.2549859408470039,-0.0937756510013392,-0.17201799087246902,-0.21789623853043225,-0.06518285205112534,-0.38316790562183156,-0.37952241253295477,-0.4414956126929967,-0.3502745988587409,-0.4267557169948767,-0.37823166013375853,-0.49420321747946816,-0.329000834382415,-0.0955509447257335,train,395.3130878796023,1
1363,-0.051967395054567676,-0.3375172005423297,-0.4915253807478758,-0.17516197530666314,-0.1639740675673525,-0.24847585377500447,-0.6945361319101212,-0.556704880007667,-0.1349033972903399,-0.09472366676938888,-0.5321001023197214,-0.24913978685162147,-0.3789957287179192,-0.402002011669392,-0.10837485907432177,-0.06179264337337087,-0.09139527898592814,-0.4965381964100355,-0.6308153828729638,-0.051426138601325194,-0.41784002609402576,-0.26111990634237287,-0.07726388586612894,-0.17370213165565046,-0.20862625370067867,-0.05569530745133276,-0.3860600630856207,-0.37488557009576084,-0.45220402094539547,-0.35467579876299915,-0.4387610000329415,-0.38711301460873876,-0.5050343108050295,-0.32981766162462234,-0.09173716646525962,train,395.60333243751677,1
1364,-0.046999180058971086,-0.3439707447792579,-0.49997286021505094,-0.18127683311822423,-0.16514324104912143,-0.2596160287255178,-0.7035527496078899,-0.5620397808526617,-0.1362580861629949,-0.0993760237366282,-0.5385451481947924,-0.24989567676525365,-0.3854769105407261,-0.4062927040009392,-0.10587261820398781,-0.07185797773897619,-0.08675076801562596,-0.5047354565187608,-0.6372156921866204,-0.043781650525616056,-0.4245370373000805,-0.2684734666121282,-0.0686037234212854,-0.17811438073902067,-0.2128211923553696,-0.051964031004799,-0.38591745068647515,-0.3813892713263852,-0.4662621641828379,-0.3616733159375201,-0.4461130114207026,-0.39604416285407423,-0.5109929337183237,-0.3343690607469065,-0.08736897899299961,train,395.8935769954313,1
1365,-0.06103143731991914,-0.3830110152450837,-0.5318271372878095,-0.19276822162552495,-0.18603029575298535,-0.2817214420624379,-0.7292289709592421,-0.5924147293559271,-0.14679010592051944,-0.1083116283607575,-0.5628184669915367,-0.2531714587720507,-0.40117839542697364,-0.41776213235081583,-0.11567737725540189,-0.09926795437095612,-0.08471773740512491,-0.5396852790636146,-0.6581572519472524,-0.013412661054909097,-0.4436611961438468,-0.2859053307622805,-0.07020572875091752,-0.1837701296129722,-0.2278584031463323,-0.04638641744341282,-0.40237909264414395,-0.39664113968076453,-0.4919233219379679,-0.373347498728958,-0.4724677228687579,-0.42504382930220086,-0.5324929753773132,-0.3564662863302911,-0.08131940653991887,train,396.18382155334587,1
1366,-0.06100258514956007,-0.3967586614094145,-0.5520049023017398,-0.18784586818052496,-0.18715568664030366,-0.2795994700865224,-0.7481707570203862,-0.6094086429572644,-0.13992041702008884,-0.10179938307357475,-0.5807757430441103,-0.2545167526156775,-0.39702989831928426,-0.42828471429990655,-0.11424358219036265,-0.09499875118173018,-0.08574402518085908,-0.5555712072832694,-0.6735144204332892,0.0046838015013403456,-0.45563707833653033,-0.2898949878473941,-0.06097899254924005,-0.17840723379459755,-0.22536840944698827,-0.03868865072228425,-0.4050439918141385,-0.3944412822729567,-0.4990843272019219,-0.37489508170868846,-0.4823120681110887,-0.4254734544707014,-0.544576270296854,-0.3609872239552139,-0.07326199229695761,train,396.4740661112604,1
1367,-0.06161833619830283,-0.4035751037283519,-0.5554329126749398,-0.18308044328565648,-0.18626121758389258,-0.2850557875715223,-0.7549729575743072,-0.619397118927575,-0.13400208747244022,-0.0987427541687667,-0.5881546923119777,-0.25498096622668454,-0.39820988239168087,-0.4311966518104665,-0.10978787757481502,-0.09819414057585768,-0.08281422107476813,-0.5652649754507171,-0.6761169745056699,0.008960793400798861,-0.4623071703186206,-0.29723398088976877,-0.048880635487568574,-0.18025853696162908,-0.22234320227404583,-0.02681041104447973,-0.407389411840476,-0.39007859875941586,-0.5077186695212104,-0.3803736690103036,-0.48924296240150933,-0.42953531724164795,-0.5517393715327603,-0.3614619911415491,-0.06989569652926589,train,396.76431066917496,1
1368,-0.06812922572714057,-0.4356981504940332,-0.5708962142065773,-0.1844384139997003,-0.2025597416004997,-0.30119049124738123,-0.7714383703776116,-0.6391021503857359,-0.13719033723491,-0.09976539813360313,-0.6046294043195546,-0.26251503610865773,-0.4058460875397125,-0.44084909857339083,-0.11405744481626627,-0.10996347285752232,-0.08683288128633702,-0.5869180338729522,-0.6817037432956146,0.014704553285640548,-0.4801444865318648,-0.31235640414933324,-0.04308459634075043,-0.183445689664317,-0.2253870816776834,-0.023611409455937,-0.4203551985734862,-0.39694622835511756,-0.522817244274772,-0.397779772944442,-0.50504637196496,-0.45306821287768606,-0.562146169185324,-0.3767451931761687,-0.06131906367026173,train,397.0545552270895,1
1369,-0.06348803552940231,-0.4474983290515298,-0.5890332519503904,-0.19250811656354339,-0.2093800705355628,-0.30417539820256956,-0.7834931541131348,-0.6513088766933741,-0.1420242150726888,-0.10069621625718554,-0.6181428411177694,-0.2591443504488928,-0.4145116096645862,-0.44797750257017654,-0.10996659715043927,-0.122142063414612,-0.07647487474381152,-0.6076187615216422,-0.6907489842357332,0.02640328458385885,-0.4817908383079582,-0.3182907055130554,-0.03636202393181792,-0.18945700341690389,-0.22207979685722357,-0.0009012677244728713,-0.4210367503802897,-0.3978295215358647,-0.5378749152675197,-0.4041124247786717,-0.518632037077934,-0.4596595890334458,-0.5721330675031437,-0.38156412243438614,-0.051937873896446954,train,397.344799785004,1
1370,-0.05854607030548672,-0.4634550859982964,-0.6027198264126619,-0.19485922776657277,-0.20499423870943156,-0.2992390143197765,-0.8016920985614405,-0.6661865587420278,-0.12937012512006166,-0.0882688281842423,-0.637095575061715,-0.26201158050982654,-0.4155653628877285,-0.45783889142575707,-0.10135026848477752,-0.11098208217749536,-0.06984665358437188,-0.6182568976324454,-0.7025969400179977,0.0432140227337941,-0.493155772736347,-0.3303158741679461,-0.013081355852116394,-0.18377558619563766,-0.22008029223545367,0.02342459382484888,-0.4164048550596515,-0.39160020586992367,-0.5429052873892615,-0.40481179917074644,-0.5259385504307562,-0.46014447995533575,-0.578217457769282,-0.3828037454456697,-0.03291226342323554,train,397.63504434291855,1
