,AIBL,AIBR,ALA,AQR,AVAL,AVAR,AVBL,AVBR,AVEL,BAGL,BAGR,OLQDL,RIBL,RIBR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SMDDL,SMDDR,SMDVL,SMDVR,URXR,URYDL,URYDR,URYVL,VB2,train_test_label,time_in_seconds,tau
1131,-0.23405818014622157,-0.24715730166058741,-0.4076906432076354,-0.621293405927112,-0.30112158977757725,-0.3148420362399343,-0.7351025029725589,-0.5888248718236786,-0.37662888535503236,-0.6252082889882185,-0.5618422094285602,-0.42974991622057757,-0.632179705811324,-0.6683142742061425,-0.49729964147638467,-0.37290581374984877,-0.5002870986857969,-0.266319735728481,-0.44389260792514423,-0.2963873864976606,-0.7406962525216477,-0.5225981609319413,-0.6594212325687445,-0.6005075306480273,-0.6506443619672997,-0.7930768008703099,-0.5250493873048434,-0.4055328386542724,-0.6752380482526923,-0.5147132380066809,-0.4404597962252176,-0.48646269987766166,-0.39840705511913677,train,321.69607584935477,1
1132,-0.24817056777631796,-0.2657319988801709,-0.40373264929943575,-0.6217180269630236,-0.3244698777969146,-0.3343129107257818,-0.7261541905299775,-0.5754490766174667,-0.3980116593407223,-0.6169017606477774,-0.5689630583577386,-0.43702599008367726,-0.6299872595458321,-0.6601544621227864,-0.49109770362335603,-0.3944545287235687,-0.5274128498281295,-0.24592321204397904,-0.43907421231747434,-0.2870209953185585,-0.7362672588125081,-0.5137046574839901,-0.6473933595571586,-0.5912933547793187,-0.648247002120897,-0.7966399785933944,-0.5171295576390691,-0.4040899679095157,-0.6683472141527897,-0.5239969733140691,-0.43390118530012634,-0.49140010306016757,-0.3849263793069536,train,321.9805109296813,1
1133,-0.2528772419888338,-0.27535070465881256,-0.39988956931694947,-0.6240926485362437,-0.34011702481737704,-0.3450799916325972,-0.716969349434851,-0.5602029275582481,-0.4053603895309789,-0.6201795048344523,-0.5685948537951355,-0.4426208762734467,-0.6189498795123248,-0.6449168937712191,-0.4845919665967035,-0.40589140978412863,-0.5338731669844935,-0.23928635082411082,-0.42772257726825286,-0.2853836288696422,-0.7152831394776211,-0.50643749217222,-0.6320015826551938,-0.5819207479632782,-0.6455055004630338,-0.7915866742580845,-0.5151260708753274,-0.40049989372858175,-0.6616473137698602,-0.5279764193156853,-0.4303026932617635,-0.49743639614214297,-0.3674625171277081,train,322.2649460100079,1
1134,-0.2920629113783459,-0.3107394228715001,-0.3960392039968189,-0.6176689202504355,-0.3686322495516111,-0.36923909584148834,-0.6925956233548136,-0.5424585109888816,-0.43722795362211797,-0.608315150946883,-0.5643426454869725,-0.4499378328008299,-0.5980799945269009,-0.6366336127934438,-0.4773651170176101,-0.43035814674435235,-0.5545141008484744,-0.21619979397682254,-0.42348469666999755,-0.2779511503643204,-0.7053912055974839,-0.4912254566827069,-0.6163907326080329,-0.561667549229204,-0.648125968631029,-0.7840197449503234,-0.4949902696296219,-0.41152679701557626,-0.6678789348138914,-0.5444710263753252,-0.44597744980613946,-0.5003383638768157,-0.34894365189557375,train,322.54938109033446,1
1135,-0.29222689567853083,-0.3120839428233432,-0.3853479100259075,-0.6083107663365415,-0.383317056851175,-0.37662660466767695,-0.6726593957823856,-0.5178580046459659,-0.4468893765479653,-0.6068220215429208,-0.5695141151277764,-0.46189819430671686,-0.5817495293499652,-0.6108096617415157,-0.47673648957748743,-0.4379067617228648,-0.546996290936375,-0.21677091402715712,-0.41306621876700067,-0.27172536418598675,-0.6761231082999164,-0.48220645635535264,-0.596556603767622,-0.5470416469599584,-0.6416147230658331,-0.7787455313070907,-0.4926057942464592,-0.39924266793244245,-0.6603064867417383,-0.5395205274308925,-0.440179111501706,-0.5010897237803531,-0.3243016833315485,train,322.83381617066107,1
1136,-0.31999037593061347,-0.3339129807069842,-0.37934652973524385,-0.6121145093238844,-0.4059414866619454,-0.3941155713139802,-0.6701236019573716,-0.5095956484331912,-0.46203870403838576,-0.6068078272995231,-0.575338804778783,-0.46063286176736995,-0.5774582111416684,-0.6005373440331401,-0.4813464654164117,-0.4583373960125384,-0.5645421921545055,-0.20475213878910964,-0.41062874741656524,-0.2772418510927234,-0.6620227075248053,-0.47382123671103576,-0.5857540083126047,-0.5374493088306631,-0.6465823507047797,-0.777692770952793,-0.493895232178727,-0.4041310117045679,-0.6671274377041719,-0.5428292394989165,-0.45456041880988346,-0.5112400181713419,-0.3093464085182671,train,323.1182512509876,1
1137,-0.33159975602562386,-0.3315520200157291,-0.3816863730698017,-0.6281859031609223,-0.4230466736569518,-0.405004883593654,-0.6808614722275219,-0.5210204397811264,-0.4671096524286811,-0.6161356070527072,-0.586943186030146,-0.46515336367597915,-0.5869320446136465,-0.6084594819718381,-0.4861391357820296,-0.467940367994779,-0.5705838494084184,-0.20563000869853182,-0.41129149609258414,-0.29138268982808335,-0.6543352469111544,-0.48050246536995034,-0.5877454720120067,-0.5516311109220611,-0.6559862034854335,-0.7780564060570306,-0.5057158375775467,-0.41537947628108396,-0.6692119976582847,-0.5529341148877385,-0.4722849333893248,-0.5259589217822178,-0.31422883839706406,train,323.4026863313142,1
1138,-0.33283605160016355,-0.32839052829607335,-0.3800937012237171,-0.6305199211582303,-0.4269245259457975,-0.41027764770523495,-0.6801158670665107,-0.5259744898482215,-0.4716680417429175,-0.6208556717099609,-0.5932561319234273,-0.4675311382848065,-0.5927138058709089,-0.6180617095025116,-0.4963284145572285,-0.4681916652969784,-0.564907394247283,-0.21241695684318937,-0.41104358960582327,-0.2967360391415465,-0.6471206457827872,-0.48846157386515404,-0.5872079211795722,-0.5589319429878212,-0.6614997538155014,-0.7792569609537987,-0.5130630064711471,-0.4158926951233326,-0.677114817061693,-0.5529042275373433,-0.47887639349267247,-0.5310608431001478,-0.3147281883632484,train,323.68712141164076,1
1139,-0.33912917013111493,-0.32873895068197767,-0.3831655145958726,-0.6438246220957546,-0.4241790681004072,-0.4059870284843691,-0.6989020701549856,-0.552229848351644,-0.4794437142690387,-0.6265406595518753,-0.6047182613430606,-0.4620343538959414,-0.6018569896906762,-0.6458363830360359,-0.5154914818123284,-0.4733629002442653,-0.5748862547296575,-0.22089835894243648,-0.41653495793744005,-0.3031998616047806,-0.6646145264260868,-0.49317617158185545,-0.5904820876428359,-0.5732455109604739,-0.6701576963867697,-0.7937978918740437,-0.5201149221391079,-0.4238342275861108,-0.6998086425747239,-0.5628122673388039,-0.49565053846938373,-0.5380484585650913,-0.32602417739164796,train,323.97155649196736,1
1140,-0.35075050343415204,-0.3451804877543984,-0.3979271581411027,-0.6506798721882977,-0.431281794754182,-0.4096358595060947,-0.7029205507160978,-0.5690719053231117,-0.48981901578981707,-0.6277331560028317,-0.6012769722422202,-0.4646415780384684,-0.5995043828533709,-0.6594429203396457,-0.5193182782094792,-0.4861208467340671,-0.5849603879339301,-0.205768189707352,-0.40776610850795525,-0.31171383430447314,-0.6645945639934854,-0.4949252996457847,-0.5986515274546362,-0.5629426301420974,-0.6740313979981447,-0.7957694789849217,-0.520397923451247,-0.44130328944022434,-0.7092780069222115,-0.5764487013860272,-0.5142871001062871,-0.5445117857413242,-0.3318743224667231,train,324.2559915722939,1
1141,-0.34326066749347617,-0.3474568791464776,-0.3970899091696444,-0.65279050179991,-0.43229607623138555,-0.4104143854095724,-0.7104834422873688,-0.5867245922333293,-0.48824542331086446,-0.6394291742097646,-0.5955830993806069,-0.46494322063366844,-0.6063524588635221,-0.6742524549168452,-0.5204279683365169,-0.4753709634214228,-0.5842923385328836,-0.20096762897612408,-0.40404223091059266,-0.31979399198415615,-0.6540529963399977,-0.5040863869844835,-0.6014192242703504,-0.561640233898371,-0.6723850410527412,-0.7892253968453222,-0.5356566829622526,-0.45673510665634565,-0.7035448335049744,-0.5743383625103038,-0.5133877183853778,-0.552262567275051,-0.3448629169553501,train,324.54042665262045,1
1142,-0.3362239490693038,-0.3254810468622528,-0.3985472012571206,-0.6553384668826991,-0.40952952411301846,-0.3914636231755717,-0.7227670999677361,-0.6011904844711239,-0.47611417263283656,-0.6435553449752708,-0.5983924625788514,-0.4557099177061462,-0.6208310599850597,-0.6829872262100027,-0.5275071837207361,-0.45607422917342044,-0.5711191368524795,-0.20756965323172707,-0.40468623365465795,-0.32265724389732015,-0.6800399535676318,-0.5164934458035252,-0.6139386499643038,-0.5743371417532177,-0.6735227908173171,-0.7970290018459906,-0.5376490895133595,-0.45867798194934717,-0.712356590315806,-0.5732828586222468,-0.519297868301988,-0.5436170731064567,-0.3682095034652174,train,324.82486173294706,1
1143,-0.3012646043460591,-0.2866867051681664,-0.40022085966261267,-0.6635187404268741,-0.3714375182012298,-0.3542690761294111,-0.7475797953240637,-0.6266495705788673,-0.4500188349707167,-0.6546395139069628,-0.596766447732131,-0.44832922376869433,-0.6412363211584627,-0.6990640172282954,-0.542284813024392,-0.4173078331977158,-0.538923923159658,-0.23416081729277177,-0.3969106824199943,-0.32110101106959876,-0.7066602264226571,-0.5389247544963267,-0.628594300558077,-0.5976987742877684,-0.6798832858966056,-0.8022967484504839,-0.542343668545955,-0.4573085395837585,-0.7116942942518723,-0.5640557476740439,-0.5168401764632579,-0.5371430629653668,-0.39630482997522276,train,325.1092968132736,1
1144,-0.2778899323531291,-0.2613971046293354,-0.3990540685419987,-0.6621266748995334,-0.3394230348819488,-0.3293549352145863,-0.7619809125845094,-0.6368382947894096,-0.422261982697864,-0.6669276479906956,-0.5934056010603662,-0.4387451183375687,-0.6555904102599892,-0.7064104179452455,-0.5490727316801649,-0.38368098814262613,-0.5153617920686624,-0.2556808635165759,-0.3973990644577237,-0.3184119434313756,-0.7272733812663269,-0.5542696879213067,-0.6420417689110498,-0.610445645433014,-0.6795222075909728,-0.8006256394372706,-0.5504014651035277,-0.45905289477209876,-0.7112937077240702,-0.5532526671478232,-0.5050360722554517,-0.5302024424217944,-0.41749080383619674,train,325.3937318936002,1
1145,-0.27031807910982797,-0.2401507871056597,-0.40136903080544745,-0.664833729636951,-0.31296662340647996,-0.30940102154174326,-0.7810812304648242,-0.6562529578836692,-0.4084267274954562,-0.673448207212652,-0.6000062833646789,-0.42708481450003233,-0.6689533092025871,-0.7209466417884842,-0.5621586299888368,-0.3622935568945379,-0.4913625948742007,-0.2779305776552502,-0.40180572206546156,-0.3253794404358984,-0.7508873351065748,-0.5644532771536821,-0.6588409400476012,-0.6312693601382253,-0.6903991036937236,-0.8040159637987198,-0.5537359997954624,-0.4632645223095638,-0.7267282526745777,-0.5536230159240368,-0.5141694495199768,-0.5251137220168414,-0.4383684976325516,train,325.67816697392675,1
1146,-0.2552236034363298,-0.21681144024125137,-0.40738247730967314,-0.669327238813715,-0.29309503813094656,-0.29454574419566343,-0.7966952749541891,-0.6745383973665603,-0.38890348878022146,-0.682605290406746,-0.6018636311515275,-0.4192885352531093,-0.68369487153783,-0.7310869475592006,-0.5690976853718301,-0.34452922194482966,-0.4695901852520487,-0.29214375453505914,-0.4015118284283364,-0.34015613810160866,-0.7537666790413416,-0.5769448355220356,-0.6698091971004981,-0.637908275752572,-0.6907962596571078,-0.80530607574712,-0.5692045242716375,-0.4687704659921081,-0.7295418522368957,-0.5438757839007775,-0.5133703181242439,-0.5260912604691292,-0.45438879961345446,train,325.96260205425335,1
1147,-0.2479924531912273,-0.19426395071201008,-0.39700101681539907,-0.6753015004244027,-0.26657653569594664,-0.27324909169339495,-0.8087624930961287,-0.6882682476237574,-0.36985802717950156,-0.6911309654910849,-0.6008195581517006,-0.4033713004683764,-0.6990512102162589,-0.7381955133329008,-0.5776210201957941,-0.31841752162871034,-0.4516530375357427,-0.3091452272306028,-0.41245952592245155,-0.33790558950711536,-0.778054586288682,-0.5873522353411889,-0.6807230179170904,-0.6551444215517929,-0.695172955335015,-0.8117857258793483,-0.5742977013875546,-0.46851736237046987,-0.7356094799743607,-0.5407536743467799,-0.5127672152062053,-0.5230422853949477,-0.47383853614794924,train,326.2470371345799,1
1148,-0.21676537452357478,-0.16087655822989855,-0.40512000135613707,-0.6751871767240203,-0.22695245217859855,-0.24226568221462863,-0.8207935706050328,-0.7065633576395367,-0.3404728274884134,-0.6962868028311797,-0.6010140556848128,-0.39789736990384067,-0.706493734058668,-0.7527174220005755,-0.5898623135511913,-0.28210350677696394,-0.4162604093940197,-0.34031872217165327,-0.40453946923306217,-0.3424632165654699,-0.7850936615694053,-0.6080254468059189,-0.6927601436278896,-0.6622278143829569,-0.6932471656993728,-0.8053774312727479,-0.5829956946669369,-0.4680553247592062,-0.7319874159805659,-0.5243338532951567,-0.5064375455650216,-0.5174451777557555,-0.49125039982950325,train,326.5314722149065,1
1149,-0.18644848314163928,-0.11748032677792089,-0.39119472184588333,-0.6755662192684575,-0.18288324439087958,-0.20879449747913262,-0.8239707441702094,-0.7079359552809469,-0.3018345685086064,-0.701993670720163,-0.5909326537424051,-0.37722708442203723,-0.715587948963759,-0.7476267098715901,-0.5934260165850175,-0.23470022759049636,-0.37321861247955856,-0.3708570931367684,-0.4070559707034947,-0.33630060559077823,-0.8052393181376236,-0.6212111893182757,-0.6960123860923981,-0.6764811747925059,-0.6891204096192401,-0.7978748354356677,-0.577129963423119,-0.4550762819398369,-0.730563397728208,-0.5063029701048674,-0.4918143404870021,-0.501851195501339,-0.5149342537402649,train,326.81590729523305,1
