,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVEL,AVER,BAGL,BAGR,RID,RIML,RIMR,RIVR,RMED,RMEL,RMER,RMEV,SMDDL,SMDDR,SMDVL,SMDVR,URYDL,URYDR,URYVL,URYVR,VB2,train_test_label,time_in_seconds,tau
126,0.1223685557395939,0.045251686862381686,-0.023798965401934824,-0.04262166744856751,-0.12437448556084135,0.1022178491955578,0.030472875849353653,-0.11408572806456972,0.013595883582148489,-0.18201525879945968,0.015740924118245424,-0.4524507547448904,-0.191594500721861,-0.19289395496502673,-0.48036546609944053,-0.6632337896635077,-0.6450586538576929,-0.5464553242494381,-0.7187253775202884,-0.5781362991487332,-0.3697607060286897,-0.26188742010429483,-0.373169746759579,-0.016830039279219597,-0.07535936231613374,0.03808798468200755,-0.12114831363018798,-0.42584184992571306,train,80.65955383123182,1
127,0.1339485580026815,0.06789802940770534,-0.02200826766708465,-0.03605390486386482,-0.12589680250540844,0.11786109693410977,0.04179699941717982,-0.09688317911225736,0.03235067850210488,-0.17202007317244017,0.022220244330508402,-0.4438551496192944,-0.16826585517969125,-0.1803478040084906,-0.4710997454548992,-0.6687197784680343,-0.6379886051812983,-0.5451728696128451,-0.7170527483825686,-0.5656589224618567,-0.357015945150122,-0.2570061305477103,-0.36203647555000373,0.0003732323305229296,-0.05532020156476511,0.04576139139893512,-0.10495600214044827,-0.43194368752041523,train,81.29970902036858,1
128,0.15258396720484363,0.08880954105354896,-0.024916827405653624,-0.02836889582970996,-0.1208954480546042,0.1381669669626136,0.05902254958883554,-0.0821676954053053,0.052707575390743555,-0.16044251457494618,0.028895603302364493,-0.4410675301774942,-0.1451251747797878,-0.1617671147561263,-0.45753415390379476,-0.6760981854812251,-0.6341666367639849,-0.5422243454288218,-0.7220725184099457,-0.5610230962178271,-0.35161070353544494,-0.24926537680945382,-0.3588340919507572,0.019452570078821604,-0.03945352504186973,0.04923191275980404,-0.08979681206093271,-0.4363191839076248,train,81.93986420950534,1
129,0.16996805692129463,0.10896903648510314,-0.023856441362426123,-0.01817439143079083,-0.11789001703864255,0.15253131292646588,0.07116703586331471,-0.06523641139259828,0.07552266207361943,-0.1539792908389363,0.038532389420081095,-0.4358275606629748,-0.1201120201629784,-0.1430274541165568,-0.44183986866493186,-0.682189114767848,-0.6361159601889218,-0.538181675240688,-0.7175549810592057,-0.5472653865084424,-0.3247183875407441,-0.23515545972417512,-0.3478387657423051,0.03637580059870124,-0.023588623935366582,0.062341918990721806,-0.06894364883119969,-0.4349243185355518,train,82.5800193986421,1
130,0.17461637094739027,0.1220666122164911,-0.02912413023508438,-0.008822995263827849,-0.11484798639117322,0.16934121439761224,0.08725477620401609,-0.0479650099130266,0.08845720949835985,-0.14504290649783097,0.03355631762348203,-0.42799205731444423,-0.10131069575402082,-0.14113238605337705,-0.43664411826937577,-0.6899011230138029,-0.6298315636163347,-0.5362231696398566,-0.7144720071111821,-0.5510809581005852,-0.3222936253426315,-0.2307422653732022,-0.34507111352962083,0.048904541130981985,-0.00856281441380978,0.06689361498678617,-0.06379980025558615,-0.4307247184841788,train,83.22017458777886,1
131,0.1974499625706903,0.14382308351102618,-0.024654963829054896,-0.0027419950531809567,-0.10608598380189097,0.17808897140561913,0.10123910208314599,-0.037341384546019846,0.1200612517882357,-0.13587404144824478,0.045440794010812885,-0.433900642272142,-0.06633480623339505,-0.11536426038901662,-0.4202312039099295,-0.6960248405587552,-0.6329968166922072,-0.5272247401756239,-0.7120514691177462,-0.5354158389856434,-0.29213924925345003,-0.21209978240950564,-0.33562027092394564,0.06938509499681415,0.01593208314278499,0.08179878645079497,-0.04244843543897581,-0.424623823193367,train,83.86032977691562,1
132,0.2011950982744601,0.15290780763984216,-0.02560606033319006,0.0029645977805390217,-0.10505749095812218,0.18348515740867183,0.10379460928306358,-0.02653448226203145,0.13254942900659286,-0.1399710813557233,0.03939566377647707,-0.42969737990062873,-0.053497756908618924,-0.11149534684171068,-0.41708036007604127,-0.696869769608981,-0.6310476203360568,-0.5261887746084202,-0.7090814208216465,-0.5249035271559337,-0.277079157700168,-0.2032993913211601,-0.33464592084842837,0.07352550367212428,0.029972923248803487,0.08869420105151318,-0.03277672665615178,-0.4140434796510599,train,84.50048496605238,1
133,0.21291491197162746,0.163837135165792,-0.018279745933039368,0.00963414537781157,-0.10666143748602178,0.20015861959246128,0.11447250868222128,-0.01909083743825593,0.14418897462472502,-0.14590606898326658,0.04180012511284599,-0.4310479807069466,-0.03902973793508231,-0.09875733259577346,-0.4247932525678545,-0.7019407436678541,-0.6325253480649861,-0.5316154978157381,-0.7200463878550747,-0.5216583170348804,-0.2747788767090976,-0.20284710604605866,-0.32799788271374636,0.08217033147063414,0.03587234301515199,0.09197273136563147,-0.018044890482222783,-0.4180876805056538,train,85.14064015518915,1
134,0.2349190173468703,0.19090312538820498,-0.023682140026095908,0.02209244998119196,-0.09731668770519218,0.2187118882442879,0.1315532291751397,0.0016713664696393071,0.1688286493401372,-0.13660523913362937,0.05353237007358774,-0.42420889428866804,-0.016309667915080484,-0.08055210191860877,-0.403291623145409,-0.699238514859745,-0.628972041803509,-0.5314096596391504,-0.7204040629998623,-0.5040691295553477,-0.2519822167853301,-0.19009572311717032,-0.3180969079969103,0.09896439167666525,0.05360900777613443,0.10578303337927628,0.0007764882026283088,-0.41725518773396464,train,85.78079534432591,1
135,0.2353261922175587,0.18977191403336943,-0.01905690479228843,0.025114361075665392,-0.09806669018209221,0.21819668207736048,0.131926013643435,-0.008279981260148672,0.17446650321960266,-0.14015807698675378,0.060486112435728476,-0.4253907019536022,-0.017886446926491856,-0.07794384768278452,-0.3993584526696795,-0.6891385429919581,-0.6188678587370213,-0.532583209346084,-0.7147250883454785,-0.4894615078826123,-0.24241863340940034,-0.1843616510383098,-0.30498500451178273,0.10203079485804793,0.053290944360882525,0.11179163239888287,0.010452370274559253,-0.4133849911572888,train,86.42095053346266,1
136,0.2231315864694899,0.17306572443096652,-0.02020514138437747,0.01976980072843522,-0.09340604487889863,0.2126565822815023,0.12388357669891661,-0.017526904294074996,0.1528522746206955,-0.13868695264082628,0.05261176765605588,-0.42910639493602143,-0.03853732657510253,-0.09001744132023068,-0.4085044389830996,-0.6848139290737524,-0.6153632099677618,-0.5265742237401629,-0.7132599582087837,-0.5008710355391428,-0.2643841189776595,-0.19536743080389135,-0.30583098714913926,0.10042737436505854,0.04149995606427487,0.09463236075967765,-0.003939391375737969,-0.4241603738844518,train,87.06110572259942,1
137,0.17542358043779857,0.11564093897430913,-0.010689224593373223,0.005314442776425121,-0.08487781127714815,0.18482976090518705,0.08851339205278227,-0.05673454125820293,0.08686073315811328,-0.1466706922202306,0.036383240654961416,-0.44745383216423396,-0.09680368141269416,-0.12549026357187182,-0.44105689710924906,-0.6750083417681858,-0.6176215056393297,-0.5068326490374647,-0.6963996801607266,-0.5229698214090477,-0.29884081189855205,-0.21454203338024555,-0.31598329340513204,0.081405266199759,0.012754517444467081,0.062488158914760394,-0.046054997930991715,-0.42998909068301305,train,87.70126091173618,1
138,0.11819622248867254,0.04500474094419934,-0.003680429651988712,-0.01475223169420746,-0.08721972612307377,0.13793668042541973,0.039264012209286825,-0.11531257138613542,0.012622982843180492,-0.16041608343266078,0.02298841079003089,-0.4684938185464931,-0.16276973507237888,-0.1625832560919414,-0.47227640041336394,-0.6524847567670389,-0.6160217617044133,-0.4843669957460668,-0.6690427991978101,-0.5384300668924507,-0.33592941476014304,-0.23398132933085755,-0.3305077266526769,0.05223658087220033,-0.022084424664601077,0.01990798480863698,-0.09513830796342346,-0.420442918780247,train,88.34141610087295,1
139,0.04418533528864953,-0.04189067063755249,0.0025051760227922104,-0.039304598101845147,-0.09566381314799308,0.08561909951815354,-0.03308784835996001,-0.17584705346639398,-0.06818629285655758,-0.18431605811800822,-0.0034918463221975705,-0.46984241471032206,-0.2403741371784615,-0.21696447614096692,-0.49873930615644907,-0.6106255201936998,-0.600206342468908,-0.4554878587442001,-0.6273451145920605,-0.5381521575120178,-0.3634179491951157,-0.25140885738628194,-0.3516686236615514,0.012241804629379058,-0.061678626853939274,-0.021411109885703744,-0.1429634387202309,-0.3854827552575413,train,88.98157129000971,1
